,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_2-6-17_113
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 2/13/2017 9:53:41
,     Stop Time: ~2/23/2017 9:53:41


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.08,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.20,0.00,0.00,0.00,0.12,0.00,


 10:03:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.09,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.24,0.00,0.00,0.00,0.12,0.00,


 10:04:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.26,0.00,0.00,0.00,0.12,0.00,


 10:05:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:06:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:07:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:08:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:09:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:10:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:11:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.11,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.28,0.00,0.00,0.00,0.12,0.00,


 10:12:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.16,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.39,0.29,0.00,0.00,0.00,0.12,0.00,


 10:13:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.17,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.42,0.29,0.00,0.00,0.00,0.12,0.00,


 10:14:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:15:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:16:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:17:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:18:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:19:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:20:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:21:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:22:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:23:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:24:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:25:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:26:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:27:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:28:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.22,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.55,0.29,0.00,0.00,0.00,0.12,0.00,


 10:29:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:30:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:31:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:32:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:33:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:34:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:35:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:36:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:37:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.00,0.01,1.16,0.00,0.00,0.00,0.09,0.23,0.12,0.00,0.00,0.00,0.05,0.00,
Total Counts,0.00,0.00,0.00,0.03,2.91,0.00,0.00,0.00,0.24,0.57,0.29,0.00,0.00,0.00,0.12,0.00,


 10:38:42
