poke,correct,pellet,datetime,segment
2,0,0,2018-10-01 16:00:03.679758,2
1,1,0,2018-10-01 16:00:23.398996,2
3,0,0,2018-10-01 16:00:35.578195,2
3,0,0,2018-10-01 16:00:43.151926,2
3,0,0,2018-10-01 16:00:47.990793,2
1,1,0,2018-10-01 16:01:02.772043,2
1,1,0,2018-10-01 16:01:07.043039,2
1,1,0,2018-10-01 16:01:13.782785,2
1,1,1,2018-10-01 16:01:14.383859,2
1,1,0,2018-10-01 16:01:18.654855,2
1,1,0,2018-10-01 16:01:23.393137,2
3,0,0,2018-10-01 16:01:35.003977,2
3,0,0,2018-10-01 16:01:37.339914,2
3,0,0,2018-10-01 16:01:58.494211,2
2,0,0,2018-10-01 16:02:01.230051,2
1,1,0,2018-10-01 16:02:19.349191,2
3,0,0,2018-10-01 16:02:43.171945,2
2,0,0,2018-10-01 16:02:44.440012,2
1,1,0,2018-10-01 16:03:26.582102,2
1,1,1,2018-10-01 16:04:06.989816,2
3,0,0,2018-10-01 16:04:20.436105,2
3,0,0,2018-10-01 16:04:32.281809,2
1,1,0,2018-10-01 16:04:50.565988,2
1,1,0,2018-10-01 16:05:10.719797,2
1,1,0,2018-10-01 16:05:15.657785,2
3,0,0,2018-10-01 16:05:53.762766,2
2,0,0,2018-10-01 16:05:55.431223,2
2,0,0,2018-10-01 16:06:27.529855,2
2,0,0,2018-10-01 16:06:34.437082,2
1,1,0,2018-10-01 16:06:35.804758,2
2,0,0,2018-10-01 16:06:39.775949,2
3,0,0,2018-10-01 16:07:58.121164,2
1,1,1,2018-10-01 16:08:23.646066,2
3,0,0,2018-10-01 16:09:26.908762,2
2,0,0,2018-10-01 16:09:53.336008,2
2,0,0,2018-10-01 16:09:54.437082,2
1,1,0,2018-10-01 16:10:18.161203,2
1,1,0,2018-10-01 16:10:38.714914,2
1,1,0,2018-10-01 16:10:39.482004,2
3,0,0,2018-10-01 16:11:35.104074,2
3,0,0,2018-10-01 16:12:35.265207,2
1,1,0,2018-10-01 16:13:02.725168,2
1,1,1,2018-10-01 17:04:09.591867,2
2,0,0,2018-10-01 17:04:15.764719,2
3,0,0,2018-10-01 17:04:58.741281,2
2,0,0,2018-10-01 17:06:03.740305,2
1,1,0,2018-10-01 17:06:05.307688,2
3,0,0,2018-10-01 17:06:41.810617,2
3,0,0,2018-10-01 17:06:42.878977,2
1,1,0,2018-10-01 17:06:56.960031,2
1,1,0,2018-10-01 17:07:01.229562,2
1,1,0,2018-10-01 17:07:42.137766,2
1,1,1,2018-10-01 17:07:57.552805,2
3,0,0,2018-10-01 17:09:25.208078,2
3,0,0,2018-10-01 17:09:25.375070,2
3,0,0,2018-10-01 17:09:26.341867,2
