poke,correct,pellet,datetime,segment
2,0,0,2018-11-12 16:04:02.687000,2
3,0,0,2018-11-12 16:04:04.422000,2
3,0,0,2018-11-12 16:04:08.359000,2
3,0,0,2018-11-12 16:04:08.960000,2
1,1,0,2018-11-12 16:05:07.318000,2
2,0,0,2018-11-12 16:08:45.101989,2
3,0,0,2018-11-12 16:11:20.191008,2
3,0,0,2018-11-12 16:11:23.994994,2
1,1,0,2018-11-12 16:11:48.953002,2
2,0,0,2018-11-12 16:12:46.076995,2
3,0,0,2018-11-12 16:13:02.360015,2
2,0,0,2018-11-12 16:13:26.050017,2
3,0,0,2018-11-12 16:16:18.855986,2
3,0,0,2018-11-12 16:16:52.522979,2
3,0,0,2018-11-12 16:17:14.077971,2
3,0,0,2018-11-12 16:17:37.300994,2
2,0,0,2018-11-12 17:31:35.539824,2
1,1,0,2018-11-12 17:32:21.219023,2
1,1,0,2018-11-12 17:32:24.454863,2
1,1,1,2018-11-12 17:33:19.010039,2
3,0,0,2018-11-12 17:35:04.681914,2
1,1,0,2018-11-12 17:37:54.851836,2
1,1,0,2018-11-12 17:37:58.622832,2
2,0,0,2018-11-12 17:39:38.388945,2
3,0,0,2018-11-12 17:41:00.738066,2
3,0,0,2018-11-12 17:41:01.371855,2
3,0,0,2018-11-12 17:41:02.340117,2
3,0,0,2018-11-12 17:42:42.806914,2
3,0,0,2018-11-12 17:46:33.237090,2
3,0,0,2018-11-12 17:46:48.419219,2
2,0,0,2018-11-12 17:47:10.407988,2
1,1,0,2018-11-12 18:12:12.944121,2
2,0,0,2018-11-12 18:12:32.296172,2
2,0,0,2018-11-12 18:12:50.648223,2
2,0,0,2018-11-12 18:13:07.465117,2
2,0,0,2018-11-12 18:13:08.966094,2
1,1,0,2018-11-12 18:13:54.045195,2
1,1,1,2018-11-12 18:14:42.693145,2
2,0,0,2018-11-12 18:16:08.880156,2
1,1,0,2018-11-12 18:16:29.599883,2
1,1,0,2018-11-12 18:16:33.770781,2
1,1,0,2018-11-12 18:16:54.891875,2
1,1,0,2018-11-12 18:18:19.210234,2
3,0,0,2018-11-12 18:18:24.247832,2
1,1,1,2018-11-12 18:18:44.768828,2
3,0,0,2018-11-12 18:19:55.138945,2
3,0,0,2018-11-12 18:19:58.109160,2
2,0,0,2018-11-12 18:19:59.677031,2
1,1,0,2018-11-12 18:21:13.784453,2
1,1,0,2018-11-12 18:21:15.920195,2
3,0,0,2018-11-12 18:21:25.428984,2
3,0,0,2018-11-12 18:21:26.096953,2
3,0,0,2018-11-12 18:21:26.964141,2
1,1,0,2018-11-12 18:24:19.537383,2
1,1,0,2018-11-12 18:25:25.469023,2
1,1,1,2018-11-12 18:25:26.269805,2
1,1,0,2018-11-12 18:25:26.871367,2
1,1,0,2018-11-12 18:28:15.506133,2
2,0,0,2018-11-12 18:28:36.059844,2
3,0,0,2018-11-12 18:28:39.763945,2
2,0,0,2018-11-12 18:32:41.238555,2
2,0,0,2018-11-12 18:32:47.078398,2
2,0,0,2018-11-12 18:32:56.921172,2
1,1,0,2018-11-12 18:33:53.377227,2
1,1,0,2018-11-12 18:34:16.968047,2
1,1,1,2018-11-12 18:34:19.203398,2
3,0,0,2018-11-12 18:35:36.380156,2
1,1,0,2018-11-12 18:36:30.934844,2
1,1,0,2018-11-12 18:37:23.621367,2
3,0,0,2018-11-12 18:37:42.572539,2
3,0,0,2018-11-12 18:38:16.973906,2
3,0,0,2018-11-12 18:39:27.745391,2
2,0,0,2018-11-12 18:39:30.780547,2
1,1,0,2018-11-12 18:39:47.364531,2
1,1,0,2018-11-12 18:39:52.303008,2
3,0,0,2018-11-12 18:39:58.175078,2
1,1,1,2018-11-12 18:40:36.714141,2
2,0,0,2018-11-12 18:42:52.383086,2
1,1,0,2018-11-12 18:43:30.320586,2
1,1,0,2018-11-12 18:43:32.022734,2
1,1,0,2018-11-12 18:43:33.291289,2
3,0,0,2018-11-12 18:43:48.471953,2
3,0,0,2018-11-12 18:43:50.041289,2
3,0,0,2018-11-12 18:43:50.941680,2
2,0,0,2018-11-12 18:43:51.742461,2
2,0,0,2018-11-12 18:44:07.658477,2
2,0,0,2018-11-12 18:44:10.527617,2
2,0,0,2018-11-12 18:44:10.995391,2
3,0,0,2018-11-12 18:44:14.064727,2
3,0,0,2018-11-12 18:44:30.313750,2
1,1,0,2018-11-12 18:44:33.350859,2
2,0,0,2018-11-12 18:44:34.752227,2
1,1,1,2018-11-12 18:44:54.738555,2
1,1,0,2018-11-12 18:46:06.344023,2
1,1,0,2018-11-12 18:46:07.944609,2
1,1,0,2018-11-12 18:46:09.846953,2
3,0,0,2018-11-12 18:46:35.405547,2
2,0,0,2018-11-12 18:46:50.820586,2
3,0,0,2018-11-12 18:46:53.523711,2
3,0,0,2018-11-12 18:46:54.691680,2
3,0,0,2018-11-12 18:46:55.293242,2
3,0,0,2018-11-12 18:46:57.128203,2
2,0,0,2018-11-12 18:47:00.665312,2
2,0,0,2018-11-12 18:47:01.299102,2
1,1,0,2018-11-12 18:47:01.731719,2
1,1,1,2018-11-12 18:47:03.467070,2
2,0,0,2018-11-12 18:47:03.767852,2
1,1,0,2018-11-12 18:47:40.136992,2
3,0,0,2018-11-12 18:47:45.141875,2
3,0,0,2018-11-12 18:48:03.693633,2
1,1,0,2018-11-12 18:48:17.307891,2
1,1,0,2018-11-12 18:49:24.575469,2
1,1,0,2018-11-12 18:49:47.632109,2
1,1,1,2018-11-12 18:59:00.817656,2
2,0,0,2018-11-12 19:00:14.759062,2
2,0,0,2018-11-12 19:01:12.250273,2
2,0,0,2018-11-12 19:01:31.502227,2
2,0,0,2018-11-12 19:01:44.514922,2
3,0,0,2018-11-12 19:02:07.038359,2
2,0,0,2018-11-12 19:02:08.572539,2
3,0,0,2018-11-12 19:02:23.754180,2
3,0,0,2018-11-12 19:02:26.924102,2
2,0,0,2018-11-12 19:02:27.557891,2
1,1,0,2018-11-12 19:03:40.464141,2
1,1,0,2018-11-12 19:03:41.598906,2
1,1,0,2018-11-12 19:03:44.267852,2
1,1,0,2018-11-12 19:03:46.871367,2
1,1,1,2018-11-12 19:04:17.702422,2
1,1,0,2018-11-12 19:05:30.140898,2
2,0,0,2018-11-12 19:05:55.700469,2
2,0,0,2018-11-12 19:05:57.168242,2
3,0,0,2018-11-12 19:06:02.739531,2
3,0,0,2018-11-12 19:06:12.649688,2
1,1,0,2018-11-12 19:06:22.593047,2
1,1,0,2018-11-12 19:06:24.962188,2
3,0,0,2018-11-12 19:06:28.698516,2
3,0,0,2018-11-12 19:06:29.667266,2
1,1,0,2018-11-12 19:06:49.553984,2
1,1,1,2018-11-12 19:06:51.388945,2
1,1,0,2018-11-12 19:07:43.040312,2
1,1,0,2018-11-12 19:07:46.878203,2
1,1,0,2018-11-12 19:07:50.513945,2
1,1,0,2018-11-12 19:07:51.815703,2
3,0,0,2018-11-12 19:08:14.804961,2
2,0,0,2018-11-12 19:08:15.673125,2
3,0,0,2018-11-12 19:08:19.109648,2
1,1,1,2018-11-12 19:08:42.232695,2
3,0,0,2018-11-12 19:10:01.045195,2
3,0,0,2018-11-12 19:10:03.080352,2
1,1,0,2018-11-12 19:10:22.566680,2
2,0,0,2018-11-12 19:10:28.805938,2
1,1,0,2018-11-12 19:10:31.042266,2
1,1,0,2018-11-12 19:10:48.259062,2
1,1,0,2018-11-12 19:11:13.584258,2
1,1,1,2018-11-12 19:11:49.921172,2
1,1,0,2018-11-12 19:11:56.193633,2
1,1,0,2018-11-12 19:12:45.442656,2
1,1,0,2018-11-12 19:12:48.979766,2
1,1,0,2018-11-12 19:12:50.013945,2
1,1,1,2018-11-12 19:12:50.081328,2
1,1,0,2018-11-12 19:13:30.955352,2
1,1,0,2018-11-12 19:13:33.523711,2
1,1,0,2018-11-12 19:13:35.525664,2
1,1,0,2018-11-12 19:13:50.841094,2
1,1,1,2018-11-12 19:14:00.117461,2
3,0,0,2018-11-12 19:14:33.384062,2
3,0,0,2018-11-12 19:14:47.898711,2
3,0,0,2018-11-12 19:14:48.533477,2
1,1,0,2018-11-12 19:15:18.195586,2
1,1,0,2018-11-12 19:15:20.764922,2
1,1,0,2018-11-12 19:15:49.460234,2
3,0,0,2018-11-12 19:16:30.701445,2
1,1,0,2018-11-12 19:16:42.747344,2
2,0,0,2018-11-12 19:16:45.583281,2
1,1,1,2018-11-12 19:17:05.970000,2
1,1,0,2018-11-12 19:20:06.784453,2
1,1,0,2018-11-12 19:20:17.628203,2
1,1,0,2018-11-12 19:21:34.038359,2
1,1,0,2018-11-12 19:22:10.140898,2
2,0,0,2018-11-12 19:22:26.489531,2
3,0,0,2018-11-12 19:22:40.937773,2
3,0,0,2018-11-12 19:22:46.677031,2
2,0,0,2018-11-12 19:22:47.511016,2
2,0,0,2018-11-12 19:23:09.399688,2
3,0,0,2018-11-12 19:23:13.403594,2
1,1,1,2018-11-12 19:23:43.767852,2
2,0,0,2018-11-12 19:24:43.360625,2
1,1,0,2018-11-12 19:24:48.366484,2
1,1,0,2018-11-12 19:24:49.467070,2
2,0,0,2018-11-12 19:24:51.935820,2
1,1,0,2018-11-12 19:25:07.051055,2
1,1,0,2018-11-12 19:25:09.352812,2
3,0,0,2018-11-12 19:25:15.760039,2
1,1,1,2018-11-12 19:25:41.685820,2
2,0,0,2018-11-12 19:26:40.845000,2
2,0,0,2018-11-12 19:27:12.275664,2
2,0,0,2018-11-12 19:27:15.111602,2
3,0,0,2018-11-12 19:27:19.383086,2
2,0,0,2018-11-12 19:27:26.757109,2
3,0,0,2018-11-12 19:28:13.871367,2
2,0,0,2018-11-12 19:28:15.706328,2
1,1,0,2018-11-12 19:28:47.038359,2
2,0,0,2018-11-12 19:28:53.878203,2
2,0,0,2018-11-12 19:28:54.477812,2
3,0,0,2018-11-12 19:28:55.046172,2
2,0,0,2018-11-12 19:28:55.612578,2
2,0,0,2018-11-12 19:28:58.114531,2
2,0,0,2018-11-12 19:28:59.884062,2
3,0,0,2018-11-12 19:29:04.988555,2
2,0,0,2018-11-12 19:29:08.793242,2
1,1,0,2018-11-12 19:29:09.526641,2
1,1,0,2018-11-12 19:29:14.264922,2
1,1,0,2018-11-12 19:29:16.667266,2
2,0,0,2018-11-12 19:32:03.834258,2
1,1,1,2018-11-12 19:32:13.643828,2
1,1,0,2018-11-12 19:33:37.495391,2
1,1,0,2018-11-12 19:33:41.698516,2
1,1,0,2018-11-12 19:34:19.537383,2
1,1,0,2018-11-12 19:34:44.595000,2
1,1,1,2018-11-12 19:35:15.793242,2
2,0,0,2018-11-12 19:35:52.195586,2
2,0,0,2018-11-12 19:36:08.178984,2
1,1,0,2018-11-12 19:36:11.648711,2
1,1,0,2018-11-12 19:36:37.742461,2
1,1,0,2018-11-12 19:36:40.810820,2
1,1,0,2018-11-12 19:37:11.542266,2
1,1,1,2018-11-12 19:37:13.578398,2
1,1,0,2018-11-12 19:37:16.547148,2
1,1,0,2018-11-12 19:39:09.594023,2
1,1,0,2018-11-12 20:00:20.564727,2
2,0,0,2018-11-12 20:00:44.654570,2
2,0,0,2018-11-12 20:00:44.854766,2
1,1,0,2018-11-12 20:01:15.485625,2
1,1,1,2018-11-12 20:02:19.884062,2
1,1,0,2018-11-12 20:05:53.164336,2
2,0,0,2018-11-12 20:06:15.986602,2
1,1,0,2018-11-12 20:06:49.553984,2
1,1,0,2018-11-12 20:07:08.839141,2
1,1,0,2018-11-12 20:07:28.191680,2
1,1,1,2018-11-12 20:07:30.560820,2
1,1,0,2018-11-12 20:07:33.597930,2
1,1,0,2018-11-12 20:08:45.769805,2
1,1,0,2018-11-12 20:08:51.274688,2
1,1,0,2018-11-12 20:08:55.278594,2
1,1,1,2018-11-12 20:09:00.317656,2
1,1,0,2018-11-12 20:09:01.552031,2
3,0,0,2018-11-12 20:09:45.296172,2
1,1,0,2018-11-12 20:10:28.706328,2
1,1,0,2018-11-12 20:10:30.640898,2
1,1,0,2018-11-12 20:10:33.744414,2
1,1,1,2018-11-12 20:10:36.112578,2
1,1,0,2018-11-12 20:10:36.747344,2
1,1,0,2018-11-12 20:11:35.105742,2
1,1,0,2018-11-12 20:11:38.843047,2
1,1,0,2018-11-12 20:11:40.344023,2
1,1,1,2018-11-12 20:11:44.248320,2
1,1,0,2018-11-12 20:12:08.839141,2
1,1,0,2018-11-12 20:12:13.511016,2
1,1,0,2018-11-12 20:12:16.947539,2
1,1,0,2018-11-12 20:12:19.149688,2
1,1,1,2018-11-12 20:12:19.450469,2
1,1,0,2018-11-12 20:12:32.362578,2
1,1,0,2018-11-12 20:12:34.264922,2
1,1,0,2018-11-12 20:12:34.931914,2
1,1,0,2018-11-12 20:12:35.899688,2
1,1,1,2018-11-12 20:12:41.005156,2
1,1,0,2018-11-12 20:12:43.040312,2
1,1,0,2018-11-12 20:13:00.690703,2
1,1,0,2018-11-12 20:13:08.466094,2
1,1,0,2018-11-12 20:13:14.038359,2
1,1,1,2018-11-12 20:13:30.755156,2
1,1,0,2018-11-12 20:13:33.857695,2
1,1,0,2018-11-12 20:13:45.235625,2
1,1,0,2018-11-12 20:13:51.474883,2
1,1,0,2018-11-12 20:13:55.079375,2
1,1,1,2018-11-12 20:13:55.946562,2
1,1,0,2018-11-12 20:13:56.613555,2
1,1,0,2018-11-12 20:13:59.182891,2
1,1,0,2018-11-12 20:14:15.432891,2
1,1,0,2018-11-12 20:14:19.170195,2
1,1,1,2018-11-12 20:14:24.508086,2
1,1,0,2018-11-12 20:14:26.610625,2
2,0,0,2018-11-12 20:14:44.795195,2
1,1,0,2018-11-12 20:14:53.603789,2
1,1,0,2018-11-12 20:14:56.239531,2
1,1,0,2018-11-12 20:14:59.210234,2
1,1,1,2018-11-12 20:15:09.553984,2
1,1,0,2018-11-12 20:15:43.386992,2
1,1,0,2018-11-12 20:15:46.924102,2
1,1,0,2018-11-12 20:15:52.296172,2
1,1,0,2018-11-12 20:15:52.630156,2
1,1,1,2018-11-12 20:15:57.668242,2
1,1,0,2018-11-12 20:15:59.402617,2
1,1,0,2018-11-12 20:16:08.111602,2
1,1,0,2018-11-12 20:16:08.845977,2
1,1,0,2018-11-12 20:16:11.082305,2
1,1,1,2018-11-12 20:16:42.145781,2
1,1,0,2018-11-12 20:17:00.764922,2
2,0,0,2018-11-12 20:17:03.266875,2
2,0,0,2018-11-12 20:17:03.334258,2
1,1,0,2018-11-12 20:17:05.336211,2
1,1,0,2018-11-12 20:17:25.222930,2
1,1,0,2018-11-12 20:17:29.893828,2
1,1,1,2018-11-12 20:17:31.162383,2
1,1,0,2018-11-12 20:17:33.363555,2
1,1,0,2018-11-12 20:17:54.952422,2
1,1,0,2018-11-12 20:17:59.957305,2
3,0,0,2018-11-12 20:18:07.430938,2
3,0,0,2018-11-12 20:18:09.000273,2
2,0,0,2018-11-12 20:18:10.001250,2
2,0,0,2018-11-12 20:18:12.769805,2
1,1,0,2018-11-12 20:18:13.538359,2
1,1,1,2018-11-12 20:18:14.705352,2
1,1,0,2018-11-12 20:18:18.342070,2
1,1,0,2018-11-12 20:18:32.123320,2
1,1,0,2018-11-12 20:18:40.831328,2
2,0,0,2018-11-12 20:18:56.846953,2
1,1,0,2018-11-12 20:20:16.827422,2
2,0,0,2018-11-12 20:20:19.664336,2
2,0,0,2018-11-12 20:20:21.198516,2
1,1,1,2018-11-12 20:20:29.739531,2
2,0,0,2018-11-12 20:21:03.940703,2
2,0,0,2018-11-12 20:21:24.495391,2
2,0,0,2018-11-12 20:21:24.962188,2
2,0,0,2018-11-12 20:21:27.465117,2
1,1,0,2018-11-12 20:21:39.776641,2
1,1,0,2018-11-12 20:21:41.478789,2
1,1,0,2018-11-12 20:21:43.381133,2
1,1,0,2018-11-12 20:21:55.892852,2
1,1,1,2018-11-12 20:21:57.094023,2
1,1,0,2018-11-12 20:21:58.663359,2
1,1,0,2018-11-12 20:22:01.765898,2
2,0,0,2018-11-12 20:23:57.248320,2
2,0,0,2018-11-12 20:23:58.950469,2
1,1,0,2018-11-12 20:25:27.637969,2
1,1,0,2018-11-12 20:25:29.940703,2
1,1,1,2018-11-12 20:26:29.099883,2
1,1,0,2018-11-12 20:26:33.838164,2
1,1,0,2018-11-12 20:26:54.190703,2
1,1,0,2018-11-12 20:27:19.083281,2
1,1,0,2018-11-12 20:30:08.119414,2
1,1,1,2018-11-12 20:30:22.566680,2
2,0,0,2018-11-12 20:30:32.510039,2
2,0,0,2018-11-12 20:30:33.310820,2
1,1,0,2018-11-12 20:31:15.086211,2
3,0,0,2018-11-12 20:31:58.361602,2
2,0,0,2018-11-12 20:31:59.863555,2
2,0,0,2018-11-12 20:32:03.367461,2
1,1,0,2018-11-12 20:33:23.748320,2
1,1,0,2018-11-12 20:34:05.590117,2
1,1,0,2018-11-12 20:34:08.426055,2
1,1,1,2018-11-12 20:34:12.929961,2
1,1,0,2018-11-12 20:36:16.754180,2
1,1,0,2018-11-12 20:36:17.988555,2
1,1,0,2018-11-12 20:36:19.991484,2
1,1,0,2018-11-12 20:36:23.427031,2
1,1,1,2018-11-12 20:36:25.195586,2
