poke,correct,pellet,datetime,segment
1,1,0,2018-11-26 11:30:14.917000,2
2,0,0,2018-11-26 11:30:28.097000,2
3,0,0,2018-11-26 11:30:28.898001,2
3,0,0,2018-11-26 11:30:29.931999,2
2,0,0,2018-11-26 11:30:32.735001,2
1,1,0,2018-11-26 11:30:35.837999,2
1,1,0,2018-11-26 11:30:37.073000,2
2,0,0,2018-11-26 11:30:44.613001,2
3,0,0,2018-11-26 11:30:46.148001,2
3,0,0,2018-11-26 11:30:51.519999,2
2,0,0,2018-11-26 11:30:52.855001,2
1,1,0,2018-11-26 11:30:54.990999,2
2,0,0,2018-11-26 11:30:57.593000,2
2,0,0,2018-11-26 11:30:59.629000,2
3,0,0,2018-11-26 11:31:08.136999,2
2,0,0,2018-11-26 11:31:09.572001,2
3,0,0,2018-11-26 11:31:40.903002,2
1,1,1,2018-11-26 11:31:43.239000,2
1,1,0,2018-11-26 11:31:45.340998,2
2,0,0,2018-11-26 11:31:46.074999,2
2,0,0,2018-11-26 11:31:46.741999,2
2,0,0,2018-11-26 11:31:53.849001,2
3,0,0,2018-11-26 11:31:55.184000,2
2,0,0,2018-11-26 11:32:12.335001,2
2,0,0,2018-11-26 11:32:15.203997,2
2,0,0,2018-11-26 11:32:34.957003,2
2,0,0,2018-11-26 11:32:35.992006,2
3,0,0,2018-11-26 11:32:39.395006,2
3,0,0,2018-11-26 11:32:50.039003,2
1,1,0,2018-11-26 11:32:55.511004,2
2,0,0,2018-11-26 11:32:57.546007,2
3,0,0,2018-11-26 11:33:04.754000,2
1,1,0,2018-11-26 11:33:06.289003,2
3,0,0,2018-11-26 11:33:11.093004,2
1,1,0,2018-11-26 11:33:17.365999,2
1,1,1,2018-11-26 11:33:22.705004,2
1,1,0,2018-11-26 11:33:26.742006,2
1,1,0,2018-11-26 11:33:34.817003,2
2,0,0,2018-11-26 11:33:36.285006,2
1,1,0,2018-11-26 11:33:38.653994,2
1,1,0,2018-11-26 11:33:41.623995,2
1,1,1,2018-11-26 11:34:40.882998,2
1,1,0,2018-11-26 11:34:53.161989,2
2,0,0,2018-11-26 11:34:55.931002,2
1,1,0,2018-11-26 11:35:01.237001,2
1,1,0,2018-11-26 11:35:06.041994,2
2,0,0,2018-11-26 11:35:20.423006,2
1,1,0,2018-11-26 11:35:21.856997,2
2,0,0,2018-11-26 11:35:23.125002,2
3,0,0,2018-11-26 11:35:24.359987,2
3,0,0,2018-11-26 11:35:29.165010,2
2,0,0,2018-11-26 11:35:29.597994,2
1,1,1,2018-11-26 11:35:30.131990,2
1,1,0,2018-11-26 11:35:32.668001,2
1,1,0,2018-11-26 11:35:39.908999,2
2,0,0,2018-11-26 11:35:52.954989,2
1,1,0,2018-11-26 11:36:15.877993,2
1,1,0,2018-11-26 11:36:29.057985,2
1,1,1,2018-11-26 11:36:47.575991,2
2,0,0,2018-11-26 11:36:50.079012,2
2,0,0,2018-11-26 11:37:31.019991,2
2,0,0,2018-11-26 11:39:10.398000,2
3,0,0,2018-11-26 11:39:17.539000,2
2,0,0,2018-11-26 11:39:18.173000,2
1,1,0,2018-11-26 11:39:18.640000,2
3,0,0,2018-11-26 11:40:25.906997,2
3,0,0,2018-11-26 11:40:28.343002,2
2,0,0,2018-11-26 11:40:52.133003,2
2,0,0,2018-11-26 11:40:54.335998,2
1,1,0,2018-11-26 11:40:55.102997,2
2,0,0,2018-11-26 11:41:01.308998,2
1,1,0,2018-11-26 11:41:04.211998,2
1,1,0,2018-11-26 11:41:05.013000,2
2,0,0,2018-11-26 11:41:29.504005,2
2,0,0,2018-11-26 11:41:43.318001,2
1,1,1,2018-11-26 11:41:43.851997,2
2,0,0,2018-11-26 11:41:45.219993,2
1,1,0,2018-11-26 11:41:48.922996,2
1,1,0,2018-11-26 11:41:49.890999,2
2,0,0,2018-11-26 11:42:03.504997,2
1,1,0,2018-11-26 11:42:05.506996,2
1,1,0,2018-11-26 11:42:07.042000,2
3,0,0,2018-11-26 11:42:09.077003,2
2,0,0,2018-11-26 11:42:26.760994,2
2,0,0,2018-11-26 11:42:27.195000,2
3,0,0,2018-11-26 11:42:55.924003,2
2,0,0,2018-11-26 11:43:10.672005,2
1,1,1,2018-11-26 11:43:52.313988,2
1,1,0,2018-11-26 11:44:01.155998,2
2,0,0,2018-11-26 11:44:16.103996,2
2,0,0,2018-11-26 11:44:16.838005,2
3,0,0,2018-11-26 11:44:19.840996,2
1,1,0,2018-11-26 11:44:59.614006,2
3,0,0,2018-11-26 11:45:07.389000,2
1,1,0,2018-11-26 11:45:16.097008,2
1,1,0,2018-11-26 11:45:16.998009,2
2,0,0,2018-11-26 11:45:17.165001,2
3,0,0,2018-11-26 11:45:17.431999,2
3,0,0,2018-11-26 11:45:18.166008,2
2,0,0,2018-11-26 11:45:37.718986,2
1,1,1,2018-11-26 11:45:58.806999,2
2,0,0,2018-11-26 11:46:15.523002,2
2,0,0,2018-11-26 11:46:56.631004,2
1,1,0,2018-11-26 11:47:28.796989,2
2,0,0,2018-11-26 11:47:29.830986,2
1,1,0,2018-11-26 11:47:55.991020,2
1,1,0,2018-11-26 11:47:57.359001,2
