poke,correct,pellet,datetime,segment
2,0,0,2018-11-26 11:32:10.799997,2
2,0,0,2018-11-26 11:32:13.336000,2
3,0,0,2018-11-26 11:32:30.319002,2
3,0,0,2018-11-26 11:34:31.307009,2
1,1,0,2018-11-26 11:34:37.178988,2
3,0,0,2018-11-26 11:36:19.247988,2
1,1,0,2018-11-26 13:19:03.992180,2
3,0,0,2018-11-26 13:19:16.503898,2
1,1,0,2018-11-26 13:19:36.725090,2
3,0,0,2018-11-26 13:20:18.033195,2
3,0,0,2018-11-26 13:20:20.535148,2
2,0,0,2018-11-26 13:20:29.376945,2
2,0,0,2018-11-26 13:20:31.579094,2
1,1,0,2018-11-26 13:20:49.097160,2
2,0,0,2018-11-26 13:22:18.152824,2
3,0,0,2018-11-26 13:22:28.896965,2
2,0,0,2018-11-26 13:22:29.863762,2
3,0,0,2018-11-26 13:23:01.228996,2
2,0,0,2018-11-26 13:23:59.120109,2
3,0,0,2018-11-26 13:24:13.702141,2
3,0,0,2018-11-26 13:24:21.508781,2
3,0,0,2018-11-26 13:24:51.338859,2
2,0,0,2018-11-26 13:24:51.672844,2
3,0,0,2018-11-26 13:24:59.980949,2
2,0,0,2018-11-26 13:26:54.329094,2
2,0,0,2018-11-26 13:27:51.485832,2
2,0,0,2018-11-26 13:28:06.066887,2
1,1,0,2018-11-26 13:28:15.109855,2
1,1,1,2018-11-26 13:28:20.782219,2
2,0,0,2018-11-26 13:28:40.334953,2
1,1,0,2018-11-26 13:28:45.673820,2
2,0,0,2018-11-26 13:29:32.520012,2
3,0,0,2018-11-26 13:30:04.485832,2
2,0,0,2018-11-26 13:30:30.210930,2
2,0,0,2018-11-26 13:30:40.121086,2
2,0,0,2018-11-26 13:30:52.701164,2
3,0,0,2018-11-26 13:32:07.075188,2
3,0,0,2018-11-26 13:32:20.754875,2
3,0,0,2018-11-26 15:46:36.077141,2
3,0,0,2018-11-26 15:47:11.413078,2
3,0,0,2018-11-26 15:47:59.126945,2
3,0,0,2018-11-26 15:48:12.172844,2
2,0,0,2018-11-26 15:48:42.503898,2
2,0,0,2018-11-26 15:48:42.704094,2
2,0,0,2018-11-26 15:48:44.572258,2
1,1,0,2018-11-26 15:49:26.915031,2
1,1,0,2018-11-26 15:49:29.183586,2
2,0,0,2018-11-26 15:49:31.852531,2
2,0,0,2018-11-26 15:49:34.990227,2
3,0,0,2018-11-26 15:50:03.151359,2
1,1,0,2018-11-26 15:50:35.015617,2
2,0,0,2018-11-26 15:50:37.351555,2
2,0,0,2018-11-26 15:50:59.574211,2
3,0,0,2018-11-26 15:51:39.247062,2
3,0,0,2018-11-26 15:51:41.382805,2
2,0,0,2018-11-26 15:51:41.816398,2
2,0,0,2018-11-26 15:51:47.622062,2
2,0,0,2018-11-26 15:51:52.661125,2
2,0,0,2018-11-26 15:51:54.128898,2
2,0,0,2018-11-26 15:52:11.313469,2
3,0,0,2018-11-26 15:52:31.799797,2
2,0,0,2018-11-26 15:52:45.846672,2
1,1,1,2018-11-26 15:52:58.258781,2
3,0,0,2018-11-26 15:53:25.386711,2
1,1,0,2018-11-26 15:54:30.785148,2
1,1,0,2018-11-26 15:54:35.490227,2
2,0,0,2018-11-26 15:54:53.507805,2
3,0,0,2018-11-26 15:55:03.952141,2
3,0,0,2018-11-26 15:55:08.323234,2
2,0,0,2018-11-26 15:55:09.089836,2
1,1,0,2018-11-26 15:55:33.648430,2
1,1,0,2018-11-26 15:55:46.960930,2
3,0,0,2018-11-26 15:56:20.028312,2
1,1,1,2018-11-26 15:56:21.628898,2
1,1,0,2018-11-26 15:56:27.601555,2
1,1,0,2018-11-26 15:56:28.870109,2
1,1,0,2018-11-26 15:56:29.904289,2
1,1,0,2018-11-26 15:56:35.009758,2
1,1,1,2018-11-26 15:56:37.979484,2
2,0,0,2018-11-26 15:57:06.674797,2
3,0,0,2018-11-26 15:58:13.608391,2
2,0,0,2018-11-26 15:58:13.942375,2
3,0,0,2018-11-26 15:58:45.573234,2
2,0,0,2018-11-26 15:58:46.307609,2
2,0,0,2018-11-26 15:58:48.876945,2
1,1,0,2018-11-26 15:59:29.550773,2
1,1,0,2018-11-26 15:59:41.428703,2
2,0,0,2018-11-26 16:00:02.683586,2
2,0,0,2018-11-26 16:00:21.403312,2
1,1,0,2018-11-26 16:00:34.416008,2
3,0,0,2018-11-26 17:27:29.364250,2
1,1,0,2018-11-26 17:28:23.151359,2
1,1,1,2018-11-26 17:28:31.059562,2
1,1,0,2018-11-26 17:29:18.340812,2
2,0,0,2018-11-26 17:29:20.942375,2
3,0,0,2018-11-26 17:29:35.456047,2
3,0,0,2018-11-26 17:29:39.461906,2
3,0,0,2018-11-26 17:30:57.905266,2
2,0,0,2018-11-26 17:30:59.440422,2
1,1,0,2018-11-26 17:31:24.432609,2
1,1,0,2018-11-26 17:31:30.038078,2
2,0,0,2018-11-26 17:31:59.567375,2
1,1,0,2018-11-26 17:33:44.973625,2
1,1,1,2018-11-26 17:33:47.776359,2
1,1,0,2018-11-26 17:34:11.432609,2
1,1,0,2018-11-26 17:34:15.135734,2
2,0,0,2018-11-26 17:34:15.469719,2
2,0,0,2018-11-26 17:34:28.782219,2
2,0,0,2018-11-26 18:08:05.840055,2
3,0,0,2018-11-26 18:08:15.383023,2
2,0,0,2018-11-26 18:08:15.849942,2
2,0,0,2018-11-26 18:08:17.651944,2
2,0,0,2018-11-26 18:08:39.373990,2
3,0,0,2018-11-26 18:08:45.080045,2
2,0,0,2018-11-26 18:09:00.862027,2
2,0,0,2018-11-26 18:09:01.562955,2
2,0,0,2018-11-26 18:09:08.135953,2
1,1,0,2018-11-26 18:09:40.035001,2
3,0,0,2018-11-26 18:10:12.967008,2
3,0,0,2018-11-26 18:10:14.502042,2
2,0,0,2018-11-26 18:11:15.562955,2
1,1,0,2018-11-26 18:11:20.535001,2
2,0,0,2018-11-26 18:11:21.302945,2
2,0,0,2018-11-26 18:11:31.812955,2
2,0,0,2018-11-26 18:11:32.680997,2
2,0,0,2018-11-26 18:11:33.547940,2
1,1,0,2018-11-26 18:11:36.384000,2
3,0,0,2018-11-26 18:12:00.809049,2
2,0,0,2018-11-26 18:12:35.509977,2
