poke,correct,pellet,datetime,segment
1,1,0,2018-11-12 18:22:06.470000,2
3,0,0,2018-11-12 18:22:44.408477,2
1,1,0,2018-11-12 18:22:52.349883,2
1,1,0,2018-11-12 18:23:07.230742,2
2,0,0,2018-11-12 18:23:39.729766,2
1,1,0,2018-11-12 18:23:47.571562,2
2,0,0,2018-11-12 18:24:21.672148,2
1,1,1,2018-11-12 18:24:55.405547,2
1,1,0,2018-11-12 18:26:13.084258,2
1,1,0,2018-11-12 18:26:18.589141,2
1,1,0,2018-11-12 18:29:22.373320,2
1,1,0,2018-11-12 18:29:49.300078,2
2,0,0,2018-11-12 18:41:27.832305,2
2,0,0,2018-11-12 18:47:24.589141,2
2,0,0,2018-11-12 18:47:58.522734,2
2,0,0,2018-11-12 18:48:08.098906,2
3,0,0,2018-11-12 18:50:05.416289,2
2,0,0,2018-11-12 18:56:13.483672,2
2,0,0,2018-11-12 18:56:51.855742,2
2,0,0,2018-11-12 18:59:28.678984,2
1,1,1,2018-11-12 19:00:04.749297,2
2,0,0,2018-11-12 19:00:22.333281,2
2,0,0,2018-11-12 19:03:51.842070,2
1,1,0,2018-11-12 19:11:35.772734,2
1,1,0,2018-11-12 19:11:42.178984,2
2,0,0,2018-11-12 19:20:40.885039,2
2,0,0,2018-11-12 19:20:45.522734,2
2,0,0,2018-11-12 19:23:38.061797,2
2,0,0,2018-11-12 19:40:31.075469,2
2,0,0,2018-11-12 19:55:28.071562,2
3,0,0,2018-11-12 19:55:39.983672,2
2,0,0,2018-11-12 19:57:43.773711,2
2,0,0,2018-11-12 19:57:51.382109,2
1,1,0,2018-11-12 19:58:06.930938,2
1,1,0,2018-11-12 19:58:10.400664,2
2,0,0,2018-11-12 19:58:40.498320,2
2,0,0,2018-11-12 19:59:43.094023,2
3,0,0,2018-11-12 20:01:29.599883,2
1,1,1,2018-11-12 20:01:33.770781,2
1,1,0,2018-11-12 20:01:40.378203,2
2,0,0,2018-11-12 20:01:46.316680,2
2,0,0,2018-11-12 20:01:48.052031,2
2,0,0,2018-11-12 20:02:00.464141,2
2,0,0,2018-11-12 20:08:03.059844,2
1,1,0,2018-11-12 20:14:13.497344,2
2,0,0,2018-11-12 20:15:42.852812,2
2,0,0,2018-11-12 20:21:39.911406,2
2,0,0,2018-11-12 20:25:00.912383,2
2,0,0,2018-11-12 20:34:43.560820,2
2,0,0,2018-11-12 20:34:50.668242,2
3,0,0,2018-11-12 20:34:57.408477,2
3,0,0,2018-11-12 20:34:59.442656,2
2,0,0,2018-11-12 20:35:00.344023,2
1,1,0,2018-11-12 20:49:12.495391,2
2,0,0,2018-11-12 20:50:22.667266,2
1,1,0,2018-11-12 20:50:34.712188,2
2,0,0,2018-11-12 20:50:53.997344,2
1,1,1,2018-11-12 20:54:38.022734,2
1,1,0,2018-11-12 21:02:29.292266,2
2,0,0,2018-11-12 21:08:23.014922,2
3,0,0,2018-11-12 21:08:36.460234,2
2,0,0,2018-11-12 21:08:43.667266,2
2,0,0,2018-11-12 21:17:42.772734,2
2,0,0,2018-11-12 21:17:45.409453,2
2,0,0,2018-11-12 21:19:18.468047,2
1,1,0,2018-11-12 21:19:35.118438,2
2,0,0,2018-11-12 21:19:41.391875,2
1,1,0,2018-11-12 21:23:16.239531,2
2,0,0,2018-11-12 21:24:05.723906,2
3,0,0,2018-11-12 21:26:17.921172,2
2,0,0,2018-11-12 21:26:19.991484,2
2,0,0,2018-11-12 21:26:27.698516,2
2,0,0,2018-11-12 21:29:16.032500,2
2,0,0,2018-11-12 21:32:45.108672,2
2,0,0,2018-11-12 21:33:05.462188,2
3,0,0,2018-11-12 21:33:23.780547,2
2,0,0,2018-11-12 21:35:21.999297,2
1,1,0,2018-11-12 21:37:09.639922,2
2,0,0,2018-11-12 21:37:17.014922,2
2,0,0,2018-11-12 21:38:12.470000,2
1,1,1,2018-11-12 21:40:50.093047,2
1,1,0,2018-11-12 21:40:52.163359,2
2,0,0,2018-11-12 21:40:58.302031,2
1,1,0,2018-11-12 21:42:21.018828,2
2,0,0,2018-11-12 21:43:21.245391,2
2,0,0,2018-11-12 21:44:35.218047,2
3,0,0,2018-11-12 21:45:46.991484,2
2,0,0,2018-11-12 21:48:20.778594,2
2,0,0,2018-11-12 21:49:22.573516,2
2,0,0,2018-11-12 21:49:26.577422,2
1,1,0,2018-11-12 21:49:46.930938,2
2,0,0,2018-11-12 21:49:49.966094,2
2,0,0,2018-11-12 21:49:51.034453,2
2,0,0,2018-11-12 21:51:52.522734,2
1,1,0,2018-11-12 21:52:06.671172,2
1,1,1,2018-11-12 21:56:37.608672,2
2,0,0,2018-11-12 21:58:01.591094,2
2,0,0,2018-11-12 21:59:06.991484,2
2,0,0,2018-11-12 21:59:23.007109,2
2,0,0,2018-11-12 21:59:36.620391,2
3,0,0,2018-11-12 21:59:55.372344,2
1,1,0,2018-11-12 22:02:29.827422,2
1,1,0,2018-11-12 22:02:33.163359,2
2,0,0,2018-11-12 22:04:42.273000,2
1,1,0,2018-11-12 22:04:50.447999,2
2,0,0,2018-11-12 22:04:57.321000,2
2,0,0,2018-11-12 22:06:12.129002,2
3,0,0,2018-11-12 22:08:48.918996,2
2,0,0,2018-11-12 22:08:51.956013,2
2,0,0,2018-11-12 22:08:56.426991,2
3,0,0,2018-11-12 22:09:57.154011,2
2,0,0,2018-11-12 22:09:58.655995,2
2,0,0,2018-11-12 22:10:11.668996,2
2,0,0,2018-11-12 22:11:13.663991,2
2,0,0,2018-11-12 22:11:36.887013,2
2,0,0,2018-11-12 22:13:23.627003,2
1,1,0,2018-11-12 22:13:31.335011,2
2,0,0,2018-11-12 22:15:24.981984,2
2,0,0,2018-11-12 22:16:15.231984,2
2,0,0,2018-11-12 22:17:09.986989,2
2,0,0,2018-11-12 22:17:29.874013,2
2,0,0,2018-11-12 22:17:42.085988,2
1,1,0,2018-11-12 22:22:17.294057,2
1,1,0,2018-11-12 22:22:20.630971,2
3,0,0,2018-11-12 22:22:38.448964,2
2,0,0,2018-11-12 22:23:17.187978,2
1,1,1,2018-11-12 22:23:38.308949,2
1,1,0,2018-11-12 22:24:58.222035,2
1,1,0,2018-11-12 22:25:02.058949,2
1,1,0,2018-11-12 22:25:16.607045,2
1,1,0,2018-11-12 22:26:04.155019,2
1,1,1,2018-11-12 22:26:37.321034,2
2,0,0,2018-11-12 22:26:40.591054,2
2,0,0,2018-11-12 22:27:01.411977,2
1,1,0,2018-11-12 22:27:18.728993,2
2,0,0,2018-11-12 22:27:26.302968,2
1,1,0,2018-11-12 22:27:32.143056,2
1,1,0,2018-11-12 22:27:54.999013,2
2,0,0,2018-11-12 22:28:36.640004,2
1,1,0,2018-11-12 22:28:44.781972,2
2,0,0,2018-11-12 22:29:05.235951,2
2,0,0,2018-11-12 22:29:10.640980,2
1,1,1,2018-11-12 22:29:53.016957,2
1,1,0,2018-11-12 22:30:05.395985,2
3,0,0,2018-11-12 22:30:31.655019,2
2,0,0,2018-11-12 22:30:33.190053,2
2,0,0,2018-11-12 22:31:04.221059,2
1,1,0,2018-11-12 22:31:15.198964,2
1,1,0,2018-11-12 22:31:16.067006,2
2,0,0,2018-11-12 22:31:18.568959,2
3,0,0,2018-11-12 22:31:21.372060,2
3,0,0,2018-11-12 22:31:23.673939,2
3,0,0,2018-11-12 22:31:33.284047,2
2,0,0,2018-11-12 22:31:54.104970,2
2,0,0,2018-11-12 22:32:11.622060,2
1,1,0,2018-11-12 22:32:43.453969,2
2,0,0,2018-11-12 22:32:47.891957,2
3,0,0,2018-11-12 22:32:52.129018,2
3,0,0,2018-11-12 22:32:54.130971,2
2,0,0,2018-11-12 22:32:58.269032,2
1,1,1,2018-11-12 22:32:59.036000,2
1,1,0,2018-11-12 22:33:09.245961,2
1,1,0,2018-11-12 22:33:11.281972,2
1,1,0,2018-11-12 22:33:13.350941,2
1,1,0,2018-11-12 22:33:18.789052,2
1,1,1,2018-11-12 22:34:15.412953,2
2,0,0,2018-11-12 22:34:41.305043,2
2,0,0,2018-11-12 22:34:43.473988,2
1,1,0,2018-11-12 22:35:00.024037,2
2,0,0,2018-11-12 22:35:05.796010,2
3,0,0,2018-11-12 22:35:08.332021,2
1,1,0,2018-11-12 22:35:19.977040,2
1,1,0,2018-11-12 22:35:22.446034,2
1,1,0,2018-11-12 22:35:43.733998,2
1,1,1,2018-11-12 22:35:45.135976,2
3,0,0,2018-11-12 22:36:25.676015,2
3,0,0,2018-11-12 22:36:34.118031,2
1,1,0,2018-11-12 22:36:41.624989,2
1,1,0,2018-11-12 22:37:19.263051,2
2,0,0,2018-11-12 22:37:22.733021,2
1,1,0,2018-11-12 22:37:34.978993,2
1,1,0,2018-11-12 22:37:53.364003,2
2,0,0,2018-11-12 22:38:18.022084,2
2,0,0,2018-11-12 22:39:02.033070,2
2,0,0,2018-11-12 22:39:02.700062,2
3,0,0,2018-11-12 22:39:05.101918,2
1,1,1,2018-11-12 22:39:15.479115,2
1,1,0,2018-11-12 22:39:32.263051,2
1,1,0,2018-11-12 22:39:37.233998,2
1,1,0,2018-11-12 22:39:44.742055,2
2,0,0,2018-11-12 22:39:48.679066,2
2,0,0,2018-11-12 22:40:07.365102,2
3,0,0,2018-11-12 22:40:11.502064,2
1,1,0,2018-11-12 22:40:26.483998,2
1,1,1,2018-11-12 22:40:31.856068,2
2,0,0,2018-11-12 22:41:29.814076,2
1,1,0,2018-11-12 22:41:36.286977,2
2,0,0,2018-11-12 22:41:37.954945,2
2,0,0,2018-11-12 22:42:02.546010,2
2,0,0,2018-11-12 22:42:03.848012,2
1,1,0,2018-11-12 22:42:05.583119,2
1,1,0,2018-11-12 22:42:10.653920,2
1,1,0,2018-11-12 22:42:12.422963,2
1,1,1,2018-11-12 22:42:21.665883,2
1,1,0,2018-11-12 22:42:38.816029,2
2,0,0,2018-11-12 22:42:43.354115,2
1,1,0,2018-11-12 22:42:49.392934,2
1,1,0,2018-11-12 22:43:21.525014,2
2,0,0,2018-11-12 22:43:40.511098,2
2,0,0,2018-11-12 22:43:43.981068,2
1,1,0,2018-11-12 22:43:56.160023,2
2,0,0,2018-11-12 22:44:02.533070,2
1,1,1,2018-11-12 22:44:08.872914,2
1,1,0,2018-11-12 22:44:18.715932,2
1,1,0,2018-11-12 22:44:50.747914,2
1,1,0,2018-11-12 22:44:56.420033,2
2,0,0,2018-11-12 22:45:10.534047,2
1,1,0,2018-11-12 22:45:24.482045,2
1,1,1,2018-11-12 22:45:39.096059,2
2,0,0,2018-11-12 22:46:22.038930,2
1,1,0,2018-11-12 22:46:25.743031,2
2,0,0,2018-11-12 22:46:33.683949,2
1,1,0,2018-11-12 22:46:51.735951,2
2,0,0,2018-11-12 22:46:59.275990,2
1,1,0,2018-11-12 22:47:21.899037,2
1,1,0,2018-11-12 22:48:03.107045,2
2,0,0,2018-11-12 22:48:08.512074,2
1,1,1,2018-11-12 22:48:58.061879,2
1,1,0,2018-11-12 22:49:08.571889,2
2,0,0,2018-11-12 22:49:16.847035,2
1,1,0,2018-11-12 22:49:35.799916,2
2,0,0,2018-11-12 22:49:39.970082,2
1,1,0,2018-11-12 22:50:01.292104,2
1,1,0,2018-11-12 22:50:02.660023,2
1,1,1,2018-11-12 22:50:19.677113,2
1,1,0,2018-11-12 22:50:42.566029,2
2,0,0,2018-11-12 22:50:43.633900,2
3,0,0,2018-11-12 22:50:50.775014,2
2,0,0,2018-11-12 22:50:54.744984,2
1,1,0,2018-11-12 22:50:56.781117,2
1,1,0,2018-11-12 22:51:38.121938,2
3,0,0,2018-11-12 22:51:50.233998,2
2,0,0,2018-11-12 22:51:51.234975,2
1,1,0,2018-11-12 22:52:13.423939,2
1,1,1,2018-11-12 22:52:22.033070,2
1,1,0,2018-11-12 22:52:31.208119,2
1,1,0,2018-11-12 22:53:21.325062,2
2,0,0,2018-11-12 22:53:29.599965,2
1,1,0,2018-11-12 22:54:10.473988,2
2,0,0,2018-11-12 22:54:14.879018,2
1,1,0,2018-11-12 22:54:36.766957,2
2,0,0,2018-11-12 22:55:20.143910,2
3,0,0,2018-11-12 22:55:23.880971,2
1,1,1,2018-11-12 22:55:32.490102,2
2,0,0,2018-11-12 22:56:02.519887,2
1,1,0,2018-11-12 22:57:09.720082,2
3,0,0,2018-11-12 22:57:16.860951,2
3,0,0,2018-11-12 22:57:19.129994,2
1,1,0,2018-11-12 22:57:24.100941,2
1,1,0,2018-11-12 22:57:27.237904,2
1,1,0,2018-11-12 22:57:29.539906,2
2,0,0,2018-11-12 22:57:32.142934,2
2,0,0,2018-11-12 22:57:41.118031,2
1,1,1,2018-11-12 22:57:46.756947,2
2,0,0,2018-11-12 22:57:51.061879,2
1,1,0,2018-11-12 22:58:09.245961,2
1,1,0,2018-11-12 22:58:11.715932,2
1,1,0,2018-11-12 22:58:12.283070,2
1,1,0,2018-11-12 22:58:20.491078,2
1,1,1,2018-11-12 22:59:00.163930,2
1,1,0,2018-11-12 22:59:12.942982,2
1,1,0,2018-11-12 22:59:34.831898,2
3,0,0,2018-11-12 22:59:40.604115,2
3,0,0,2018-11-12 22:59:42.273061,2
3,0,0,2018-11-12 22:59:43.941029,2
2,0,0,2018-11-12 22:59:44.742055,2
1,1,0,2018-11-12 22:59:54.984975,2
1,1,0,2018-11-12 22:59:56.152943,2
2,0,0,2018-11-12 23:00:09.066029,2
1,1,1,2018-11-12 23:00:34.891957,2
1,1,0,2018-11-12 23:00:47.504994,2
1,1,0,2018-11-12 23:00:58.149037,2
2,0,0,2018-11-12 23:01:51.267934,2
1,1,0,2018-11-12 23:01:56.473988,2
