poke,correct,pellet,datetime,segment
3,0,0,2018-09-03 15:13:31.512996,2
3,0,0,2018-09-03 15:16:08.669979,2
3,0,0,2018-09-03 15:18:14.862972,2
2,0,0,2018-09-03 15:18:33.447994,2
3,0,0,2018-09-03 15:19:23.698970,2
1,1,0,2018-09-03 15:19:39.046993,2
1,1,0,2018-09-03 15:19:40.616023,2
2,0,0,2018-09-03 15:19:43.851985,2
3,0,0,2018-09-03 15:19:47.255977,2
3,0,0,2018-09-03 15:19:48.924007,2
2,0,0,2018-09-03 15:20:08.543025,2
3,0,0,2018-09-03 15:20:11.679988,2
1,1,0,2018-09-03 15:20:44.445979,2
1,1,0,2018-09-03 15:20:44.713008,2
2,0,0,2018-09-03 15:20:46.213985,2
2,0,0,2018-09-03 15:20:47.648982,2
1,1,1,2018-09-03 15:20:54.356014,2
1,1,0,2018-09-03 15:21:31.960018,2
3,0,0,2018-09-03 15:21:46.108028,2
2,0,0,2018-09-03 15:28:37.386043,2
1,1,0,2018-09-03 15:29:38.981014,2
1,1,0,2018-09-03 15:29:58.600032,2
2,0,0,2018-09-03 15:30:52.621028,2
1,1,0,2018-09-03 15:31:01.862972,2
3,0,0,2018-09-03 15:31:05.633968,2
3,0,0,2018-09-03 15:35:05.574031,2
3,0,0,2018-09-03 15:36:12.540950,2
1,1,1,2018-09-03 15:36:18.045955,2
1,1,0,2018-09-03 15:36:19.147029,2
1,1,0,2018-09-03 15:37:20.341976,2
3,0,0,2018-09-03 15:37:28.750057,2
3,0,0,2018-09-03 15:37:29.918025,2
1,1,0,2018-09-03 15:37:35.724056,2
3,0,0,2018-09-03 15:37:39.294002,2
3,0,0,2018-09-03 15:37:40.195003,2
3,0,0,2018-09-03 15:37:53.642024,2
3,0,0,2018-09-03 15:37:56.410945,2
1,1,0,2018-09-03 15:38:10.158016,2
1,1,1,2018-09-03 15:38:10.892024,2
3,0,0,2018-09-03 15:39:10.419002,2
3,0,0,2018-09-03 15:39:43.884944,2
3,0,0,2018-09-03 15:39:45.920955,2
3,0,0,2018-09-03 15:39:47.022029,2
1,1,0,2018-09-03 15:39:49.658016,2
1,1,0,2018-09-03 15:39:50.392024,2
1,1,0,2018-09-03 15:39:50.726009,2
1,1,0,2018-09-03 15:40:54.121883,2
2,0,0,2018-09-03 15:43:28.010066,2
3,0,0,2018-09-03 15:44:13.754939,2
2,0,0,2018-09-03 15:44:16.691951,2
1,1,1,2018-09-03 15:44:22.763973,2
1,1,0,2018-09-03 15:44:24.967098,2
1,1,0,2018-09-03 15:44:32.841121,2
2,0,0,2018-09-03 15:44:35.242977,2
2,0,0,2018-09-03 15:44:42.718074,2
1,1,0,2018-09-03 15:44:47.789119,2
1,1,0,2018-09-03 15:44:50.658992,2
3,0,0,2018-09-03 15:45:00.469051,2
1,1,1,2018-09-03 15:45:04.206111,2
3,0,0,2018-09-03 15:45:11.313045,2
3,0,0,2018-09-03 15:45:37.906062,2
3,0,0,2018-09-03 15:45:57.926082,2
1,1,0,2018-09-03 15:45:59.360896,2
1,1,0,2018-09-03 15:46:00.095027,2
1,1,0,2018-09-03 15:46:01.629939,2
1,1,0,2018-09-03 15:46:01.897029,2
1,1,1,2018-09-03 15:46:06.200984,2
1,1,0,2018-09-03 15:46:14.275936,2
3,0,0,2018-09-03 15:46:24.285945,2
3,0,0,2018-09-03 17:15:40.075008,2
2,0,0,2018-09-03 17:17:20.108211,2
3,0,0,2018-09-03 17:18:13.995906,2
1,1,0,2018-09-03 17:19:22.229793,2
2,0,0,2018-09-03 17:20:03.104793,2
3,0,0,2018-09-03 17:20:06.307918,2
3,0,0,2018-09-03 17:20:27.929988,2
1,1,0,2018-09-03 17:20:52.921199,2
1,1,0,2018-09-03 17:20:58.360164,2
3,0,0,2018-09-03 17:21:19.982234,2
2,0,0,2018-09-03 17:21:21.049129,2
1,1,1,2018-09-03 17:21:21.515926,2
1,1,0,2018-09-03 17:21:29.024227,2
1,1,0,2018-09-03 17:21:31.659969,2
3,0,0,2018-09-03 17:22:18.507137,2
1,1,0,2018-09-03 17:22:31.118953,2
1,1,0,2018-09-03 17:23:12.793758,2
3,0,0,2018-09-03 17:23:23.605281,2
2,0,0,2018-09-03 17:23:24.872859,2
1,1,1,2018-09-03 17:23:26.340633,2
1,1,0,2018-09-03 17:23:28.277156,2
2,0,0,2018-09-03 17:23:29.543758,2
1,1,0,2018-09-03 17:25:09.144344,2
2,0,0,2018-09-03 17:25:13.315242,2
3,0,0,2018-09-03 17:25:21.223445,2
1,1,0,2018-09-03 17:25:33.034969,2
1,1,0,2018-09-03 17:25:34.869930,2
3,0,0,2018-09-03 17:25:39.241023,2
1,1,1,2018-09-03 17:25:47.548641,2
1,1,0,2018-09-03 17:25:56.424617,2
1,1,0,2018-09-03 17:26:24.820125,2
1,1,0,2018-09-03 17:26:31.959773,2
3,0,0,2018-09-03 17:26:45.774227,2
2,0,0,2018-09-03 17:27:18.706844,2
2,0,0,2018-09-03 17:27:39.594539,2
3,0,0,2018-09-03 17:27:46.401180,2
2,0,0,2018-09-03 18:07:17.204891,2
3,0,0,2018-09-03 18:07:38.292781,2
1,1,0,2018-09-03 18:08:00.616023,2
3,0,0,2018-09-03 18:08:38.619930,2
1,1,1,2018-09-03 18:08:45.326961,2
1,1,0,2018-09-03 18:08:47.261531,2
1,1,0,2018-09-03 18:09:11.353328,2
3,0,0,2018-09-03 18:09:19.427547,2
2,0,0,2018-09-03 18:09:50.291805,2
1,1,0,2018-09-03 18:09:56.531062,2
3,0,0,2018-09-03 18:10:00.301570,2
3,0,0,2018-09-03 18:10:01.469539,2
2,0,0,2018-09-03 18:10:02.336727,2
1,1,0,2018-09-03 18:10:03.071102,2
3,0,0,2018-09-03 18:10:49.784969,2
3,0,0,2018-09-03 18:11:20.881648,2
3,0,0,2018-09-03 18:11:44.239070,2
1,1,1,2018-09-03 18:11:45.206844,2
1,1,0,2018-09-03 18:11:45.941219,2
1,1,0,2018-09-03 18:12:05.626766,2
1,1,0,2018-09-03 18:12:14.702938,2
3,0,0,2018-09-03 18:12:26.114070,2
1,1,0,2018-09-03 18:12:35.590633,2
1,1,1,2018-09-03 18:13:02.117000,2
3,0,0,2018-09-03 18:13:18.200008,2
1,1,0,2018-09-03 18:14:18.193172,2
3,0,0,2018-09-03 18:14:21.396297,2
2,0,0,2018-09-03 18:15:33.769344,2
2,0,0,2018-09-03 18:15:36.037898,2
3,0,0,2018-09-03 18:15:54.922664,2
2,0,0,2018-09-03 18:15:55.490047,2
1,1,0,2018-09-03 18:16:00.729305,2
3,0,0,2018-09-03 18:16:17.211727,2
1,1,0,2018-09-03 18:16:24.820125,2
1,1,0,2018-09-03 18:16:26.254695,2
1,1,1,2018-09-03 18:16:29.658016,2
3,0,0,2018-09-03 18:17:10.665828,2
2,0,0,2018-09-03 18:17:24.813289,2
2,0,0,2018-09-03 18:17:26.080867,2
3,0,0,2018-09-03 18:17:34.356258,2
3,0,0,2018-09-03 18:18:16.565242,2
1,1,0,2018-09-03 18:18:18.666805,2
3,0,0,2018-09-03 18:18:42.456844,2
1,1,0,2018-09-03 18:18:45.660945,2
1,1,0,2018-09-03 18:18:47.094539,2
2,0,0,2018-09-03 18:18:51.433406,2
1,1,0,2018-09-03 18:19:13.322078,2
1,1,1,2018-09-03 18:19:17.059383,2
1,1,0,2018-09-03 18:19:19.126766,2
1,1,0,2018-09-03 18:20:18.186336,2
1,1,0,2018-09-03 18:20:21.690242,2
1,1,0,2018-09-03 18:21:34.730281,2
3,0,0,2018-09-03 18:21:42.437312,2
3,0,0,2018-09-03 18:21:43.305477,2
1,1,1,2018-09-03 18:21:47.842586,2
3,0,0,2018-09-03 18:22:06.228328,2
2,0,0,2018-09-03 18:22:22.811336,2
2,0,0,2018-09-03 18:22:52.274227,2
1,1,0,2018-09-03 18:22:53.075008,2
1,1,0,2018-09-03 18:23:34.548641,2
1,1,0,2018-09-03 18:23:37.486141,2
1,1,0,2018-09-03 18:23:39.154109,2
3,0,0,2018-09-03 18:23:51.366023,2
2,0,0,2018-09-03 18:24:24.232234,2
3,0,0,2018-09-03 18:24:40.881648,2
3,0,0,2018-09-03 18:24:53.395320,2
3,0,0,2018-09-03 18:26:03.432430,2
1,1,1,2018-09-03 18:27:08.397273,2
1,1,0,2018-09-03 18:27:11.666805,2
3,0,0,2018-09-03 18:27:20.541805,2
1,1,0,2018-09-03 18:27:24.479305,2
3,0,0,2018-09-03 18:27:43.464656,2
2,0,0,2018-09-03 18:27:44.199031,2
1,1,0,2018-09-03 18:27:45.367000,2
1,1,0,2018-09-03 18:27:46.735164,2
1,1,1,2018-09-03 18:27:47.134578,2
1,1,0,2018-09-03 18:27:47.769344,2
1,1,0,2018-09-03 18:27:48.703914,2
1,1,0,2018-09-03 18:27:50.772273,2
3,0,0,2018-09-03 18:27:58.079891,2
3,0,0,2018-09-03 18:28:09.324031,2
2,0,0,2018-09-03 18:29:02.209773,2
3,0,0,2018-09-03 18:29:14.455867,2
3,0,0,2018-09-03 18:29:15.390438,2
2,0,0,2018-09-03 18:29:18.793758,2
2,0,0,2018-09-03 18:29:23.631648,2
1,1,0,2018-09-03 18:29:27.368953,2
2,0,0,2018-09-03 18:29:28.869930,2
1,1,1,2018-09-03 18:29:29.670711,2
1,1,0,2018-09-03 18:29:32.006648,2
1,1,0,2018-09-03 18:29:33.141414,2
2,0,0,2018-09-03 18:29:34.610164,2
3,0,0,2018-09-03 18:29:37.779109,2
2,0,0,2018-09-03 18:29:39.080867,2
1,1,0,2018-09-03 18:29:40.449031,2
1,1,0,2018-09-03 18:29:41.882625,2
