poke,correct,pellet,datetime,segment
2,0,0,2018-10-15 17:04:56.796215,2
2,0,0,2018-10-15 17:05:01.867016,2
1,1,0,2018-10-15 17:05:45.511059,2
1,1,0,2018-10-15 17:05:50.049145,2
1,1,0,2018-10-15 17:05:52.584789,2
1,1,0,2018-10-15 17:06:28.587230,2
1,1,1,2018-10-15 17:06:48.941234,2
1,1,0,2018-10-15 17:06:55.513988,2
3,0,0,2018-10-15 17:07:14.800121,2
2,0,0,2018-10-15 17:07:36.621898,2
3,0,0,2018-10-15 17:08:19.097973,2
1,1,0,2018-10-15 17:08:45.991039,2
1,1,0,2018-10-15 17:09:26.164867,2
2,0,0,2018-10-15 17:09:30.335766,2
3,0,0,2018-10-15 17:09:32.537914,2
3,0,0,2018-10-15 17:09:59.131176,2
1,1,0,2018-10-15 17:10:06.839184,2
1,1,1,2018-10-15 17:10:06.938793,2
1,1,0,2018-10-15 17:10:14.079906,2
1,1,0,2018-10-15 17:10:15.948070,2
1,1,0,2018-10-15 17:10:16.615062,2
1,1,0,2018-10-15 17:10:17.082836,2
1,1,1,2018-10-15 17:10:17.749828,2
1,1,0,2018-10-15 17:11:11.770824,2
2,0,0,2018-10-15 17:11:13.705883,2
1,1,0,2018-10-15 17:11:18.511059,2
2,0,0,2018-10-15 17:11:21.346996,2
1,1,0,2018-10-15 17:11:24.582836,2
2,0,0,2018-10-15 17:11:29.888988,2
3,0,0,2018-10-15 17:12:27.012035,2
2,0,0,2018-10-15 17:13:39.385082,2
2,0,0,2018-10-15 17:13:40.886059,2
2,0,0,2018-10-15 17:13:41.587230,2
1,1,0,2018-10-15 17:15:05.703930,2
3,0,0,2018-10-15 17:16:16.075023,2
3,0,0,2018-10-15 17:17:51.570141,2
2,0,0,2018-10-15 17:22:53.938793,2
1,1,1,2018-10-15 17:22:57.742992,2
1,1,0,2018-10-15 17:23:24.970043,2
1,1,0,2018-10-15 17:23:26.538891,2
2,0,0,2018-10-15 17:23:36.848949,2
3,0,0,2018-10-15 17:31:00.492992,2
3,0,0,2018-10-15 18:06:52.445141,2
2,0,0,2018-10-15 18:07:09.461742,2
1,1,0,2018-10-15 18:07:53.606273,2
3,0,0,2018-10-15 18:07:58.843578,2
3,0,0,2018-10-15 18:09:18.491039,2
1,1,0,2018-10-15 18:09:48.219555,2
1,1,1,2018-10-15 18:09:51.023266,2
1,1,0,2018-10-15 18:09:53.625805,2
1,1,0,2018-10-15 18:09:56.661938,2
2,0,0,2018-10-15 18:10:01.132641,2
2,0,0,2018-10-15 18:18:17.429516,2
1,1,0,2018-10-15 18:18:57.403148,2
1,1,0,2018-10-15 18:18:57.836742,2
3,0,0,2018-10-15 18:20:23.389477,2
1,1,1,2018-10-15 18:20:42.674633,2
1,1,0,2018-10-15 18:20:46.745922,2
2,0,0,2018-10-15 18:20:49.448070,2
2,0,0,2018-10-15 18:20:51.883617,2
3,0,0,2018-10-15 18:20:52.985180,2
3,0,0,2018-10-15 18:20:56.087719,2
3,0,0,2018-10-15 18:20:58.157055,2
1,1,0,2018-10-15 18:21:11.937328,2
2,0,0,2018-10-15 18:21:13.906078,2
3,0,0,2018-10-15 18:22:14.567211,2
3,0,0,2018-10-15 18:22:18.404125,2
2,0,0,2018-10-15 18:22:25.043773,2
2,0,0,2018-10-15 18:22:28.681469,2
