poke,correct,pellet,datetime,segment
1,1,0,2018-09-03 16:02:47.302059,2
1,1,0,2018-09-03 16:02:49.837947,2
1,1,0,2018-09-03 16:02:51.172908,2
1,1,0,2018-09-03 16:02:54.075984,2
1,1,1,2018-09-03 16:02:57.044979,2
2,0,0,2018-09-03 16:04:06.915096,2
2,0,0,2018-09-03 16:04:13.822078,2
2,0,0,2018-09-03 16:04:14.055965,2
2,0,0,2018-09-03 16:04:24.800105,2
3,0,0,2018-09-03 16:04:36.178035,2
3,0,0,2018-09-03 16:04:39.114070,2
3,0,0,2018-09-03 16:04:39.847957,2
3,0,0,2018-09-03 16:04:41.250057,2
1,1,0,2018-09-03 16:04:51.293025,2
2,0,0,2018-09-03 16:04:54.996883,2
3,0,0,2018-09-03 16:05:24.225887,2
1,1,0,2018-09-03 16:05:47.115047,2
1,1,0,2018-09-03 16:05:51.452938,2
1,1,0,2018-09-03 16:06:06.200984,2
1,1,1,2018-09-03 16:06:07.970027,2
1,1,0,2018-09-03 16:06:09.271053,2
1,1,0,2018-09-03 16:06:40.269100,2
2,0,0,2018-09-03 16:06:42.104061,2
2,0,0,2018-09-03 16:06:43.371883,2
2,0,0,2018-09-03 16:06:44.706111,2
1,1,0,2018-09-03 16:06:54.950008,2
1,1,0,2018-09-03 16:07:16.837947,2
3,0,0,2018-09-03 16:07:38.126033,2
1,1,1,2018-09-03 16:07:42.564021,2
1,1,0,2018-09-03 16:07:52.607967,2
1,1,0,2018-09-03 16:07:53.008113,2
1,1,0,2018-09-03 16:07:55.344051,2
1,1,0,2018-09-03 16:07:55.811092,2
1,1,1,2018-09-03 16:07:56.812068,2
1,1,0,2018-09-03 16:07:57.878963,2
2,0,0,2018-09-03 16:08:16.097957,2
3,0,0,2018-09-03 16:08:28.176082,2
1,1,0,2018-09-03 16:09:20.362117,2
1,1,0,2018-09-03 16:09:42.984920,2
2,0,0,2018-09-03 16:09:50.057918,2
2,0,0,2018-09-03 16:09:51.192928,2
3,0,0,2018-09-03 16:10:02.370906,2
1,1,0,2018-09-03 16:10:09.577938,2
3,0,0,2018-09-03 16:10:13.547908,2
1,1,1,2018-09-03 16:10:20.755916,2
1,1,0,2018-09-03 16:10:22.723934,2
1,1,0,2018-09-03 16:10:22.791072,2
3,0,0,2018-09-03 16:10:47.381893,2
