Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Duration	Distance	Mean speed	Line crossings	Max speed	A : entries	A : time	A : distance	A : average speed	A : mean visit	A : mean distance to border	A : time getting closer to zone	A : time getting further from zone	B : entries	B : time	B : distance	B : average speed	B : mean visit	B : mean distance to border	B : time getting closer to zone	B : time getting further from zone	C : entries	C : time	C : distance	C : average speed	C : mean visit	C : mean distance to border	C : time getting closer to zone	C : time getting further from zone	A0 : entries	A0 : time	A0 : mean distance to border	A0 : time getting closer to zone	A0 : time getting further from zone	Center : entries	Center : time	Center : time getting closer to zone	Center : time getting further from zone	Group
4	4	A	A	First stage	1	Y Maze Wolff	221 - 222 secs.	1.0	0.000	0.000	0	0.043	0	0.0	0.000				0.5	0.1	0	0.0	0.000				0.5	0.1	0	1.0	0.000	0.044	1.0	0.031	0.0	0.0	0	0.0		0.5	0.1	0	0.0	0.5	0.1	Sham
4	4	A	A	First stage	1	Y Maze Wolff	222 - 223 secs.	1.0	0.125	0.125	0	0.136	0	0.0	0.000				1.0	0.0	0	0.0	0.000				1.0	0.0	0	1.0	0.125	0.120	1.0	0.029	0.0	0.0	0	0.0		1.0	0.0	0	0.0	1.0	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	223 - 224 secs.	1.0	0.023	0.023	0	0.070	0	0.0	0.000				0.7	0.0	0	0.0	0.000				0.7	0.0	0	1.0	0.023	0.000	1.0	0.035	0.0	0.0	0	0.0		0.7	0.0	0	0.0	0.7	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	224 - 225 secs.	1.0	0.000	0.000	0	0.067	0	0.0	0.000				0.5	0.5	0	0.0	0.000				0.4	0.6	0	1.0	0.000	0.045	1.0	0.032	0.0	0.0	0	0.0		0.5	0.5	0	0.0	0.4	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	225 - 226 secs.	1.0	0.111	0.111	0	0.168	0	0.0	0.000				0.9	0.0	0	0.0	0.000				0.9	0.0	0	1.0	0.111	0.102	1.0	0.034	0.0	0.0	0	0.0		0.9	0.0	0	0.0	0.9	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	226 - 227 secs.	1.0	0.111	0.111	1	0.124	0	0.0	0.000				0.6	0.3	0	0.0	0.000				0.8	0.1	0	0.3	0.061	0.000	0.3	0.017	0.1	0.6	0	0.0		0.5	0.3	1	0.7	0.1	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	227 - 228 secs.	1.0	0.000	0.000	0	0.051	0	0.0	0.000				0.0	0.1	0	0.0	0.000				0.1	0.1	0	0.0	0.000				0.2	0.0	0	0.0		0.0	0.1	0	1.0	0.0	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	228 - 229 secs.	1.0	0.032	0.032	1	0.122	0	0.0	0.000				0.1	0.6	1	0.2	0.000	0.363	0.2	0.016	0.5	0.1	0	0.0	0.000				0.1	0.7	0	0.0		0.1	0.6	0	0.8	0.0	0.1	Sham
4	4	A	A	First stage	1	Y Maze Wolff	229 - 230 secs.	1.0	0.064	0.064	0	0.129	0	0.0	0.000				0.2	0.8	0	1.0	0.064	0.056	1.0	0.037	0.0	0.0	0	0.0	0.000				0.3	0.6	0	0.0		0.2	0.8	0	0.0	0.3	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	230 - 231 secs.	1.0	0.023	0.023	0	0.059	0	0.0	0.000				0.5	0.4	0	1.0	0.023	0.053	1.0	0.036	0.0	0.0	0	0.0	0.000				0.7	0.2	0	0.0		0.5	0.4	0	0.0	0.6	0.3	Sham
4	4	A	A	First stage	1	Y Maze Wolff	231 - 232 secs.	1.0	0.000	0.000	0	0.039	0	0.0	0.000				0.6	0.1	0	1.0	0.000	0.063	1.0	0.039	0.0	0.0	0	0.0	0.000				0.5	0.3	0	0.0		0.6	0.1	0	0.0	0.5	0.3	Sham
