Test	Animal	Time	Date	Segment of test	Whole arena : distance	Whole arena : average speed	Whole arena : time mobile	Whole arena : time immobile	10 cm edge : time	10 cm edge : distance	10 cm edge : average speed	10 cm edge : time mobile	10 cm edge : time immobile	Center : time	Center : distance	Center : average speed	Center : time mobile	Center : time immobile	ID
1	20	13:19	10/17/2016	0 - 5 secs.	0.249	0.077	5	0	5	0.249	0.077	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	0 - 5 secs.	0.572	0.123	5	0	3	0.296	0.125	3	0	2.1	0.276	0.12	2.1	0	21
3	22	13:20	10/17/2016	0 - 5 secs.	0.373	0.083	5	0	5	0.373	0.083	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	0 - 5 secs.	0.053	0.054	5	0	2.3	0.027	0.12	2.3	0	2.7	0.025	0	2.7	0	23
5	24	14:03	10/17/2016	0 - 5 secs.	0.453	0.109	5	0	1.3	0.087	0.087	1.3	0	3.7	0.366	0.117	3.7	0	24
6	25	14:04	10/17/2016	0 - 5 secs.	0.428	0.103	5	0	5	0.428	0.094	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	0 - 5 secs.	0.074	0.051	5	0	5	0.074	0.047	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	0 - 5 secs.	0	0	0.5	4.5	5	0	0	0.5	4.5	0	0		0	0	27
9	28	14:43	10/17/2016	0 - 5 secs.	0.498	0.142	5	0	3.2	0.289	0.155	3.2	0	1.8	0.209	0.12	1.8	0	28
10	29	14:43	10/17/2016	0 - 5 secs.	0.339	0.106	5	0	3.8	0.179	0.079	3.8	0	1.2	0.161	0.191	1.2	0	29
11	30	14:44	10/17/2016	0 - 5 secs.	0.241	0.077	5	0	5	0.241	0.077	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	0 - 5 secs.	0.336	0.095	5	0	1.7	0.05	0.035	1.7	0	3.3	0.285	0.126	3.3	0	31
13	32	15:23	10/17/2016	0 - 5 secs.	0.221	0.035	5	0	5	0.221	0.035	5	0	0	0		0	0	32
14	33	15:23	10/17/2016	0 - 5 secs.	0.455	0.113	5	0	5	0.455	0.113	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	0 - 5 secs.	0.069	0.033	2.6	2.4	5	0.069	0.019	2.6	2.4	0	0		0	0	34
16	35	15:24	10/17/2016	0 - 5 secs.	0.055	0.045	5	0	2.2	0	0.04	2.2	0	2.8	0.055	0.05	2.8	0	35
17	36	16:08	10/17/2016	0 - 5 secs.	0	0	2.3	2.7	0	0		0	0	5	0	0	2.3	2.7	36
18	37	16:08	10/17/2016	0 - 5 secs.	0.19	0.062	5	0	5	0.19	0.062	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	0 - 5 secs.	0.028	0.021	1	4	5	0.028	0.021	1	4	0	0		0	0	38
20	39	16:09	10/17/2016	0 - 5 secs.	0.096	0.042	5	0	5	0.096	0.027	5	0	0	0		0	0	39
1	20	13:19	10/17/2016	5 - 10 secs.	0.068	0.027	5	0	5	0.068	0.027	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	5 - 10 secs.	0.5	0.116	5	0	5	0.5	0.116	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	5 - 10 secs.	0.296	0.079	5	0	5	0.296	0.079	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	5 - 10 secs.	0.132	0.061	5	0	1.4	0.025	0.158	1.4	0	3.6	0.107	0.022	3.6	0	23
5	24	14:03	10/17/2016	5 - 10 secs.	0.286	0.102	5	0	3.5	0.138	0.094	3.5	0	1.5	0.148	0.12	1.5	0	24
6	25	14:04	10/17/2016	5 - 10 secs.	0.43	0.111	5	0	5	0.43	0.111	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	5 - 10 secs.	0.095	0.056	5	0	4.6	0.095	0.041	4.6	0	0.4	0	0.22	0.4	0	26
8	27	14:04	10/17/2016	5 - 10 secs.	0	0.01	1.2	3.8	5	0	0.01	1.2	3.8	0	0		0	0	27
9	28	14:43	10/17/2016	5 - 10 secs.	0.293	0.093	5	0	5	0.293	0.093	5	0	0	0		0	0	28
10	29	14:43	10/17/2016	5 - 10 secs.	0.314	0.099	5	0	5	0.314	0.099	5	0	0	0		0	0	29
11	30	14:44	10/17/2016	5 - 10 secs.	0.313	0.072	5	0	5	0.313	0.072	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	5 - 10 secs.	0.39	0.121	5	0	0.7	0	0.089	0.7	0	4.3	0.39	0.126	4.3	0	31
13	32	15:23	10/17/2016	5 - 10 secs.	0.552	0.126	5	0	2.6	0.15	0.128	2.6	0	2.4	0.401	0.124	2.4	0	32
14	33	15:23	10/17/2016	5 - 10 secs.	0.753	0.198	5	0	3	0.387	0.201	3	0	2	0.367	0.194	2	0	33
15	34	15:24	10/17/2016	5 - 10 secs.	0.069	0.044	5	0	2.8	0.046	0.046	2.8	0	2.2	0.023	0.043	2.2	0	34
16	35	15:24	10/17/2016	5 - 10 secs.	0.08	0.049	5	0	4.5	0.08	0.029	4.5	0	0.5	0	0.226	0.5	0	35
17	36	16:08	10/17/2016	5 - 10 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	36
18	37	16:08	10/17/2016	5 - 10 secs.	0.122	0.053	5	0	5	0.122	0.053	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	5 - 10 secs.	0.079	0.065	5	0	2.1	0.025	0.073	2.1	0	2.9	0.053	0.06	2.9	0	38
20	39	16:09	10/17/2016	5 - 10 secs.	0.023	0.033	5	0	5	0.023	0.033	5	0	0	0		0	0	39
1	20	13:19	10/17/2016	10 - 15 secs.	0.254	0.068	2.9	2.1	5	0.254	0.068	2.9	2.1	0	0		0	0	20
2	21	13:19	10/17/2016	10 - 15 secs.	0.344	0.086	5	0	5	0.344	0.086	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	10 - 15 secs.	0.583	0.148	5	0	5	0.583	0.148	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	10 - 15 secs.	0.114	0.06	5	0	0.9	0.025	0.306	0.9	0	4.1	0.089	0.006	4.1	0	23
5	24	14:03	10/17/2016	10 - 15 secs.	0.676	0.143	5	0	4.4	0.549	0.131	4.4	0	0.6	0.127	0.227	0.6	0	24
6	25	14:04	10/17/2016	10 - 15 secs.	0.432	0.125	5	0	5	0.432	0.125	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	10 - 15 secs.	0.069	0.034	2.7	2.3	5	0.069	0.034	2.7	2.3	0	0		0	0	26
8	27	14:04	10/17/2016	10 - 15 secs.	0.023	0.005	0	5	5	0.023	0.005	0	5	0	0		0	0	27
9	28	14:43	10/17/2016	10 - 15 secs.	0.495	0.12	5	0	3.3	0.268	0.107	3.3	0	1.7	0.228	0.145	1.7	0	28
10	29	14:43	10/17/2016	10 - 15 secs.	0.57	0.131	5	0	1.9	0.147	0.103	1.9	0	3.1	0.423	0.148	3.1	0	29
11	30	14:44	10/17/2016	10 - 15 secs.	0.076	0.044	5	0	5	0.076	0.044	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	10 - 15 secs.	0.219	0.076	5	0	1.2	0.055	0.124	1.2	0	3.8	0.164	0.061	3.8	0	31
13	32	15:23	10/17/2016	10 - 15 secs.	0.235	0.073	5	0	5	0.235	0.073	5	0	0	0		0	0	32
14	33	15:23	10/17/2016	10 - 15 secs.	0.473	0.113	5	0	5	0.473	0.113	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	10 - 15 secs.	0.046	0.035	3	2	0	0		0	0	5	0.046	0.02	3	2	34
16	35	15:24	10/17/2016	10 - 15 secs.	0.05	0.034	4.3	0.7	5	0.05	0.034	4.3	0.7	0	0		0	0	35
17	36	16:08	10/17/2016	10 - 15 secs.	0	0	0.1	4.9	0	0		0	0	5	0	0	0.1	4.9	36
18	37	16:08	10/17/2016	10 - 15 secs.	0.075	0.059	4.3	0.7	5	0.075	0.059	4.3	0.7	0	0		0	0	37
19	38	16:09	10/17/2016	10 - 15 secs.	0.213	0.069	5	0	0	0		0	0	5	0.213	0.041	5	0	38
20	39	16:09	10/17/2016	10 - 15 secs.	0.068	0.033	5	0	5	0.068	0.033	5	0	0	0		0	0	39
1	20	13:19	10/17/2016	15 - 20 secs.	0.54	0.13	5	0	5	0.54	0.13	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	15 - 20 secs.	0.439	0.094	5	0	5	0.439	0.094	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	15 - 20 secs.	0.454	0.099	5	0	5	0.454	0.099	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	15 - 20 secs.	0	0.026	2.8	2.2	0.1	0	2.459	0.1	0	4.9	0	0	2.8	2.2	23
5	24	14:03	10/17/2016	15 - 20 secs.	0.42	0.093	4.2	0.8	5	0.42	0.093	4.2	0.8	0	0		0	0	24
6	25	14:04	10/17/2016	15 - 20 secs.	0.407	0.082	5	0	4.7	0.335	0.067	4.7	0	0.3	0.072	0.328	0.3	0	25
7	26	14:04	10/17/2016	15 - 20 secs.	0.206	0.067	3.9	1.1	5	0.206	0.067	3.9	1.1	0	0		0	0	26
8	27	14:04	10/17/2016	15 - 20 secs.	0.116	0.033	4.9	0.1	5	0.116	0.033	4.9	0.1	0	0		0	0	27
9	28	14:43	10/17/2016	15 - 20 secs.	0.439	0.115	5	0	3.9	0.268	0.098	3.9	0	1.1	0.171	0.176	1.1	0	28
10	29	14:43	10/17/2016	15 - 20 secs.	0.267	0.081	5	0	5	0.267	0.081	5	0	0	0		0	0	29
11	30	14:44	10/17/2016	15 - 20 secs.	0.079	0.056	5	0	5	0.079	0.056	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	15 - 20 secs.	0.358	0.109	5	0	0	0		0	0	5	0.358	0.102	5	0	31
13	32	15:23	10/17/2016	15 - 20 secs.	0.646	0.147	5	0	5	0.646	0.138	5	0	0	0		0	0	32
14	33	15:23	10/17/2016	15 - 20 secs.	0.419	0.113	5	0	5	0.419	0.113	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	15 - 20 secs.	0	0.014	0.1	4.9	0	0		0	0	5	0	0.014	0.1	4.9	34
16	35	15:24	10/17/2016	15 - 20 secs.	0.126	0.063	3.2	1.8	2.7	0.075	0.062	1.4	1.4	2.3	0.05	0.064	1.9	0.4	35
17	36	16:08	10/17/2016	15 - 20 secs.	0.047	0.005	3.8	1.2	0	0		0	0	5	0.047	0.005	3.8	1.2	36
18	37	16:08	10/17/2016	15 - 20 secs.	0.023	0.009	0.1	4.9	5	0.023	0.009	0.1	4.9	0	0		0	0	37
19	38	16:09	10/17/2016	15 - 20 secs.	0.102	0.052	5	0	0	0		0	0	5	0.102	0.052	5	0	38
20	39	16:09	10/17/2016	15 - 20 secs.	0.046	0.026	1.8	3.2	0.5	0.023	0.243	0.5	0	4.5	0.023	0	1.3	3.2	39
1	20	13:19	10/17/2016	20 - 25 secs.	0.502	0.119	5	0	5	0.502	0.119	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	20 - 25 secs.	0.595	0.138	5	0	5	0.595	0.132	5	0	0	0	9.804	0	0	21
3	22	13:20	10/17/2016	20 - 25 secs.	0.667	0.15	5	0	5	0.667	0.15	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	20 - 25 secs.	0.103	0.058	4.1	0.9	0	0		0	0	5	0.103	0.052	4.1	0.9	23
5	24	14:03	10/17/2016	20 - 25 secs.	0.279	0.064	2.4	2.6	4.6	0.181	0.043	2	2.6	0.5	0.099	0.276	0.5	0	24
6	25	14:04	10/17/2016	20 - 25 secs.	0.699	0.166	5	0	3.8	0.455	0.162	3.8	0	1.2	0.244	0.177	1.2	0	25
7	26	14:04	10/17/2016	20 - 25 secs.	0.049	0.029	3.4	1.6	5	0.049	0.029	3.4	1.6	0	0		0	0	26
8	27	14:04	10/17/2016	20 - 25 secs.	0.187	0.04	5	0	5	0.187	0.04	5	0	0	0		0	0	27
9	28	14:43	10/17/2016	20 - 25 secs.	0.446	0.126	5	0	4.3	0.364	0.124	4.3	0	0.7	0.082	0.14	0.7	0	28
10	29	14:43	10/17/2016	20 - 25 secs.	0.742	0.179	5	0	3.7	0.391	0.136	3.7	0	1.3	0.351	0.298	1.3	0	29
11	30	14:44	10/17/2016	20 - 25 secs.	0.398	0.1	5	0	5	0.398	0.1	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	20 - 25 secs.	0.215	0.067	5	0	4.9	0.187	0.068	4.9	0	0.1	0.027	0	0.1	0	31
13	32	15:23	10/17/2016	20 - 25 secs.	0.721	0.173	5	0	3.8	0.369	0.141	3.8	0	1.2	0.352	0.278	1.2	0	32
14	33	15:23	10/17/2016	20 - 25 secs.	0.618	0.151	5	0	5	0.618	0.151	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	20 - 25 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	34
16	35	15:24	10/17/2016	20 - 25 secs.	0	0.011	0	5	5	0	0.011	0	5	0	0		0	0	35
17	36	16:08	10/17/2016	20 - 25 secs.	0	0.005	0.2	4.8	0	0		0	0	5	0	0.005	0.2	4.8	36
18	37	16:08	10/17/2016	20 - 25 secs.	0.385	0.102	3.7	1.3	5	0.385	0.102	3.7	1.3	0	0		0	0	37
19	38	16:09	10/17/2016	20 - 25 secs.	0.188	0.044	5	0	1.3	0.051	0.064	1.3	0	3.7	0.137	0.036	3.7	0	38
20	39	16:09	10/17/2016	20 - 25 secs.	0.164	0.06	5	0	1	0.048	0.104	1	0	4	0.116	0.05	4	0	39
1	20	13:19	10/17/2016	25 - 30 secs.	0.531	0.116	5	0	5	0.531	0.116	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	25 - 30 secs.	0.9	0.199	5	0	2.9	0.324	0.127	2.9	0	2.1	0.577	0.297	2.1	0	21
3	22	13:20	10/17/2016	25 - 30 secs.	0.345	0.097	5	0	5	0.345	0.089	5	0	0	0	3.788	0	0	22
4	23	13:20	10/17/2016	25 - 30 secs.	0.158	0.055	5	0	4.1	0.132	0.067	4.1	0	0.9	0.025	0	0.9	0	23
5	24	14:03	10/17/2016	25 - 30 secs.	0.599	0.131	5	0	3.8	0.31	0.106	3.8	0	1.2	0.289	0.209	1.2	0	24
6	25	14:04	10/17/2016	25 - 30 secs.	0.812	0.2	5	0	5	0.812	0.2	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	25 - 30 secs.	0.306	0.069	5	0	5	0.306	0.069	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	25 - 30 secs.	0.176	0.037	4.8	0.2	5	0.176	0.037	4.8	0.2	0	0		0	0	27
9	28	14:43	10/17/2016	25 - 30 secs.	0.549	0.141	5	0	2.5	0.181	0.122	2.5	0	2.5	0.369	0.161	2.5	0	28
10	29	14:43	10/17/2016	25 - 30 secs.	0.484	0.115	5	0	3.1	0.276	0.12	3.1	0	1.9	0.208	0.107	1.9	0	29
11	30	14:44	10/17/2016	25 - 30 secs.	0.579	0.124	5	0	5	0.579	0.124	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	25 - 30 secs.	0.26	0.078	5	0	4.7	0.231	0.064	4.7	0	0.3	0.03	0.327	0.3	0	31
13	32	15:23	10/17/2016	25 - 30 secs.	0.852	0.197	5	0	3.4	0.474	0.175	3.4	0	1.6	0.378	0.243	1.6	0	32
14	33	15:23	10/17/2016	25 - 30 secs.	0.658	0.147	5	0	5	0.658	0.147	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	25 - 30 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	34
16	35	15:24	10/17/2016	25 - 30 secs.	0	0.01	1.1	3.9	5	0	0.01	1.1	3.9	0	0		0	0	35
17	36	16:08	10/17/2016	25 - 30 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	36
18	37	16:08	10/17/2016	25 - 30 secs.	0.509	0.125	5	0	5	0.509	0.125	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	25 - 30 secs.	0.174	0.044	5	0	5	0.174	0.044	5	0	0	0		0	0	38
20	39	16:09	10/17/2016	25 - 30 secs.	0	0.016	1.3	3.7	5	0	0.016	1.3	3.7	0	0		0	0	39
1	20	13:19	10/17/2016	30 - 35 secs.	0.214	0.062	2.1	2.9	5	0.214	0.062	2.1	2.9	0	0		0	0	20
2	21	13:19	10/17/2016	30 - 35 secs.	0.452	0.101	5	0	4.8	0.351	0.091	4.8	0	0.2	0.102	0.314	0.2	0	21
3	22	13:20	10/17/2016	30 - 35 secs.	0.442	0.096	2.8	2.2	4.7	0.336	0.096	2.6	2.2	0.3	0.106	0.101	0.3	0	22
4	23	13:20	10/17/2016	30 - 35 secs.	0.183	0.062	5	0	4.7	0.128	0.054	4.7	0	0.3	0.055	0.187	0.3	0	23
5	24	14:03	10/17/2016	30 - 35 secs.	0.847	0.171	5	0	3.9	0.61	0.152	3.9	0	1.1	0.237	0.238	1.1	0	24
6	25	14:04	10/17/2016	30 - 35 secs.	0.796	0.183	5	0	3.9	0.423	0.142	3.9	0	1.1	0.373	0.329	1.1	0	25
7	26	14:04	10/17/2016	30 - 35 secs.	0.407	0.094	5	0	5	0.407	0.094	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	30 - 35 secs.	0.046	0	0.6	4.4	5	0.046	0	0.6	4.4	0	0		0	0	27
9	28	14:43	10/17/2016	30 - 35 secs.	0.343	0.121	5	0	2.4	0.207	0.126	2.4	0	2.6	0.136	0.117	2.6	0	28
10	29	14:43	10/17/2016	30 - 35 secs.	0.489	0.118	5	0	3.3	0.229	0.093	3.3	0	1.8	0.26	0.164	1.8	0	29
11	30	14:44	10/17/2016	30 - 35 secs.	0.4	0.104	5	0	5	0.4	0.104	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	30 - 35 secs.	0.333	0.083	5	0	3.8	0.217	0.071	3.8	0	1.2	0.116	0.118	1.2	0	31
13	32	15:23	10/17/2016	30 - 35 secs.	0.331	0.106	5	0	4.7	0.268	0.089	4.7	0	0.3	0.063	0.411	0.3	0	32
14	33	15:23	10/17/2016	30 - 35 secs.	0.473	0.119	5	0	4.9	0.446	0.116	4.9	0	0.1	0.027	0.237	0.1	0	33
15	34	15:24	10/17/2016	30 - 35 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	34
16	35	15:24	10/17/2016	30 - 35 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	35
17	36	16:08	10/17/2016	30 - 35 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	36
18	37	16:08	10/17/2016	30 - 35 secs.	0.471	0.111	3	2	5	0.471	0.111	3	2	0	0		0	0	37
19	38	16:09	10/17/2016	30 - 35 secs.	0.141	0.065	5	0	5	0.141	0.065	5	0	0	0		0	0	38
20	39	16:09	10/17/2016	30 - 35 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	39
1	20	13:19	10/17/2016	35 - 40 secs.	0.65	0.136	5	0	5	0.65	0.136	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	35 - 40 secs.	0.068	0.034	5	0	5	0.068	0.034	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	35 - 40 secs.	0.574	0.165	5	0	5	0.574	0.165	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	35 - 40 secs.	0.162	0.054	5	0	5	0.162	0.054	5	0	0	0		0	0	23
5	24	14:03	10/17/2016	35 - 40 secs.	0.406	0.087	5	0	5	0.406	0.087	5	0	0	0		0	0	24
6	25	14:04	10/17/2016	35 - 40 secs.	0.545	0.139	5	0	5	0.545	0.139	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	35 - 40 secs.	0.148	0.05	5	0	5	0.148	0.05	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	35 - 40 secs.	0.114	0.033	3.5	1.5	5	0.114	0.033	3.5	1.5	0	0		0	0	27
9	28	14:43	10/17/2016	35 - 40 secs.	0.587	0.141	5	0	3.8	0.418	0.142	3.8	0	1.2	0.169	0.14	1.2	0	28
10	29	14:43	10/17/2016	35 - 40 secs.	0.606	0.142	5	0	2.9	0.285	0.112	2.9	0	2.1	0.321	0.181	2.1	0	29
11	30	14:44	10/17/2016	35 - 40 secs.	0.347	0.07	5	0	5	0.347	0.07	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	35 - 40 secs.	0.155	0.054	5	0	0	0		0	0	5	0.155	0.054	5	0	31
13	32	15:23	10/17/2016	35 - 40 secs.	0.218	0.058	5	0	5	0.218	0.058	5	0	0	0		0	0	32
14	33	15:23	10/17/2016	35 - 40 secs.	0.439	0.108	3.3	1.7	4.7	0.371	0.101	3.1	1.7	0.3	0.068	0.232	0.3	0	33
15	34	15:24	10/17/2016	35 - 40 secs.	0	0.005	0.1	4.9	0	0		0	0	5	0	0.005	0.1	4.9	34
16	35	15:24	10/17/2016	35 - 40 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	35
17	36	16:08	10/17/2016	35 - 40 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	36
18	37	16:08	10/17/2016	35 - 40 secs.	0.41	0.091	4.4	0.6	4.7	0.38	0.081	4.1	0.6	0.3	0.029	0.243	0.3	0	37
19	38	16:09	10/17/2016	35 - 40 secs.	0.132	0.038	2.5	2.5	5	0.132	0.038	2.5	2.5	0	0		0	0	38
20	39	16:09	10/17/2016	35 - 40 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	39
1	20	13:19	10/17/2016	40 - 45 secs.	0	0.014	0.6	4.4	5	0	0.014	0.6	4.4	0	0		0	0	20
2	21	13:19	10/17/2016	40 - 45 secs.	0.552	0.132	5	0	4.1	0.253	0.092	4.1	0	0.9	0.299	0.316	0.9	0	21
3	22	13:20	10/17/2016	40 - 45 secs.	0.734	0.164	5	0	5	0.734	0.157	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	40 - 45 secs.	0.237	0.07	5	0	2.5	0.103	0.056	2.5	0	2.5	0.135	0.083	2.5	0	23
5	24	14:03	10/17/2016	40 - 45 secs.	0.495	0.125	5	0	4.1	0.293	0.104	4.1	0	0.9	0.202	0.224	0.9	0	24
6	25	14:04	10/17/2016	40 - 45 secs.	0.466	0.081	5	0	5	0.466	0.081	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	40 - 45 secs.	0.343	0.076	2.7	2.3	5	0.343	0.076	2.7	2.3	0	0		0	0	26
8	27	14:04	10/17/2016	40 - 45 secs.	0.288	0.065	3.9	1.1	5	0.288	0.065	3.9	1.1	0	0		0	0	27
9	28	14:43	10/17/2016	40 - 45 secs.	0.35	0.081	5	0	5	0.35	0.081	5	0	0	0		0	0	28
10	29	14:43	10/17/2016	40 - 45 secs.	0.192	0.059	5	0	5	0.192	0.059	5	0	0	0		0	0	29
11	30	14:44	10/17/2016	40 - 45 secs.	0.509	0.127	5	0	5	0.509	0.127	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	40 - 45 secs.	0.354	0.082	5	0	2.3	0.217	0.107	2.3	0	2.7	0.137	0.061	2.7	0	31
13	32	15:23	10/17/2016	40 - 45 secs.	0.549	0.13	4.6	0.4	3.9	0.404	0.11	3.5	0.4	1.1	0.146	0.203	1.1	0	32
14	33	15:23	10/17/2016	40 - 45 secs.	0.516	0.131	4.4	0.6	2.5	0.109	0.061	1.9	0.6	2.5	0.407	0.201	2.5	0	33
15	34	15:24	10/17/2016	40 - 45 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	34
16	35	15:24	10/17/2016	40 - 45 secs.	0.08	0.016	0.9	4.1	5	0.08	0.016	0.9	4.1	0	0		0	0	35
17	36	16:08	10/17/2016	40 - 45 secs.	0.023	0.016	1.7	3.3	0	0		0	0	5	0.023	0.016	1.7	3.3	36
18	37	16:08	10/17/2016	40 - 45 secs.	0.708	0.148	5	0	5	0.708	0.148	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	40 - 45 secs.	0	0.019	0.9	4.1	5	0	0.019	0.9	4.1	0	0		0	0	38
20	39	16:09	10/17/2016	40 - 45 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	39
1	20	13:19	10/17/2016	45 - 50 secs.	0.143	0.049	1.6	3.4	5	0.143	0.044	1.5	3.4	0	0	0.741	0	0	20
2	21	13:19	10/17/2016	45 - 50 secs.	0.369	0.082	5	0	5	0.369	0.082	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	45 - 50 secs.	0.465	0.128	5	0	4.2	0.384	0.129	4.2	0	0.8	0.081	0.122	0.8	0	22
4	23	13:20	10/17/2016	45 - 50 secs.	0.107	0.042	2.4	2.6	0	0		0	0	5	0.107	0.01	2.4	2.6	23
5	24	14:03	10/17/2016	45 - 50 secs.	0.385	0.092	5	0	2.2	0.138	0.075	2.2	0	2.8	0.246	0.106	2.8	0	24
6	25	14:04	10/17/2016	45 - 50 secs.	0.509	0.122	5	0	4.7	0.423	0.109	4.7	0	0.3	0.086	0.312	0.3	0	25
7	26	14:04	10/17/2016	45 - 50 secs.	0.248	0.056	5	0	5	0.248	0.056	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	45 - 50 secs.	0.098	0.015	0.7	4.3	5	0.098	0.015	0.7	4.3	0	0		0	0	27
9	28	14:43	10/17/2016	45 - 50 secs.	0.498	0.135	5	0	1.2	0.101	0.189	1.2	0	3.8	0.397	0.118	3.8	0	28
10	29	14:43	10/17/2016	45 - 50 secs.	0.425	0.109	5	0	4.2	0.26	0.087	4.2	0	0.8	0.165	0.215	0.8	0	29
11	30	14:44	10/17/2016	45 - 50 secs.	0.59	0.116	5	0	5	0.59	0.116	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	45 - 50 secs.	0.158	0.043	5	0	5	0.158	0.043	5	0	0	0		0	0	31
13	32	15:23	10/17/2016	45 - 50 secs.	0.326	0.094	3.2	1.8	5	0.326	0.094	3.2	1.8	0	0		0	0	32
14	33	15:23	10/17/2016	45 - 50 secs.	0.294	0.071	5	0	3.8	0.226	0.087	3.8	0	1.2	0.068	0.021	1.2	0	33
15	34	15:24	10/17/2016	45 - 50 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	34
16	35	15:24	10/17/2016	45 - 50 secs.	0.167	0.052	5	0	5	0.167	0.052	5	0	0	0		0	0	35
17	36	16:08	10/17/2016	45 - 50 secs.	0.023	0.051	5	0	0	0		0	0	5	0.023	0.051	5	0	36
18	37	16:08	10/17/2016	45 - 50 secs.	0.163	0.038	5	0	5	0.163	0.038	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	45 - 50 secs.	0.025	0.01	0.9	4.1	5	0.025	0.01	0.9	4.1	0	0		0	0	38
20	39	16:09	10/17/2016	45 - 50 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	39
1	20	13:19	10/17/2016	50 - 55 secs.	0.573	0.13	5	0	3.6	0.296	0.111	3.6	0	1.4	0.277	0.18	1.4	0	20
2	21	13:19	10/17/2016	50 - 55 secs.	0	0.009	0.6	4.4	5	0	0.009	0.6	4.4	0	0		0	0	21
3	22	13:20	10/17/2016	50 - 55 secs.	1.174	0.25	5	0	4.9	1.132	0.243	4.9	0	0.1	0.042	0.611	0.1	0	22
4	23	13:20	10/17/2016	50 - 55 secs.	0.194	0.077	4.9	0.1	1.1	0	0.238	1.1	0	3.9	0.194	0.033	3.8	0.1	23
5	24	14:03	10/17/2016	50 - 55 secs.	0.742	0.171	5	0	3.9	0.46	0.149	3.9	0	1.1	0.282	0.256	1.1	0	24
6	25	14:04	10/17/2016	50 - 55 secs.	0.491	0.118	5	0	4.6	0.342	0.09	4.6	0	0.4	0.149	0.427	0.4	0	25
7	26	14:04	10/17/2016	50 - 55 secs.	0.683	0.142	5	0	3.9	0.37	0.099	3.9	0	1.1	0.313	0.293	1.1	0	26
