Test	Animal	Treatment	Code	Apparatus	Time	Animal notes	Segment of test	WholeArena : time	WholeArena : distance	WholeArena : average speed	WholeArena : time mobile	WholeArena : time immobile	WholeArena : immobile episodes	Edge10cm : time	Edge10cm : distance	Edge10cm : time mobile	Edge10cm : time immobile	Edge10cm : immobile episodes	Edge10cm : freezing episodes	Edge10cm : time freezing	Center30cm : time	Center30cm : distance	Center30cm : time mobile	Center30cm : time immobile	Center30cm : freezing episodes	Center30cm : time freezing	ID	DOB	Group
1	1	A	A	Field1	14:19		0 - 5 secs.	5.0	0.044	0.026	1.5	3.5	1	0.6	0.000	0.6	0.0	0	1	0.2	4.4	0.044	0.9	3.5	1	3.0	1		irrad
1	1	A	A	Field1	14:19		5 - 10 secs.	5.0	0.082	0.064	5.0	0.0	0	0.7	0.000	0.7	0.0	0	0	0.5	4.3	0.082	4.3	0.0	0	0.0	1		irrad
1	1	A	A	Field1	14:19		10 - 15 secs.	5.0	0.140	0.064	4.0	1.0	1	0.2	0.000	0.2	0.0	0	0	0.0	4.8	0.140	3.8	1.0	0	0.0	1		irrad
1	1	A	A	Field1	14:19		15 - 20 secs.	5.0	0.077	0.044	3.7	1.3	0	0.0	0.000	0.0	0.0	0	0	0.0	5.0	0.077	3.7	1.3	1	1.1	1		irrad
1	1	A	A	Field1	14:19		20 - 25 secs.	5.0	0.099	0.054	5.0	0.0	0	3.6	0.019	3.6	0.0	0	2	1.2	1.5	0.080	1.5	0.0	1	0.0	1		irrad
1	1	A	A	Field1	14:19		25 - 30 secs.	5.0	0.356	0.084	5.0	0.0	0	3.7	0.204	3.7	0.0	0	0	0.0	1.3	0.152	1.3	0.0	0	0.0	1		irrad
1	1	A	A	Field1	14:19		30 - 35 secs.	5.0	0.286	0.078	4.4	0.6	1	5.0	0.286	4.4	0.6	1	1	0.5	0.0	0.000	0.0	0.0	0	0.0	1		irrad
1	1	A	A	Field1	14:19		35 - 40 secs.	5.0	0.181	0.064	2.0	3.0	0	3.3	0.035	0.3	3.0	0	2	0.9	1.7	0.146	1.7	0.0	0	0.0	1		irrad
1	1	A	A	Field1	14:19		40 - 45 secs.	5.0	0.217	0.069	4.7	0.3	1	0.0	0.000	0.0	0.0	0	0	0.0	5.0	0.217	4.7	0.3	1	0.0	1		irrad
1	1	A	A	Field1	14:19		45 - 50 secs.	5.0	0.052	0.031	2.7	2.3	0	0.0	0.000	0.0	0.0	0	0	0.0	5.0	0.052	2.7	2.3	1	1.7	1		irrad
1	1	A	A	Field1	14:19		50 - 55 secs.	5.0	0.039	0.016	1.5	3.5	1	0.0	0.000	0.0	0.0	0	0	0.0	5.0	0.039	1.5	3.5	3	3.0	1		irrad
