Test	Animal	Treatment	Code	Apparatus	Time	Animal notes	Segment of test	WholeArena : time	WholeArena : distance	WholeArena : average speed	WholeArena : time mobile	WholeArena : time immobile	WholeArena : immobile episodes	Edge10cm : time	Edge10cm : distance	Edge10cm : time mobile	Edge10cm : time immobile	Edge10cm : immobile episodes	Edge10cm : freezing episodes	Edge10cm : time freezing	Center30cm : time	Center30cm : distance	Center30cm : time mobile	Center30cm : time immobile	Center30cm : freezing episodes	Center30cm : time freezing	ID	DOB	Group
1	1	A	A	Field1	14:04		29 - 30 secs.	1.0	0.103	0.125	1.0	0.0	0	1.0	0.103	1.0	0.0	0	1	0.1	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		30 - 31 secs.	1.0	0.000	0.027	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		31 - 32 secs.	1.0	0.000	0.074	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		32 - 33 secs.	1.0	0.000	0.000	1.0	0.0	0	1.0	0.000	1.0	0.0	0	1	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		33 - 34 secs.	1.0	0.029	0.050	1.0	0.0	0	1.0	0.029	1.0	0.0	0	0	0.6	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		34 - 35 secs.	1.0	0.000	0.024	1.0	0.0	0	1.0	0.000	1.0	0.0	0	1	0.1	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		35 - 36 secs.	1.0	0.000	0.033	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.9	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		36 - 37 secs.	1.0	0.000	0.000	1.0	0.0	0	1.0	0.000	1.0	0.0	0	1	0.3	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		37 - 38 secs.	1.0	0.047	0.060	1.0	0.0	0	0.8	0.022	0.8	0.0	0	0	0.3	0.2	0.025	0.2	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		38 - 39 secs.	1.0	0.128	0.148	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.128	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		39 - 40 secs.	1.0	0.163	0.187	1.0	0.0	0	0.2	0.022	0.2	0.0	0	0	0.0	0.8	0.141	0.8	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		40 - 41 secs.	1.0	0.055	0.066	1.0	0.0	0	1.0	0.055	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		41 - 42 secs.	1.0	0.020	0.073	1.0	0.0	0	1.0	0.020	1.0	0.0	0	1	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		42 - 43 secs.	1.0	0.042	0.147	1.0	0.0	0	1.0	0.042	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		43 - 44 secs.	1.0	0.188	0.188	1.0	0.0	0	0.2	0.063	0.2	0.0	0	0	0.0	0.8	0.124	0.8	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		44 - 45 secs.	1.0	0.155	0.155	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.155	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		45 - 46 secs.	1.0	0.124	0.131	1.0	0.0	0	0.8	0.092	0.8	0.0	0	0	0.0	0.2	0.031	0.2	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		46 - 47 secs.	1.0	0.044	0.091	1.0	0.0	0	1.0	0.044	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		47 - 48 secs.	1.0	0.020	0.020	1.0	0.0	0	1.0	0.020	1.0	0.0	0	2	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		48 - 49 secs.	1.0	0.020	0.084	1.0	0.0	0	1.0	0.020	1.0	0.0	0	0	0.2	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		49 - 50 secs.	1.0	0.023	0.053	0.6	0.4	1	1.0	0.023	0.6	0.4	1	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
