,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/17/2017 14:26:22
,     Stop Time: ~5/27/2017 14:26:22


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 05/17/2017 14:18:53
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,18.34,118.94,158.47,149.53,5.21,1.41,80.46,40.54,36.93,107.05,99.48,62.39,65.19,206.73,0.00,
Total Counts,45.84,297.36,396.17,373.82,13.01,3.53,201.14,101.34,92.33,267.62,248.70,155.99,162.99,516.83,0.00,


 15:02:53
Interval Count,0.00,1.09,10.93,0.00,0.00,0.00,29.17,26.78,5.25,17.68,10.45,2.46,23.41,33.72,0.00,
Average m/min.,0.00,0.44,4.37,0.00,0.00,0.00,11.67,10.71,2.10,7.07,4.18,0.99,9.37,13.49,0.00,
Distance,18.34,119.38,162.84,149.53,5.21,1.41,92.13,51.25,39.03,114.12,103.66,63.38,74.56,220.22,0.00,
Total Counts,45.84,298.45,407.11,373.82,13.01,3.53,230.32,128.12,97.58,285.30,259.14,158.45,186.39,550.55,0.00,


 15:03:53
Interval Count,0.38,1.01,12.42,0.45,0.00,0.05,19.66,38.84,3.91,33.18,9.87,8.62,16.87,10.47,0.00,
Average m/min.,0.15,0.40,4.97,0.18,0.00,0.02,7.87,15.54,1.56,13.28,3.95,3.45,6.75,4.19,0.00,
Distance,18.49,119.78,167.81,149.71,5.21,1.43,99.99,66.78,40.59,127.39,107.61,66.83,81.31,224.41,0.00,
Total Counts,46.22,299.46,419.53,374.26,13.01,3.58,249.97,166.96,101.49,318.49,269.01,167.07,203.26,561.03,0.00,


 15:04:53
Interval Count,0.00,0.97,7.57,0.00,0.00,0.01,11.62,0.16,6.33,31.29,11.00,1.87,1.37,33.07,0.00,
Average m/min.,0.00,0.39,3.03,0.00,0.00,0.01,4.65,0.07,2.54,12.51,4.40,0.74,0.54,13.23,0.00,
Distance,18.49,120.17,170.84,149.71,5.21,1.44,104.64,66.85,43.13,139.91,112.01,67.57,81.85,237.64,0.00,
Total Counts,46.22,300.43,427.09,374.26,13.01,3.59,261.59,167.12,107.82,349.78,280.01,168.93,204.63,594.09,0.00,


 15:05:53
Interval Count,0.01,18.29,7.58,21.96,0.00,0.00,24.68,3.97,6.42,36.89,9.18,6.26,2.99,39.32,0.00,
Average m/min.,0.00,7.32,3.03,8.78,0.00,0.00,9.86,1.59,2.56,14.75,3.67,2.51,1.20,15.71,0.00,
Distance,18.49,127.49,173.87,158.49,5.21,1.44,114.51,68.44,45.69,154.67,115.68,70.08,83.05,253.36,0.00,
Total Counts,46.24,318.72,434.67,396.22,13.01,3.59,286.28,171.09,114.24,386.67,289.20,175.20,207.62,633.41,0.00,


 15:06:53
Interval Count,1.89,7.28,20.55,21.71,0.00,0.03,2.96,6.82,1.47,1.88,0.64,10.00,20.58,41.34,0.00,
Average m/min.,0.76,2.91,8.21,8.67,0.00,0.01,1.18,2.72,0.59,0.75,0.26,4.00,8.23,16.53,0.00,
Distance,19.25,130.40,182.09,167.17,5.21,1.45,115.69,71.16,46.28,155.42,115.94,74.08,91.28,269.90,0.00,
Total Counts,48.13,326.00,455.22,417.93,13.01,3.62,289.24,177.91,115.71,388.55,289.84,185.20,228.20,674.75,0.00,


 15:07:53
Interval Count,1.00,3.97,11.24,0.00,0.00,0.04,11.43,11.00,1.26,0.00,7.01,1.12,19.79,0.01,0.00,
Average m/min.,0.40,1.59,4.49,0.00,0.00,0.01,4.58,4.40,0.51,0.00,2.80,0.45,7.91,0.01,0.00,
Distance,19.65,131.99,186.58,167.17,5.21,1.46,120.27,75.56,46.79,155.42,118.74,74.53,99.19,269.91,0.00,
Total Counts,49.13,329.97,466.46,417.93,13.01,3.66,300.67,188.91,116.97,388.55,296.86,186.32,247.99,674.76,0.00,


 15:08:53
Interval Count,2.53,2.18,23.78,0.18,0.00,0.36,17.76,0.79,3.86,24.14,9.13,2.39,16.97,16.26,0.00,
Average m/min.,1.01,0.87,9.51,0.08,0.00,0.15,7.09,0.32,1.54,9.65,3.65,0.95,6.79,6.50,0.00,
Distance,20.66,132.86,196.09,167.25,5.21,1.61,127.37,75.88,48.33,165.08,122.39,75.48,105.98,276.41,0.00,
Total Counts,51.66,332.16,490.24,418.12,13.01,4.01,318.43,189.70,120.83,412.70,305.99,188.71,264.96,691.03,0.00,


 15:09:54
Interval Count,0.13,0.53,14.49,3.24,0.00,0.09,21.80,0.58,0.00,31.61,0.66,3.50,19.93,16.18,0.00,
Average m/min.,0.06,0.21,5.80,1.29,0.00,0.03,8.72,0.23,0.00,12.64,0.27,1.40,7.98,6.47,0.00,
Distance,20.72,133.07,201.89,168.54,5.21,1.64,136.09,76.11,48.33,177.72,122.66,76.88,113.96,282.88,0.00,
Total Counts,51.79,332.68,504.72,421.36,13.01,4.11,340.24,190.28,120.83,444.30,306.64,192.21,284.89,707.21,0.00,


 15:10:53
Interval Count,0.28,1.97,24.36,0.96,0.00,0.36,16.91,0.00,1.20,36.34,2.64,6.63,0.00,41.63,0.00,
Average m/min.,0.11,0.79,9.75,0.39,0.00,0.14,6.78,0.00,0.48,14.55,1.06,2.66,0.00,16.67,0.00,
Distance,20.83,133.86,211.63,168.93,5.21,1.78,142.86,76.11,48.81,192.26,123.72,79.54,113.96,299.54,0.00,
Total Counts,52.07,334.66,529.08,422.32,13.01,4.46,357.14,190.28,122.03,480.64,309.29,198.84,284.89,748.84,0.00,


 15:11:53
Interval Count,4.18,7.01,7.01,0.39,0.00,0.17,2.20,0.00,5.76,29.83,1.09,1.84,5.26,0.17,0.00,
Average m/min.,1.67,2.81,2.81,0.15,0.00,0.07,0.88,0.00,2.31,11.91,0.43,0.73,2.10,0.07,0.00,
Distance,22.50,136.67,214.44,169.08,5.21,1.85,143.74,76.11,51.12,204.19,124.15,80.27,116.06,299.61,0.00,
Total Counts,56.25,341.67,536.09,422.71,13.01,4.63,359.34,190.28,127.79,510.47,310.38,200.68,290.16,749.01,0.00,


 15:12:54
Interval Count,1.92,26.45,7.74,0.76,0.00,0.29,2.57,0.80,3.55,33.96,9.45,0.70,13.33,1.14,0.00,
Average m/min.,0.77,10.58,3.09,0.31,0.00,0.12,1.02,0.32,1.42,13.58,3.78,0.28,5.33,0.45,0.00,
Distance,23.27,147.25,217.53,169.39,5.21,1.97,144.76,76.43,52.54,217.77,127.93,80.55,121.39,300.06,0.00,
Total Counts,58.17,368.12,543.83,423.47,13.01,4.92,361.91,191.08,131.34,544.43,319.83,201.38,303.49,750.16,0.00,


 15:13:54
Interval Count,3.93,34.70,26.24,8.76,0.00,0.00,15.87,9.34,1.89,0.00,13.03,0.00,29.71,1.24,0.00,
Average m/min.,1.57,13.87,10.49,3.50,0.00,0.00,6.35,3.74,0.75,0.00,5.21,0.00,11.89,0.50,0.00,
Distance,24.84,161.13,228.03,172.89,5.21,1.97,151.11,80.17,53.29,217.77,133.14,80.55,133.28,300.56,0.00,
Total Counts,62.11,402.82,570.07,432.24,13.01,4.92,377.78,200.42,133.24,544.43,332.86,201.38,333.20,751.39,0.00,


 15:14:54
Interval Count,4.36,40.45,13.37,2.76,0.00,0.00,6.41,2.68,1.66,0.00,12.04,0.17,8.37,41.26,0.00,
Average m/min.,1.74,16.18,5.34,1.11,0.00,0.00,2.56,1.07,0.67,0.00,4.82,0.07,3.35,16.50,0.00,
Distance,26.58,177.31,233.37,174.00,5.21,1.97,153.67,81.24,53.96,217.77,137.96,80.62,136.63,317.06,0.00,
Total Counts,66.46,443.26,583.43,435.00,13.01,4.92,384.18,203.11,134.89,544.43,344.89,201.55,341.57,792.66,0.00,


 15:15:54
Interval Count,0.09,25.72,4.95,20.72,0.00,0.20,0.95,0.00,1.34,0.00,9.89,13.54,9.42,5.87,0.00,
Average m/min.,0.04,10.28,1.98,8.29,0.00,0.08,0.38,0.00,0.53,0.00,3.96,5.42,3.76,2.35,0.00,
Distance,26.62,187.59,235.35,182.29,5.21,2.05,154.05,81.24,54.49,217.77,141.92,86.04,140.39,319.41,0.00,
Total Counts,66.55,468.99,588.38,455.72,13.01,5.12,385.13,203.11,136.24,544.43,354.79,215.09,350.99,798.53,0.00,


 15:16:54
Interval Count,8.51,0.68,18.09,11.70,0.00,0.24,4.93,8.67,1.13,0.00,8.47,7.78,2.64,0.00,0.00,
Average m/min.,3.41,0.28,7.24,4.68,0.00,0.09,1.98,3.47,0.46,0.00,3.39,3.11,1.06,0.00,0.00,
Distance,30.03,187.87,242.59,186.97,5.21,2.14,156.03,84.71,54.95,217.77,145.31,89.15,141.45,319.41,0.00,
Total Counts,75.07,469.67,606.47,467.42,13.01,5.36,390.07,211.78,137.37,544.43,363.26,222.87,353.63,798.53,0.00,


 15:17:54
Interval Count,12.66,0.43,30.91,0.08,0.00,0.26,2.11,33.25,1.13,0.00,2.89,3.71,8.04,4.66,0.00,
Average m/min.,5.06,0.17,12.35,0.03,0.00,0.11,0.84,13.29,0.45,0.00,1.15,1.48,3.22,1.86,0.00,
Distance,35.09,188.04,254.95,187.00,5.21,2.25,156.87,98.01,55.40,217.77,146.46,90.63,144.67,321.27,0.00,
Total Counts,87.72,470.11,637.38,467.50,13.01,5.62,392.17,245.03,138.50,544.43,366.16,226.58,361.67,803.18,0.00,


 15:18:54
Interval Count,12.00,1.55,31.09,2.38,0.00,0.21,4.00,0.67,2.74,0.00,0.33,4.80,2.66,8.51,0.00,
Average m/min.,4.80,0.62,12.44,0.95,0.00,0.08,1.60,0.27,1.09,0.00,0.13,1.92,1.06,3.41,0.00,
Distance,39.89,188.66,267.39,187.95,5.21,2.33,158.47,98.28,56.49,217.77,146.59,92.55,145.73,324.68,0.00,
Total Counts,99.72,471.66,668.47,469.88,13.01,5.83,396.17,245.70,141.24,544.43,366.49,231.38,364.33,811.70,0.00,


 15:19:54
Interval Count,18.88,1.05,26.86,0.45,0.00,0.39,5.11,0.74,3.82,0.00,4.71,0.03,14.36,39.57,0.00,
Average m/min.,7.55,0.42,10.75,0.18,0.00,0.16,2.04,0.29,1.53,0.00,1.89,0.01,5.74,15.83,0.00,
Distance,47.44,189.08,278.13,188.13,5.21,2.49,160.51,98.57,58.02,217.77,148.48,92.56,151.47,340.51,0.00,
Total Counts,118.61,472.71,695.33,470.33,13.01,6.22,401.28,246.43,145.05,544.43,371.20,231.41,378.68,851.26,0.00,


 15:20:54
Interval Count,21.89,1.28,17.67,0.09,0.00,0.07,19.33,0.82,5.47,24.32,3.20,2.07,14.59,16.95,0.00,
Average m/min.,8.76,0.51,7.07,0.04,0.00,0.03,7.73,0.33,2.19,9.72,1.28,0.83,5.84,6.77,0.00,
Distance,56.20,189.59,285.20,188.17,5.21,2.52,168.24,98.90,60.21,227.50,149.76,93.39,157.31,347.28,0.00,
Total Counts,140.50,473.99,713.00,470.42,13.01,6.29,420.61,247.25,150.53,568.75,374.39,233.47,393.28,868.21,0.00,


 15:21:54
Interval Count,18.92,1.93,11.67,0.08,0.00,0.99,16.09,0.08,2.16,17.39,8.12,0.62,12.03,34.39,0.00,
Average m/min.,7.57,0.78,4.67,0.03,0.00,0.39,6.43,0.03,0.86,6.96,3.25,0.25,4.81,13.76,0.00,
Distance,63.77,190.37,289.87,188.20,5.21,2.91,174.68,98.93,61.07,234.46,153.01,93.64,162.12,361.04,0.00,
Total Counts,159.42,475.92,724.67,470.50,13.01,7.28,436.70,247.33,152.68,586.14,382.51,234.09,405.30,902.61,0.00,


 15:22:54
Interval Count,20.88,3.16,41.46,1.08,0.00,0.78,0.58,0.36,3.79,0.00,9.16,1.09,2.87,46.26,0.00,
Average m/min.,8.35,1.26,16.56,0.43,0.00,0.31,0.23,0.14,1.52,0.00,3.66,0.43,1.15,18.50,0.00,
Distance,72.12,191.63,306.45,188.63,5.21,3.22,174.91,99.07,62.59,234.46,156.67,94.07,163.27,379.55,0.00,
Total Counts,180.30,479.08,766.13,471.58,13.01,8.05,437.28,247.68,156.47,586.14,391.67,235.18,408.17,948.87,0.00,


 15:23:54
Interval Count,0.21,8.08,21.11,0.36,0.00,0.66,2.07,0.38,3.45,0.00,12.95,10.87,12.63,35.97,0.00,
Average m/min.,0.09,3.23,8.44,0.14,0.00,0.26,0.83,0.16,1.38,0.00,5.18,4.35,5.05,14.39,0.00,
Distance,72.21,194.86,314.89,188.77,5.21,3.48,175.74,99.23,63.97,234.46,161.85,98.42,168.32,393.94,0.00,
Total Counts,180.51,487.16,787.24,471.93,13.01,8.71,439.34,248.07,159.92,586.14,404.62,246.05,420.80,984.84,0.00,


 15:24:54
Interval Count,8.37,4.03,35.43,12.13,0.00,0.00,6.87,1.30,3.21,0.00,11.13,14.41,8.14,20.13,0.00,
Average m/min.,3.34,1.61,14.18,4.86,0.00,0.00,2.74,0.52,1.28,0.00,4.45,5.76,3.26,8.05,0.00,
Distance,75.55,196.47,329.07,193.63,5.21,3.48,178.48,99.75,65.25,234.46,166.30,104.18,171.58,401.99,0.00,
Total Counts,188.88,491.18,822.67,484.07,13.01,8.71,446.21,249.37,163.13,586.14,415.75,260.46,428.95,1004.97,0.00,


 15:25:54
Interval Count,28.46,10.71,42.36,41.08,0.00,0.99,16.26,5.75,6.00,0.00,14.79,20.37,1.75,0.37,0.00,
Average m/min.,11.39,4.29,16.94,16.42,0.00,0.40,6.50,2.30,2.40,0.00,5.92,8.15,0.70,0.15,0.00,
Distance,86.94,200.76,346.01,210.06,5.21,3.88,184.99,102.05,67.65,234.46,172.22,112.33,172.28,402.14,0.00,
Total Counts,217.34,501.89,865.03,525.14,13.01,9.70,462.47,255.12,169.13,586.14,430.54,280.83,430.70,1005.34,0.00,


 15:26:54
Interval Count,28.79,3.72,43.22,13.78,0.00,0.64,29.00,0.00,5.76,0.00,11.47,18.26,17.39,0.07,0.00,
Average m/min.,11.50,1.49,17.27,5.50,0.00,0.26,11.59,0.00,2.31,0.00,4.59,7.31,6.96,0.02,0.00,
Distance,98.45,202.25,363.30,215.57,5.21,4.14,196.59,102.05,69.96,234.46,176.81,119.64,179.24,402.16,0.00,
Total Counts,246.13,505.62,908.25,538.92,13.01,10.34,491.47,255.12,174.89,586.14,442.01,299.09,448.09,1005.41,0.00,


 15:27:54
Interval Count,27.03,28.07,24.43,37.07,0.00,3.00,26.93,0.00,5.08,0.00,7.97,28.61,24.68,0.53,0.00,
Average m/min.,10.81,11.22,9.77,14.83,0.00,1.20,10.78,0.00,2.03,0.00,3.18,11.45,9.87,0.21,0.00,
Distance,109.26,213.47,373.07,230.39,5.21,5.34,207.36,102.05,71.99,234.46,179.99,131.08,189.11,402.37,0.00,
Total Counts,273.16,533.68,932.68,575.99,13.01,13.34,518.41,255.12,179.97,586.14,449.99,327.70,472.78,1005.93,0.00,


 15:28:54
Interval Count,26.03,22.55,38.47,21.45,0.00,3.66,17.66,1.61,3.37,0.00,0.00,13.84,26.36,24.75,0.00,
Average m/min.,10.41,9.02,15.39,8.58,0.00,1.46,7.07,0.64,1.35,0.00,0.00,5.54,10.53,9.90,0.00,
Distance,119.67,222.49,388.46,238.97,5.21,6.80,214.43,102.69,73.34,234.46,179.99,136.62,199.65,412.27,0.00,
Total Counts,299.18,556.24,971.16,597.43,13.01,17.00,536.07,256.72,183.34,586.14,449.99,341.54,499.13,1030.68,0.00,


 15:29:54
Interval Count,9.32,2.26,7.70,4.45,0.00,4.95,15.89,0.95,2.93,0.00,2.34,0.05,27.70,41.66,0.00,
Average m/min.,3.73,0.91,3.08,1.78,0.00,1.98,6.34,0.38,1.17,0.00,0.94,0.02,11.08,16.67,0.00,
Distance,123.40,223.40,391.54,240.75,5.21,8.78,220.78,103.07,74.51,234.46,180.93,136.64,210.73,428.94,0.00,
Total Counts,308.50,558.50,978.86,601.88,13.01,21.95,551.96,257.67,186.28,586.14,452.33,341.59,526.83,1072.34,0.00,


 15:30:54
Interval Count,0.00,1.13,34.39,0.42,0.00,3.87,26.33,2.42,1.62,0.00,10.97,2.25,26.28,17.51,0.00,
Average m/min.,0.00,0.45,13.75,0.17,0.00,1.55,10.53,0.97,0.65,0.00,4.39,0.90,10.51,7.00,0.00,
Distance,123.40,223.85,405.30,240.92,5.21,10.33,231.32,104.04,75.16,234.46,185.32,137.54,221.24,435.94,0.00,
Total Counts,308.50,559.63,1013.25,602.30,13.01,25.82,578.29,260.09,187.89,586.14,463.30,343.84,553.11,1089.86,0.00,


 15:31:54
Interval Count,9.34,0.00,42.82,0.36,0.00,3.64,29.86,8.28,0.00,0.00,14.71,0.00,32.76,0.39,0.00,
Average m/min.,3.74,0.00,17.12,0.14,0.00,1.45,11.94,3.31,0.00,0.00,5.89,0.00,13.11,0.16,0.00,
Distance,127.14,223.85,422.43,241.06,5.21,11.78,243.26,107.35,75.16,234.46,191.21,137.54,234.35,436.10,0.00,
Total Counts,317.84,559.63,1056.07,602.66,13.01,29.46,608.14,268.37,187.89,586.14,478.01,343.84,585.87,1090.25,0.00,


 15:32:54
Interval Count,19.20,16.34,45.55,0.84,0.00,0.12,34.92,25.36,1.75,0.00,14.26,1.13,16.32,0.04,0.00,
Average m/min.,7.68,6.54,18.23,0.34,0.00,0.05,13.98,10.15,0.70,0.00,5.70,0.45,6.52,0.02,0.00,
Distance,134.82,230.39,440.65,241.40,5.21,11.83,257.23,117.49,75.86,234.46,196.91,137.99,240.87,436.12,0.00,
Total Counts,337.04,575.97,1101.62,603.50,13.01,29.58,643.07,293.72,189.64,586.14,492.28,344.97,602.18,1090.29,0.00,


 15:33:54
Interval Count,27.00,22.37,29.84,39.68,0.00,0.00,4.32,36.50,2.36,0.00,12.03,0.57,0.00,30.00,0.00,
Average m/min.,10.80,8.95,11.93,15.87,0.00,0.00,1.72,14.59,0.94,0.00,4.81,0.23,0.00,12.00,0.00,
Distance,145.62,239.34,452.58,257.27,5.21,11.83,258.95,132.09,76.80,234.46,201.72,138.22,240.87,448.12,0.00,
Total Counts,364.04,598.34,1131.46,643.18,13.01,29.58,647.38,330.22,192.00,586.14,504.30,345.54,602.18,1120.29,0.00,


 15:34:54
Interval Count,27.20,30.78,0.00,39.26,0.55,0.08,34.67,31.13,3.92,0.00,12.29,0.71,0.18,30.05,0.00,
Average m/min.,10.87,12.31,0.00,15.70,0.22,0.03,13.85,12.44,1.57,0.00,4.92,0.28,0.08,12.02,0.00,
Distance,156.49,251.65,452.58,272.98,5.43,11.86,272.82,144.54,78.37,234.46,206.64,138.50,240.95,460.14,0.00,
Total Counts,391.24,629.12,1131.46,682.45,13.57,29.66,682.05,361.36,195.92,586.14,516.59,346.25,602.37,1150.34,0.00,


 15:35:54
Interval Count,21.49,24.67,0.00,23.25,0.00,0.00,20.01,19.89,4.16,0.00,7.92,9.26,0.38,13.64,0.00,
Average m/min.,8.60,9.86,0.00,9.29,0.00,0.00,8.01,7.96,1.66,0.00,3.17,3.71,0.15,5.45,0.00,
Distance,165.09,261.52,452.58,282.28,5.43,11.86,280.83,152.50,80.03,234.46,209.81,142.21,241.10,465.59,0.00,
Total Counts,412.72,653.79,1131.46,705.70,13.57,29.66,702.07,381.25,200.08,586.14,524.51,355.51,602.75,1163.99,0.00,


 15:36:54
Interval Count,28.67,21.92,0.00,0.04,0.00,7.03,27.20,7.58,3.26,0.00,3.63,4.36,13.59,20.14,0.00,
Average m/min.,11.47,8.76,0.00,0.01,0.00,2.81,10.89,3.03,1.31,0.00,1.45,1.74,5.44,8.06,0.00,
Distance,176.56,270.28,452.58,282.29,5.43,14.67,291.71,155.53,81.34,234.46,211.26,143.95,246.54,473.65,0.00,
Total Counts,441.39,675.71,1131.46,705.74,13.57,36.68,729.26,388.83,203.34,586.14,528.14,359.87,616.34,1184.13,0.00,


 15:37:54
Interval Count,17.82,36.30,1.04,0.45,0.00,14.00,1.50,0.00,3.71,0.00,9.11,6.30,1.82,0.00,0.00,
Average m/min.,7.12,14.53,0.42,0.18,0.00,5.60,0.60,0.00,1.48,0.00,3.64,2.52,0.72,0.00,0.00,
Distance,183.68,284.81,453.00,282.47,5.43,20.27,292.31,155.53,82.82,234.46,214.90,146.47,247.26,473.65,0.00,
Total Counts,459.21,712.01,1132.50,706.18,13.57,50.68,730.76,388.83,207.05,586.14,537.25,366.17,618.16,1184.13,0.00,


 15:38:54
Interval Count,0.00,18.33,5.61,0.13,0.00,10.71,0.00,0.45,3.34,0.00,6.24,5.86,4.25,7.79,0.00,
Average m/min.,0.00,7.33,2.24,0.06,0.00,4.29,0.00,0.18,1.34,0.00,2.49,2.34,1.70,3.12,0.00,
Distance,183.68,292.14,455.24,282.53,5.43,24.56,292.31,155.71,84.16,234.46,217.39,148.81,248.96,476.77,0.00,
Total Counts,459.21,730.34,1138.11,706.32,13.57,61.39,730.76,389.28,210.39,586.14,543.49,372.03,622.41,1191.92,0.00,


 15:39:54
Interval Count,1.11,30.84,1.88,16.62,0.00,7.47,0.46,0.37,0.00,0.00,11.95,2.41,1.84,36.16,0.00,
Average m/min.,0.45,12.32,0.75,6.63,0.00,2.99,0.18,0.15,0.00,0.00,4.78,0.96,0.74,14.45,0.00,
Distance,184.13,304.47,455.99,289.17,5.43,27.55,292.49,155.86,84.16,234.46,222.17,149.77,249.70,491.23,0.00,
Total Counts,460.32,761.18,1139.99,722.93,13.57,68.87,731.22,389.64,210.39,586.14,555.43,374.43,624.25,1228.08,0.00,


 15:40:54
Interval Count,26.34,1.89,14.66,1.16,0.26,0.53,4.45,0.17,0.00,0.00,4.89,0.24,1.39,0.39,0.00,
Average m/min.,10.52,0.76,5.87,0.47,0.10,0.21,1.78,0.07,0.00,0.00,1.96,0.10,0.56,0.16,0.00,
Distance,194.66,305.23,461.86,289.64,5.53,27.76,294.27,155.93,84.16,234.46,224.13,149.87,250.26,491.39,0.00,
Total Counts,486.66,763.08,1154.64,724.09,13.83,69.39,735.67,389.82,210.39,586.14,560.33,374.67,625.64,1228.47,0.00,


 15:41:54
Interval Count,21.70,0.28,18.32,0.22,0.00,0.00,9.86,0.00,0.63,0.00,1.68,1.03,5.74,0.28,0.00,
Average m/min.,8.68,0.11,7.32,0.09,0.00,0.00,3.94,0.00,0.25,0.00,0.68,0.41,2.29,0.11,0.00,
Distance,203.34,305.34,469.18,289.73,5.53,27.76,298.21,155.93,84.41,234.46,224.81,150.28,252.55,491.50,0.00,
Total Counts,508.36,763.36,1172.96,724.32,13.83,69.39,745.53,389.82,211.03,586.14,562.01,375.70,631.38,1228.75,0.00,


 15:42:54
Interval Count,27.46,1.08,19.96,0.67,0.00,0.01,34.62,0.00,0.55,0.00,1.39,4.13,8.63,0.43,0.00,
Average m/min.,10.99,0.43,7.99,0.26,0.00,0.00,13.85,0.00,0.22,0.00,0.55,1.65,3.46,0.17,0.00,
Distance,214.33,305.77,477.17,289.99,5.53,27.76,312.06,155.93,84.63,234.46,225.36,151.93,256.01,491.67,0.00,
Total Counts,535.82,764.43,1192.92,724.99,13.83,69.41,780.14,389.82,211.58,586.14,563.41,379.83,640.01,1229.18,0.00,


 15:43:54
Interval Count,29.32,0.36,0.00,0.82,0.00,0.00,27.18,0.82,0.29,0.00,0.45,3.91,1.51,0.24,0.00,
Average m/min.,11.72,0.15,0.00,0.33,0.00,0.00,10.86,0.32,0.12,0.00,0.18,1.56,0.60,0.10,0.00,
Distance,226.05,305.92,477.17,290.32,5.53,27.76,322.93,156.25,84.75,234.46,225.54,153.49,256.61,491.77,0.00,
Total Counts,565.13,764.79,1192.92,725.80,13.83,69.41,807.33,390.63,211.87,586.14,563.86,383.74,641.53,1229.42,0.00,


 15:44:54
Interval Count,-540.36,-764.33,-1187.66,-720.84,-13.41,-69.25,-788.67,-387.17,-211.33,-586.12,-562.95,-383.54,-640.22,-1224.57,0.01,
Average m/min.,-216.10,-305.68,-475.10,-288.36,-5.36,-27.70,-315.49,-154.84,-84.51,-234.41,-225.14,-153.38,-256.04,-489.74,0.01,
Distance,9.91,0.18,2.11,1.98,0.17,0.06,7.46,1.38,0.22,0.01,0.36,0.08,0.52,1.94,0.01,
Total Counts,24.78,0.46,5.26,4.96,0.42,0.16,18.66,3.46,0.54,0.03,0.91,0.20,1.30,4.86,0.01,


 15:45:53
Interval Count,23.39,1.18,0.55,2.64,1.68,0.51,25.36,1.53,0.04,0.00,0.76,0.75,4.50,0.00,0.00,
Average m/min.,9.46,0.49,0.22,1.07,0.68,0.21,10.26,0.62,0.01,0.00,0.31,0.30,1.82,0.00,0.00,
Distance,19.27,0.66,2.33,3.04,0.84,0.27,17.61,1.99,0.23,0.01,0.67,0.38,2.32,1.94,0.01,
Total Counts,48.17,1.64,5.82,7.61,2.11,0.67,44.01,4.99,0.58,0.03,1.67,0.95,5.80,4.86,0.01,


,<User stopped experiment at 5/17/2017 3:53:23 PM>
