,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/17/2017 14:26:22
,     Stop Time: ~5/27/2017 14:26:22


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 05/17/2017 14:18:53
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,1.69,1.45,1.48,0.05,0.01,0.00,1.82,0.34,0.18,0.00,0.00,0.08,0.00,0.17,0.00,
Distance,6.02,7.26,5.54,3.43,2.45,1.07,3.46,1.15,0.40,2.28,0.36,1.50,2.64,1.56,0.00,
Total Counts,15.05,18.14,13.86,8.58,6.12,2.68,8.64,2.88,1.00,5.71,0.91,3.75,6.59,3.91,0.00,


 14:29:53
Interval Count,2.11,0.58,7.84,0.00,0.53,0.11,1.14,1.84,0.97,0.07,0.32,0.01,0.04,1.83,0.00,
Average m/min.,0.84,0.23,3.14,0.00,0.21,0.05,0.46,0.74,0.39,0.03,0.13,0.01,0.01,0.73,0.00,
Distance,6.86,7.49,8.68,3.43,2.66,1.12,3.92,1.89,0.79,2.31,0.49,1.51,2.65,2.29,0.00,
Total Counts,17.16,18.72,21.70,8.58,6.64,2.79,9.79,4.72,1.97,5.78,1.22,3.76,6.63,5.74,0.00,


 14:30:53
Interval Count,5.36,6.28,17.25,0.68,0.00,0.00,2.25,1.74,0.83,0.00,0.42,0.55,0.00,4.53,0.00,
Average m/min.,2.15,2.51,6.90,0.28,0.00,0.00,0.90,0.69,0.33,0.00,0.17,0.22,0.00,1.82,0.00,
Distance,9.01,10.00,15.58,3.71,2.66,1.12,4.82,2.58,1.12,2.31,0.66,1.73,2.65,4.11,0.00,
Total Counts,22.51,25.00,38.95,9.26,6.64,2.79,12.04,6.46,2.80,5.78,1.64,4.32,6.63,10.26,0.00,


 14:31:53
Interval Count,2.91,1.42,15.49,0.03,0.00,0.00,1.26,0.76,1.01,0.08,2.12,0.97,0.04,1.14,0.00,
Average m/min.,1.16,0.57,6.19,0.01,0.00,0.00,0.50,0.31,0.41,0.03,0.85,0.39,0.02,0.45,0.00,
Distance,10.17,10.57,21.77,3.72,2.66,1.12,5.32,2.89,1.53,2.34,1.51,2.12,2.67,4.56,0.00,
Total Counts,25.42,26.42,54.43,9.29,6.64,2.79,13.30,7.22,3.82,5.86,3.76,5.29,6.67,11.41,0.00,


 14:32:53
Interval Count,4.39,2.55,27.00,1.55,0.00,0.00,1.54,0.87,2.47,0.03,5.43,2.88,0.49,2.49,0.00,
Average m/min.,1.76,1.02,10.79,0.62,0.00,0.00,0.62,0.35,0.99,0.01,2.17,1.15,0.19,1.00,0.00,
Distance,11.93,11.59,32.57,4.34,2.66,1.12,5.94,3.24,2.52,2.35,3.68,3.27,2.86,5.56,0.00,
Total Counts,29.82,28.97,81.43,10.84,6.64,2.79,14.84,8.09,6.29,5.88,9.20,8.17,7.16,13.89,0.00,


 14:33:53
Interval Count,0.70,0.34,6.34,3.25,0.16,0.04,1.80,1.12,0.00,0.00,4.16,3.25,0.57,6.99,0.00,
Average m/min.,0.28,0.14,2.54,1.30,0.06,0.01,0.72,0.44,0.00,0.00,1.66,1.30,0.23,2.79,0.00,
Distance,12.21,11.73,35.11,5.64,2.72,1.13,6.66,3.68,2.52,2.35,5.34,4.57,3.09,8.35,0.00,
Total Counts,30.51,29.32,87.78,14.09,6.80,2.83,16.64,9.21,6.29,5.88,13.36,11.42,7.72,20.88,0.00,


 14:34:53
Interval Count,1.32,2.04,15.11,1.67,0.00,0.00,0.04,0.00,3.97,0.00,2.53,0.00,0.71,12.74,0.00,
Average m/min.,0.52,0.81,6.04,0.67,0.00,0.00,0.01,0.00,1.59,0.00,1.01,0.00,0.28,5.10,0.00,
Distance,12.73,12.54,41.15,6.31,2.72,1.13,6.67,3.68,4.11,2.35,6.35,4.57,3.37,13.45,0.00,
Total Counts,31.83,31.36,102.88,15.76,6.80,2.83,16.68,9.21,10.26,5.88,15.88,11.42,8.43,33.62,0.00,


 14:35:53
Interval Count,0.04,1.29,13.71,2.28,0.04,0.05,3.59,0.00,1.58,1.05,13.16,6.25,1.04,27.07,0.00,
Average m/min.,0.02,0.52,5.49,0.91,0.02,0.02,1.44,0.00,0.63,0.42,5.26,2.50,0.42,10.81,0.00,
Distance,12.75,13.06,46.64,7.22,2.74,1.15,8.11,3.68,4.74,2.77,11.62,7.07,3.79,24.27,0.00,
Total Counts,31.87,32.64,116.59,18.04,6.84,2.88,20.28,9.21,11.84,6.93,29.04,17.67,9.47,60.68,0.00,


 14:36:53
Interval Count,0.79,1.53,13.45,4.91,0.42,0.00,3.28,0.00,0.05,1.42,13.76,0.05,3.20,27.62,0.00,
Average m/min.,0.31,0.61,5.38,1.96,0.17,0.00,1.31,0.00,0.02,0.57,5.50,0.02,1.28,11.05,0.00,
Distance,13.06,13.67,52.02,9.18,2.91,1.15,9.42,3.68,4.76,3.34,17.12,7.09,5.07,35.32,0.00,
Total Counts,32.66,34.17,130.04,22.95,7.26,2.88,23.55,9.21,11.89,8.36,42.80,17.72,12.67,88.30,0.00,


 14:37:53
Interval Count,0.00,2.08,10.47,0.22,0.59,0.00,5.47,0.00,0.38,2.42,10.79,0.92,1.17,5.46,0.00,
Average m/min.,0.00,0.83,4.19,0.09,0.23,0.00,2.19,0.00,0.15,0.97,4.32,0.37,0.47,2.19,0.00,
Distance,13.06,14.50,56.21,9.27,3.14,1.15,11.61,3.68,4.91,4.31,21.44,7.46,5.54,37.51,0.00,
Total Counts,32.66,36.25,140.51,23.17,7.86,2.88,29.03,9.21,12.28,10.78,53.59,18.64,13.84,93.76,0.00,


 14:38:53
Interval Count,0.17,0.22,17.28,0.00,0.29,0.00,9.51,1.39,1.66,2.63,8.64,0.88,2.87,14.84,0.00,
Average m/min.,0.07,0.09,6.91,0.00,0.12,0.00,3.81,0.56,0.66,1.05,3.45,0.35,1.14,5.93,0.00,
Distance,13.13,14.59,63.12,9.27,3.26,1.15,15.42,4.24,5.57,5.36,24.89,7.81,6.68,43.44,0.00,
Total Counts,32.83,36.47,157.79,23.17,8.14,2.88,38.54,10.61,13.93,13.41,62.24,19.53,16.71,108.61,0.00,


 14:39:53
Interval Count,1.67,0.87,23.74,0.39,0.00,0.00,11.97,3.26,1.83,5.18,13.16,0.64,7.80,24.68,0.00,
Average m/min.,0.67,0.35,9.49,0.16,0.00,0.00,4.78,1.31,0.74,2.08,5.27,0.26,3.13,9.88,0.00,
Distance,13.80,14.94,72.61,9.43,3.26,1.15,20.21,5.55,6.31,7.44,30.16,8.07,9.81,53.32,0.00,
Total Counts,34.50,37.34,181.53,23.57,8.14,2.88,50.51,13.87,15.76,18.59,75.39,20.17,24.51,133.29,0.00,


 14:40:53
Interval Count,0.00,3.95,14.42,4.46,0.04,0.01,13.50,0.17,7.61,0.28,14.54,2.08,6.45,0.67,0.00,
Average m/min.,0.00,1.58,5.77,1.78,0.01,0.01,5.40,0.07,3.04,0.11,5.81,0.83,2.57,0.26,0.00,
Distance,13.80,16.52,78.38,11.21,3.27,1.16,25.61,5.62,9.35,7.55,35.97,8.90,12.38,53.58,0.00,
Total Counts,34.50,41.29,195.95,28.03,8.18,2.89,64.01,14.04,23.37,18.87,89.93,22.25,30.96,133.96,0.00,


 14:41:53
Interval Count,0.17,0.87,5.49,0.21,0.00,0.00,18.75,3.33,0.45,0.51,14.84,2.46,5.20,9.66,0.00,
Average m/min.,0.07,0.34,2.19,0.08,0.00,0.00,7.50,1.33,0.18,0.20,5.94,0.98,2.08,3.87,0.00,
Distance,13.87,16.86,80.57,11.29,3.27,1.16,33.11,6.95,9.53,7.75,41.91,9.88,14.46,57.45,0.00,
Total Counts,34.67,42.16,201.43,28.24,8.18,2.89,82.76,17.37,23.82,19.38,104.78,24.71,36.16,143.62,0.00,


 14:42:53
Interval Count,0.95,2.09,12.18,1.21,0.00,0.00,9.07,3.05,6.32,5.82,15.00,3.05,5.28,19.32,0.00,
Average m/min.,0.38,0.84,4.88,0.49,0.00,0.00,3.62,1.22,2.52,2.33,6.00,1.23,2.11,7.72,0.00,
Distance,14.25,17.70,85.45,11.78,3.27,1.16,36.73,8.17,12.05,10.08,47.91,11.11,16.57,65.17,0.00,
Total Counts,35.62,44.25,213.62,29.45,8.18,2.89,91.83,20.42,30.13,25.20,119.78,27.76,41.43,162.93,0.00,


 14:43:53
Interval Count,0.03,5.88,25.67,1.21,0.03,0.00,2.86,7.46,8.51,2.03,12.12,0.20,9.80,24.25,0.00,
Average m/min.,0.01,2.35,10.26,0.48,0.01,0.00,1.14,2.98,3.41,0.81,4.85,0.07,3.92,9.70,0.00,
Distance,14.26,20.05,95.72,12.26,3.28,1.16,37.87,11.15,15.46,10.89,52.76,11.18,20.49,74.87,0.00,
Total Counts,35.64,50.13,239.29,30.66,8.21,2.89,94.68,27.88,38.64,27.22,131.89,27.96,51.24,187.18,0.00,


 14:44:53
Interval Count,1.03,16.36,10.28,6.66,0.04,0.00,15.61,0.26,8.86,10.55,10.14,0.25,6.03,5.55,0.00,
Average m/min.,0.41,6.54,4.11,2.67,0.02,0.00,6.25,0.11,3.54,4.22,4.06,0.10,2.42,2.22,0.00,
Distance,14.67,26.59,99.83,14.93,3.30,1.16,44.12,11.26,19.00,15.11,56.82,11.28,22.91,77.09,0.00,
Total Counts,36.67,66.49,249.57,37.32,8.25,2.89,110.29,28.14,47.50,37.78,142.04,28.21,57.26,192.74,0.00,


 14:45:53
Interval Count,3.24,11.57,14.66,13.03,0.00,0.01,14.07,0.92,6.95,9.74,0.00,7.41,11.82,21.32,0.00,
Average m/min.,1.29,4.62,5.85,5.20,0.00,0.00,5.61,0.37,2.78,3.90,0.00,2.97,4.72,8.52,0.00,
Distance,15.96,31.22,105.69,20.14,3.30,1.16,49.74,11.63,21.78,19.01,56.82,14.25,27.63,85.62,0.00,
Total Counts,39.91,78.05,264.22,50.34,8.25,2.91,124.36,29.07,54.45,47.51,142.04,35.62,69.08,214.05,0.00,


 14:46:53
Interval Count,2.76,20.87,18.24,2.63,0.16,0.01,0.00,0.08,4.84,19.63,4.18,2.11,11.57,24.51,0.00,
Average m/min.,1.11,8.35,7.29,1.05,0.06,0.01,0.00,0.03,1.94,7.84,1.67,0.84,4.63,9.81,0.00,
Distance,17.07,39.57,112.98,21.19,3.36,1.17,49.74,11.66,23.72,26.86,58.49,15.09,32.26,95.43,0.00,
Total Counts,42.67,98.92,282.46,52.97,8.41,2.92,124.36,29.14,59.29,67.14,146.22,37.72,80.64,238.57,0.00,


 14:47:53
Interval Count,0.00,18.04,5.09,6.64,0.00,0.05,0.00,0.79,6.22,22.01,8.01,7.37,8.84,33.80,0.00,
