,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-2017
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/25/2017 14:12:16
,     Stop Time: ~6/4/2017 14:12:16


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Average m/min.,14.89,10.08,5.20,0.00,7.74,0.90,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,37.09,20.55,7.24,0.00,7.86,2.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,92.74,51.38,18.11,0.00,19.64,5.32,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:11:47
Interval Count,9.33,43.32,25.46,0.00,31.38,43.08,0.04,0.04,0.01,0.07,0.00,0.00,0.00,0.00,0.00,
Average m/min.,3.74,17.33,10.19,0.00,12.54,17.21,0.01,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,
Distance,40.83,37.88,17.43,0.00,20.41,19.36,0.03,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,
Total Counts,102.07,94.70,43.57,0.00,51.03,48.39,0.08,0.04,0.01,0.07,0.00,0.00,0.00,0.00,0.00,


 14:12:47
Interval Count,1.61,28.66,14.59,0.00,31.97,52.46,6.21,0.03,0.09,12.50,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.64,11.46,5.83,0.00,12.80,21.00,2.49,0.01,0.03,5.00,0.00,0.00,0.00,0.00,0.00,
Distance,41.47,49.34,23.26,0.00,33.20,40.34,2.52,0.03,0.04,5.03,0.00,0.00,0.00,0.00,0.00,
Total Counts,103.67,123.36,58.16,0.00,83.00,100.86,6.29,0.07,0.11,12.57,0.00,0.00,0.00,0.00,0.00,


 14:13:47
Interval Count,5.87,6.26,44.03,0.00,26.97,46.53,22.55,0.01,0.16,14.45,6.34,2.34,0.09,0.00,0.00,
Average m/min.,2.35,2.51,17.60,0.00,10.78,18.59,9.01,0.00,0.07,5.77,2.54,0.94,0.04,0.00,0.00,
Distance,43.82,51.85,40.87,0.00,43.99,58.95,11.54,0.03,0.11,10.81,2.54,0.94,0.04,0.00,0.00,
Total Counts,109.54,129.62,102.18,0.00,109.97,147.38,28.84,0.08,0.26,27.01,6.34,2.34,0.09,0.00,0.00,


 14:14:47
Interval Count,1.32,27.07,33.80,0.00,7.03,44.68,26.43,0.01,0.00,22.58,17.92,0.14,10.76,10.51,0.00,
Average m/min.,0.52,10.81,13.52,0.00,2.81,17.89,10.58,0.01,0.00,9.04,7.17,0.05,4.30,4.21,0.00,
Distance,44.34,62.67,54.39,0.00,46.80,76.83,22.11,0.04,0.11,19.84,9.71,0.99,4.34,4.21,0.00,
Total Counts,110.86,156.68,135.99,0.00,117.00,192.07,55.28,0.09,0.26,49.59,24.26,2.49,10.86,10.51,0.00,


 14:15:47
Interval Count,0.33,2.45,27.43,0.00,25.87,23.62,36.74,0.03,0.00,37.97,38.12,0.18,0.79,2.25,0.00,
Average m/min.,0.13,0.98,10.98,0.00,10.35,9.44,14.70,0.01,0.00,15.18,15.23,0.08,0.32,0.90,0.00,
Distance,44.47,63.65,65.37,0.00,57.15,86.27,36.81,0.05,0.11,35.03,24.95,1.07,4.66,5.11,0.00,
Total Counts,111.18,159.13,163.42,0.00,142.87,215.68,92.01,0.12,0.26,87.57,62.38,2.67,11.64,12.76,0.00,


 14:16:47
Interval Count,21.12,2.28,46.17,0.00,11.95,31.76,13.97,0.12,0.00,31.47,9.43,8.92,5.20,9.96,0.00,
Average m/min.,8.45,0.91,18.46,0.00,4.77,12.69,5.57,0.04,0.00,12.58,3.78,3.57,2.08,3.98,0.00,
Distance,52.92,64.56,83.84,0.00,61.93,98.98,42.39,0.09,0.11,47.62,28.73,4.64,6.74,9.09,0.00,
Total Counts,132.30,161.41,209.59,0.00,154.82,247.45,105.99,0.24,0.26,119.04,71.82,11.59,16.84,22.72,0.00,


 14:17:47
Interval Count,34.46,1.28,18.78,0.00,30.93,23.87,3.25,0.04,0.00,7.26,43.17,20.80,6.55,12.54,0.00,
Average m/min.,13.78,0.51,7.50,0.00,12.36,9.55,1.30,0.02,0.00,2.90,17.26,8.32,2.62,5.02,0.00,
Distance,66.71,65.07,91.35,0.00,74.30,108.53,43.69,0.11,0.11,50.52,45.99,12.96,9.36,14.11,0.00,
Total Counts,166.76,162.68,228.37,0.00,185.75,271.32,109.24,0.28,0.26,126.30,114.99,32.39,23.39,35.26,0.00,


 14:18:47
Interval Count,14.34,8.33,52.57,0.00,38.74,30.03,36.25,31.17,0.00,39.57,24.83,3.71,12.87,23.47,0.00,
Average m/min.,5.73,3.34,21.03,0.00,15.50,12.02,14.51,12.48,0.00,15.84,9.94,1.48,5.15,9.38,0.00,
Distance,72.44,68.41,112.37,0.00,89.79,120.54,58.19,12.58,0.11,66.35,55.93,14.44,14.51,23.49,0.00,
Total Counts,181.11,171.01,280.93,0.00,224.49,301.34,145.49,31.45,0.26,165.87,139.82,36.11,36.26,58.74,0.00,


 14:19:47
Interval Count,1.18,9.95,40.43,0.00,30.20,38.28,20.86,14.32,0.00,38.00,14.03,0.00,0.16,24.91,0.00,
Average m/min.,0.48,3.97,16.18,0.00,12.08,15.31,8.35,5.73,0.00,15.19,5.61,0.00,0.06,9.97,0.00,
Distance,72.92,72.38,128.55,0.00,101.87,135.85,66.54,18.31,0.11,81.55,61.54,14.44,14.57,33.46,0.00,
Total Counts,182.29,180.96,321.37,0.00,254.68,339.62,166.34,45.76,0.26,203.87,153.84,36.11,36.42,83.64,0.00,


 14:20:47
Interval Count,40.70,15.07,21.57,0.00,8.41,27.83,1.17,16.24,0.00,40.34,49.87,2.38,23.54,13.04,0.00,
Average m/min.,16.27,6.03,8.62,0.00,3.37,11.12,0.47,6.48,0.00,16.12,19.93,0.95,9.41,5.21,0.00,
Distance,89.19,78.41,137.17,0.00,105.24,146.98,67.01,24.80,0.11,97.68,81.48,15.39,23.98,38.67,0.00,
Total Counts,222.99,196.03,342.93,0.00,263.09,367.45,167.51,62.00,0.26,244.21,203.71,38.49,59.96,96.68,0.00,


 14:21:47
Interval Count,0.00,58.29,61.87,0.00,4.30,22.41,8.41,47.33,0.00,52.14,56.29,10.33,0.16,17.59,0.00,
Average m/min.,0.00,23.30,24.73,0.00,1.72,8.96,3.36,18.93,0.00,20.87,22.53,4.14,0.07,7.04,0.00,
Distance,89.19,101.73,161.92,0.00,106.96,155.94,70.37,43.73,0.11,118.54,104.00,19.53,24.05,45.71,0.00,
Total Counts,222.99,254.32,404.80,0.00,267.39,389.86,175.92,109.33,0.26,296.36,260.00,48.82,60.12,114.28,0.00,


 14:22:47
Interval Count,0.47,25.67,54.66,0.00,0.12,23.99,0.33,54.42,0.00,48.72,49.46,29.17,27.63,2.04,0.00,
Average m/min.,0.19,10.27,21.88,0.00,0.05,9.61,0.13,21.79,0.00,19.50,19.78,11.66,11.05,0.82,0.00,
Distance,89.38,111.99,183.78,0.00,107.01,165.54,70.50,65.50,0.11,138.03,123.78,31.19,35.10,46.53,0.00,
Total Counts,223.46,279.99,459.46,0.00,267.51,413.84,176.25,163.75,0.26,345.08,309.46,77.99,87.75,116.32,0.00,


 14:23:47
Interval Count,3.26,59.99,64.91,0.00,2.34,28.20,4.03,47.88,0.00,54.46,21.84,0.00,2.00,3.76,0.00,
Average m/min.,1.31,23.99,25.96,0.00,0.93,11.27,1.61,19.13,0.00,21.76,8.73,0.00,0.80,1.50,0.00,
Distance,90.69,135.99,209.75,0.00,107.94,176.82,72.11,84.65,0.11,159.82,132.52,31.19,35.90,48.03,0.00,
Total Counts,226.72,339.97,524.37,0.00,269.86,442.04,180.28,211.63,0.26,399.54,331.30,77.99,89.75,120.08,0.00,


 14:24:47
Interval Count,18.09,58.11,31.68,0.00,1.71,33.55,2.03,66.01,0.00,31.12,4.80,1.07,6.97,0.20,0.00,
Average m/min.,7.24,23.22,12.66,0.00,0.69,13.41,0.81,26.39,0.00,12.44,1.92,0.43,2.79,0.08,0.00,
Distance,97.93,159.23,222.42,0.00,108.63,190.24,72.92,111.06,0.11,172.26,134.44,31.62,38.69,48.11,0.00,
Total Counts,244.82,398.08,556.05,0.00,271.57,475.59,182.30,277.64,0.26,430.66,336.11,79.05,96.72,120.28,0.00,


 14:25:47
Interval Count,37.67,40.96,60.50,0.00,15.96,25.12,0.00,1.79,0.00,16.33,15.11,0.29,3.04,5.68,0.00,
Average m/min.,15.06,16.39,24.21,0.00,6.38,10.05,0.00,0.71,0.00,6.53,6.04,0.12,1.22,2.27,0.00,
Distance,112.99,175.62,246.62,0.00,115.01,200.28,72.92,111.77,0.11,178.79,140.48,31.74,39.91,50.38,0.00,
Total Counts,282.49,439.04,616.55,0.00,287.53,500.71,182.30,279.43,0.26,446.99,351.21,79.34,99.76,125.96,0.00,


 14:26:47
Interval Count,21.64,0.26,0.00,0.00,0.00,41.45,0.43,15.57,0.00,53.95,0.43,2.05,31.68,36.09,0.00,
Average m/min.,8.66,0.10,0.00,0.00,0.00,16.58,0.17,6.23,0.00,21.56,0.18,0.82,12.67,14.44,0.00,
Distance,121.65,175.72,246.62,0.00,115.01,216.86,73.09,118.00,0.11,200.37,140.66,32.56,52.58,64.82,0.00,
Total Counts,304.13,439.30,616.55,0.00,287.53,542.16,182.74,295.00,0.26,500.93,351.64,81.39,131.45,162.05,0.00,


 14:27:47
Interval Count,0.86,0.16,38.53,0.00,0.01,37.01,3.03,14.76,0.00,52.84,26.87,3.09,44.39,49.17,0.00,
Average m/min.,0.34,0.06,15.40,0.00,0.01,14.79,1.22,5.90,0.00,21.13,10.75,1.23,17.76,19.66,0.00,
Distance,121.99,175.78,262.03,0.00,115.02,231.67,74.31,123.91,0.11,221.51,151.41,33.79,70.34,84.49,0.00,
Total Counts,304.99,439.46,655.08,0.00,287.54,579.17,185.76,309.76,0.26,553.78,378.51,84.49,175.84,211.22,0.00,


 14:28:48
Interval Count,0.36,0.03,73.55,0.00,0.11,2.03,3.71,10.50,0.00,55.01,47.25,2.66,52.46,60.09,0.00,
Average m/min.,0.15,0.01,29.40,0.00,0.04,0.81,1.48,4.20,0.00,22.02,18.90,1.07,20.98,24.03,0.00,
Distance,122.14,175.79,291.45,0.00,115.06,232.48,75.79,128.11,0.11,243.52,170.31,34.86,91.32,108.53,0.00,
Total Counts,305.34,439.49,728.63,0.00,287.64,581.20,189.47,320.26,0.26,608.79,425.76,87.14,228.30,271.32,0.00,


 14:29:48
Interval Count,6.08,13.89,53.93,0.00,0.67,8.74,6.72,9.57,0.00,26.20,49.70,2.79,34.21,26.86,0.00,
Average m/min.,2.43,5.56,21.59,0.00,0.27,3.49,2.69,3.82,0.00,10.47,19.87,1.11,13.69,10.74,0.00,
Distance,124.57,181.35,313.03,0.00,115.33,235.97,78.48,131.93,0.11,253.99,190.18,35.97,105.01,119.27,0.00,
Total Counts,311.42,453.38,782.57,0.00,288.32,589.93,196.20,329.83,0.26,634.99,475.46,89.93,262.51,298.17,0.00,


 14:30:47
Interval Count,42.36,38.97,48.14,0.00,0.54,9.97,3.57,55.95,0.00,41.30,35.36,0.96,61.22,56.51,0.00,
Average m/min.,16.94,15.59,19.25,0.00,0.21,3.99,1.43,22.37,0.00,16.52,14.14,0.39,24.48,22.61,0.00,
Distance,141.51,196.94,332.28,0.00,115.54,239.96,79.91,154.31,0.11,270.52,204.33,36.36,129.49,141.87,0.00,
Total Counts,353.78,492.36,830.71,0.00,288.86,599.91,199.76,385.78,0.26,676.29,510.82,90.89,323.74,354.68,0.00,


 14:31:48
Interval Count,34.72,51.50,54.13,0.00,0.00,36.88,28.55,43.42,0.01,51.46,49.59,2.68,12.12,40.24,0.00,
Average m/min.,13.89,20.59,21.64,0.00,0.00,14.74,11.40,17.35,0.00,20.57,19.82,1.07,4.85,16.09,0.00,
Distance,155.40,217.54,353.94,0.00,115.54,254.72,91.33,171.68,0.11,291.10,224.16,37.43,134.34,157.97,0.00,
Total Counts,388.50,543.86,884.84,0.00,288.86,636.79,228.32,429.20,0.28,727.75,560.41,93.58,335.86,394.92,0.00,


 14:32:48
Interval Count,23.59,0.21,40.80,0.00,0.13,33.29,39.21,63.59,0.04,18.59,57.26,0.00,19.99,23.46,0.00,
Average m/min.,9.43,0.09,16.31,0.00,0.05,13.31,15.68,25.45,0.02,7.44,22.92,0.00,8.00,9.37,0.00,
Distance,164.84,217.63,370.26,0.00,115.59,268.03,107.01,197.12,0.13,298.54,247.07,37.43,142.34,167.35,0.00,
Total Counts,412.09,544.07,925.64,0.00,288.99,670.08,267.53,492.79,0.32,746.34,617.67,93.58,355.84,418.38,0.00,


 14:33:48
Interval Count,19.29,0.74,51.61,0.00,0.17,1.79,1.54,7.72,0.00,0.07,32.54,0.08,8.38,0.47,0.00,
Average m/min.,7.71,0.29,20.66,0.00,0.07,0.72,0.62,3.09,0.00,0.02,13.01,0.03,3.35,0.19,0.00,
Distance,172.55,217.92,390.90,0.00,115.66,268.75,107.63,200.21,0.13,298.56,260.08,37.46,145.69,167.54,0.00,
Total Counts,431.38,544.80,977.25,0.00,289.16,671.87,269.07,500.51,0.32,746.41,650.21,93.66,364.22,418.86,0.00,


 14:34:48
Interval Count,8.05,6.92,35.64,0.00,0.00,0.29,41.91,64.86,0.00,18.45,47.08,0.00,7.63,0.00,0.00,
Average m/min.,3.22,2.77,14.26,0.00,0.00,0.11,16.75,25.91,0.00,7.37,18.82,0.00,3.05,0.00,0.00,
Distance,175.77,220.69,405.16,0.00,115.66,268.86,124.39,226.15,0.13,305.94,278.92,37.46,148.74,167.54,0.00,
Total Counts,439.43,551.72,1012.89,0.00,289.16,672.16,310.97,565.37,0.32,764.86,697.29,93.66,371.86,418.86,0.00,


 14:35:48
Interval Count,0.14,34.50,36.50,0.00,0.22,19.63,71.54,37.99,0.20,46.76,1.57,5.41,4.82,0.00,0.00,
Average m/min.,0.06,13.79,14.59,0.00,0.09,7.85,28.59,15.18,0.08,18.70,0.62,2.17,1.93,0.00,0.00,
Distance,175.83,234.49,419.76,0.00,115.75,276.72,153.01,241.34,0.21,324.65,279.54,39.63,150.67,167.54,0.00,
Total Counts,439.58,586.22,1049.39,0.00,289.38,691.79,382.51,603.36,0.51,811.62,698.86,99.07,376.67,418.86,0.00,


 14:36:48
Interval Count,10.34,18.45,20.82,0.00,0.16,44.24,81.83,23.49,0.00,56.83,23.97,0.24,6.83,7.83,0.00,
Average m/min.,4.14,7.38,8.32,0.00,0.07,17.69,32.74,9.40,0.00,22.74,9.59,0.09,2.73,3.13,0.00,
Distance,179.97,241.87,428.08,0.00,115.82,294.41,185.74,250.74,0.21,347.38,289.13,39.72,153.40,170.67,0.00,
Total Counts,449.92,604.67,1070.21,0.00,289.54,736.03,464.34,626.84,0.51,868.45,722.83,99.30,383.50,426.68,0.00,


 14:37:48
Interval Count,8.39,1.16,0.00,0.00,0.08,15.09,34.66,55.26,0.00,47.29,8.93,1.89,6.26,33.67,0.00,
Average m/min.,3.36,0.46,0.00,0.00,0.03,6.04,13.87,22.12,0.00,18.92,3.58,0.76,2.51,13.47,0.00,
Distance,183.33,242.33,428.08,0.00,115.85,300.45,199.60,272.84,0.21,366.29,292.71,40.48,155.91,184.14,0.00,
Total Counts,458.32,605.83,1070.21,0.00,289.62,751.12,499.00,682.11,0.51,915.74,731.76,101.20,389.76,460.36,0.00,


 14:38:48
Interval Count,8.75,2.82,17.36,0.00,0.00,1.79,2.47,36.41,0.00,26.20,0.03,0.16,0.36,22.64,0.00,
Average m/min.,3.50,1.13,6.95,0.00,0.00,0.71,0.99,14.55,0.00,10.47,0.01,0.06,0.14,9.06,0.00,
Distance,186.83,243.46,435.03,0.00,115.85,301.16,200.59,287.41,0.21,376.77,292.72,40.54,156.05,193.20,0.00,
Total Counts,467.07,608.64,1087.57,0.00,289.62,752.91,501.47,718.51,0.51,941.93,731.79,101.36,390.12,483.00,0.00,


 14:39:48
Interval Count,0.03,0.00,12.57,0.00,0.00,3.99,40.74,1.39,0.00,39.59,2.71,0.04,0.05,10.79,0.00,
Average m/min.,0.01,0.00,5.02,0.00,0.00,1.60,16.27,0.55,0.00,15.84,1.08,0.02,0.02,4.32,0.00,
Distance,186.84,243.46,440.05,0.00,115.85,302.76,216.88,287.96,0.21,392.61,293.80,40.56,156.07,197.52,0.00,
Total Counts,467.09,608.64,1100.13,0.00,289.62,756.89,542.21,719.91,0.51,981.53,734.50,101.39,390.17,493.79,0.00,


 14:40:48
Interval Count,1.89,0.78,6.76,0.00,0.00,0.00,0.03,0.00,0.00,56.32,0.03,0.01,4.00,67.39,0.00,
Average m/min.,0.75,0.31,2.71,0.00,0.00,0.00,0.01,0.00,0.00,22.54,0.01,0.00,1.60,26.94,0.00,
Distance,187.59,243.77,442.76,0.00,115.85,302.76,216.89,287.96,0.21,415.14,293.81,40.56,157.67,224.47,0.00,
Total Counts,468.99,609.42,1106.89,0.00,289.62,756.89,542.24,719.91,0.51,1037.84,734.53,101.41,394.17,561.18,0.00,


 14:41:48
Interval Count,19.53,0.03,38.72,0.00,0.00,0.01,0.00,26.83,0.00,60.25,0.20,0.00,2.80,62.41,0.00,
Average m/min.,7.82,0.01,15.50,0.00,0.00,0.00,0.00,10.74,0.00,24.11,0.08,0.00,1.12,24.97,0.00,
Distance,195.41,243.78,458.25,0.00,115.85,302.76,216.89,298.69,0.21,439.24,293.89,40.56,158.79,249.44,0.00,
Total Counts,488.51,609.45,1145.62,0.00,289.62,756.91,542.24,746.74,0.51,1098.09,734.72,101.41,396.97,623.59,0.00,


 14:42:48
Interval Count,5.70,7.38,45.11,0.00,0.00,0.00,0.01,93.42,0.00,56.74,2.38,0.00,2.14,47.58,0.00,
Average m/min.,2.27,2.95,18.04,0.00,0.00,0.00,0.01,37.35,0.00,22.67,0.95,0.00,0.86,19.04,0.00,
Distance,197.68,246.73,476.29,0.00,115.85,302.76,216.90,336.06,0.21,461.93,294.84,40.56,159.65,268.47,0.00,
Total Counts,494.21,616.83,1190.72,0.00,289.62,756.91,542.25,840.16,0.51,1154.83,737.11,101.41,399.12,671.17,0.00,


 14:43:48
Interval Count,0.07,7.41,44.71,0.00,0.00,0.03,0.12,80.24,0.00,56.58,12.91,0.00,2.00,4.22,0.00,
Average m/min.,0.03,2.96,17.87,0.00,0.00,0.01,0.05,32.07,0.00,22.62,5.17,0.00,0.80,1.69,0.00,
Distance,197.71,249.69,494.17,0.00,115.85,302.77,216.95,368.16,0.21,484.56,300.01,40.56,160.45,270.16,0.00,
Total Counts,494.28,624.24,1235.43,0.00,289.62,756.93,542.37,920.39,0.51,1211.41,750.01,101.41,401.12,675.39,0.00,


 14:44:48
Interval Count,29.29,3.16,49.80,0.00,0.00,0.00,2.41,83.41,0.00,48.96,0.01,0.00,4.33,0.00,0.00,
Average m/min.,11.71,1.27,19.90,0.00,0.00,0.00,0.96,33.36,0.00,19.59,0.00,0.00,1.73,0.00,0.00,
Distance,209.43,250.96,514.09,0.00,115.85,302.77,217.91,401.52,0.21,504.15,300.01,40.56,162.18,270.16,0.00,
Total Counts,523.57,627.39,1285.24,0.00,289.62,756.93,544.78,1003.80,0.51,1260.37,750.03,101.41,405.45,675.39,0.00,


 14:45:48
Interval Count,0.09,0.00,41.00,0.00,0.00,0.03,0.05,83.72,0.00,47.37,48.26,0.00,6.39,10.24,0.00,
Average m/min.,0.03,0.00,16.41,0.00,0.00,0.01,0.02,33.52,0.00,18.95,19.31,0.00,2.56,4.09,0.00,
Distance,209.46,250.96,530.49,0.00,115.85,302.78,217.93,435.01,0.21,523.09,319.32,40.56,164.74,274.25,0.00,
Total Counts,523.66,627.39,1326.24,0.00,289.62,756.96,544.83,1087.53,0.51,1307.74,798.29,101.41,411.84,685.63,0.00,


 14:46:48
Interval Count,0.12,3.03,1.08,0.00,0.00,0.00,0.00,43.34,0.00,55.14,47.01,0.00,5.72,42.93,0.00,
Average m/min.,0.05,1.21,0.44,0.00,0.00,0.00,0.00,17.33,0.00,22.04,18.79,0.00,2.29,17.18,0.00,
Distance,209.51,252.17,530.93,0.00,115.85,302.78,217.93,452.35,0.21,545.15,338.12,40.56,167.03,291.43,0.00,
Total Counts,523.78,630.42,1327.32,0.00,289.62,756.96,544.83,1130.87,0.51,1362.88,845.30,101.41,417.57,728.57,0.00,


 14:47:48
Interval Count,1.59,3.34,43.34,0.00,0.03,0.00,0.00,0.00,0.00,55.58,59.33,0.00,8.29,21.49,0.00,
Average m/min.,0.64,1.34,17.32,0.00,0.01,0.00,0.00,0.00,0.00,22.22,23.72,0.00,3.31,8.59,0.00,
Distance,210.15,253.51,548.26,0.00,115.86,302.78,217.93,452.35,0.21,567.38,361.85,40.56,170.34,300.02,0.00,
Total Counts,525.37,633.76,1370.66,0.00,289.64,756.96,544.83,1130.87,0.51,1418.46,904.63,101.41,425.86,750.05,0.00,


 14:48:48
Interval Count,2.39,0.20,45.51,0.00,0.01,0.01,0.00,5.00,0.00,29.70,59.82,0.00,6.22,38.42,0.00,
Average m/min.,0.96,0.07,18.20,0.00,0.00,0.01,0.00,2.00,0.00,11.88,23.93,0.00,2.49,15.36,0.00,
Distance,211.11,253.58,566.47,0.00,115.86,302.79,217.93,454.35,0.21,579.26,385.78,40.56,172.83,315.39,0.00,
Total Counts,527.76,633.96,1416.17,0.00,289.66,756.97,544.83,1135.87,0.51,1448.16,964.45,101.41,432.08,788.47,0.00,


 14:49:48
Interval Count,0.00,6.78,45.03,0.00,0.00,0.00,0.00,9.42,0.00,0.26,56.17,0.00,0.07,0.64,0.00,
Average m/min.,0.00,2.71,18.02,0.00,0.00,0.00,0.00,3.77,0.00,0.11,22.48,0.00,0.03,0.26,0.00,
Distance,211.11,256.29,584.48,0.00,115.86,302.79,217.93,458.12,0.21,579.37,408.25,40.56,172.86,315.65,0.00,
Total Counts,527.76,640.74,1461.20,0.00,289.66,756.97,544.83,1145.29,0.51,1448.42,1020.62,101.41,432.14,789.12,0.00,


 14:50:48
Interval Count,0.00,1.36,38.96,0.00,0.00,0.00,0.00,0.36,0.00,0.00,47.37,0.00,27.97,3.09,0.00,
Average m/min.,0.00,0.55,15.58,0.00,0.00,0.00,0.00,0.14,0.00,0.00,18.92,0.00,11.19,1.23,0.00,
Distance,211.11,256.84,600.06,0.00,115.86,302.79,217.93,458.26,0.21,579.37,427.19,40.56,184.05,316.88,0.00,
Total Counts,527.76,642.09,1500.16,0.00,289.66,756.97,544.83,1145.64,0.51,1448.42,1067.99,101.41,460.12,792.21,0.00,


 14:51:48
Interval Count,0.00,0.00,44.78,0.00,0.00,0.00,0.89,0.29,0.00,0.00,15.09,0.00,14.36,17.66,0.00,
Average m/min.,0.00,0.00,17.91,0.00,0.00,0.00,0.36,0.11,0.00,0.00,6.04,0.00,5.74,7.07,0.00,
Distance,211.11,256.84,617.97,0.00,115.86,302.79,218.29,458.37,0.21,579.37,433.23,40.56,189.79,323.95,0.00,
Total Counts,527.76,642.09,1544.93,0.00,289.66,756.97,545.72,1145.93,0.51,1448.42,1083.08,101.41,474.47,809.87,0.00,


 14:52:48
