,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-2017
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/25/2017 14:12:16
,     Stop Time: ~6/4/2017 14:12:16


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 05/25/2017 14:04:47
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:05:47
Interval Count,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:06:47
Interval Count,0.88,4.78,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.36,1.91,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.55,1.91,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.37,4.78,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:07:47
Interval Count,17.72,14.68,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,7.09,5.87,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,7.64,7.78,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,19.09,19.46,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:08:47
Interval Count,18.59,2.66,0.33,0.00,0.04,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,7.43,1.07,0.14,0.00,0.02,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,15.07,8.85,1.81,0.00,0.02,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.68,22.12,4.51,0.00,0.04,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:09:47
Interval Count,17.79,4.05,0.59,0.00,0.26,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,7.12,1.62,0.23,0.00,0.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,22.19,10.47,2.04,0.00,0.12,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,55.47,26.17,5.11,0.00,0.30,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:10:47
Interval Count,37.26,25.21,13.00,0.00,19.34,2.25,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
