,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennnerRW_10-14-2016-OFT,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/14/2016 15:31:05,,,,,,,,,,,,,,
,     Stop Time: ~10/24/2016 15:31:05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/14/2016 15:23:36
Total Counts,31.18,71.33,13.87,19.75,10.18,3.3,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:32:36
Interval Count,0.18,8.97,3.95,2.05,9.89,3.7,31.28,6.75,0,0,0,0,0,0,0
Average m/min.,0.08,3.59,1.58,0.82,3.96,1.48,12.51,2.7,0,0,0,0,0,0,0
Distance,12.55,32.12,7.13,8.72,8.03,2.8,15.2,5.66,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.37,80.3,17.82,21.8,20.08,7,38,14.16,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:33:36
Interval Count,0,15.78,6.16,1.18,7.57,2.76,8.33,1.16,0.21,0,0,0,0,0,0
Average m/min.,0,6.3,2.46,0.47,3.03,1.11,3.33,0.47,0.09,0,0,0,0,0,0
Distance,12.55,38.43,9.59,9.19,11.06,3.91,18.53,6.13,0.43,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.37,96.08,23.97,22.99,27.64,9.76,46.33,15.32,1.07,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:34:36
Interval Count,0,1.89,0.79,0.47,10.87,4.01,23.78,0.03,2.28,8.64,0,0,0,0,0
Average m/min.,0,0.76,0.32,0.19,4.35,1.6,9.51,0.01,0.91,3.46,0,0,0,0,0
Distance,12.55,39.19,9.91,9.38,15.41,5.51,28.04,6.14,1.34,4.65,0.44,1.27,1.51,0.34,0
Total Counts,31.37,97.97,24.76,23.46,38.51,13.78,70.11,15.34,3.34,11.63,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:35:36
Interval Count,24.2,11.05,1.58,7.09,29.01,0.32,2.34,0.01,8.25,7.86,4.55,0,0,0,0
Average m/min.,9.67,4.42,0.63,2.84,11.59,0.13,0.94,0,3.3,3.14,1.82,0,0,0,0
Distance,22.23,43.61,10.54,12.22,27.01,5.64,28.98,6.14,4.64,7.79,2.26,1.27,1.51,0.34,0
Total Counts,55.57,109.03,26.34,30.55,67.53,14.09,72.45,15.36,11.59,19.49,5.66,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:36:36
Interval Count,2.57,12.5,2.14,9.5,3.34,10.92,3.68,0,3.33,5.91,9.55,0.7,0.05,0,0
Average m/min.,1.02,5,0.85,3.8,1.34,4.37,1.47,0,1.33,2.37,3.82,0.28,0.02,0,0
Distance,23.25,48.61,11.39,16.02,28.35,10.01,30.45,6.14,5.97,10.16,6.08,1.55,1.53,0.34,0
Total Counts,58.13,121.53,28.49,40.05,70.87,25.01,76.13,15.36,14.92,25.39,15.21,3.88,3.82,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:37:36
Interval Count,16.63,23.71,13.43,15.03,13.91,7.49,11.59,0,11.39,0.51,2.21,2.78,1.22,0,0
Average m/min.,6.66,9.48,5.38,6.01,5.56,2.99,4.64,0,4.56,0.2,0.89,1.11,0.49,0,0
Distance,29.91,58.09,16.77,22.03,33.91,13,35.09,6.14,10.53,10.36,6.97,2.66,2.02,0.34,0
Total Counts,74.76,145.24,41.92,55.08,84.78,32.5,87.72,15.36,26.32,25.91,17.42,6.66,5.04,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:38:36
Interval Count,0,19.05,4.97,0.38,0.7,17.43,47.67,0,6.97,0.26,10.71,7.8,1.42,14.95,0
Average m/min.,0,7.62,1.99,0.15,0.28,6.96,19.04,0,2.79,0.11,4.28,3.12,0.56,5.97,0
Distance,29.91,65.72,18.76,22.18,34.19,19.97,54.16,6.14,13.32,10.47,11.25,5.78,2.58,6.32,0
Total Counts,74.76,164.29,46.89,55.46,85.47,49.93,135.39,15.36,33.29,26.17,28.13,14.46,6.46,15.8,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:39:36
Interval Count,5.82,21.16,0.76,4.62,3.17,11.12,17.91,0.03,4.78,5.45,1.47,3.87,2.74,9.2,0
Average m/min.,2.32,8.46,0.3,1.85,1.27,4.45,7.17,0.01,1.91,2.18,0.59,1.55,1.1,3.68,0
Distance,32.23,74.18,19.06,24.03,35.46,24.42,61.32,6.15,15.23,12.65,11.84,7.33,3.68,10,0
Total Counts,80.58,185.45,47.66,60.08,88.64,61.05,153.3,15.38,38.07,31.62,29.61,18.33,9.2,25,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:40:36
Interval Count,12.79,0.18,0.05,27.34,13.2,0.29,6.7,0,8.72,6.16,1.17,2.45,7.09,7.72,0
Average m/min.,5.12,0.07,0.02,10.92,5.27,0.12,2.68,0,3.49,2.46,0.47,0.98,2.84,3.09,0
Distance,37.35,74.25,19.08,34.97,40.74,24.54,64,6.15,18.72,15.11,12.31,8.31,6.52,13.09,0
Total Counts,93.37,185.63,47.71,87.42,101.84,61.34,160,15.38,46.79,37.78,30.78,20.78,16.29,32.72,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:41:36
Interval Count,20.99,34.18,0.95,0.74,23.96,0,5.84,0,2.7,0.12,5.75,6.34,2.05,17.46,0
Average m/min.,8.39,13.69,0.38,0.29,9.59,0,2.34,0,1.07,0.05,2.3,2.54,0.82,6.98,0
Distance,45.74,87.93,19.46,35.26,50.32,24.54,66.34,6.15,19.79,15.16,14.61,10.85,7.34,20.07,0
Total Counts,114.36,219.82,48.66,88.16,125.8,61.34,165.84,15.38,49.49,37.89,36.53,27.12,18.34,50.18,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:42:36
Interval Count,7.29,11.67,5.08,0.89,31.8,0,17.68,0,4.75,0.17,1.89,9.86,0.88,28.37,0
Average m/min.,2.92,4.66,2.03,0.36,12.71,0,7.06,0,1.9,0.07,0.76,3.94,0.35,11.34,0
Distance,48.66,92.59,21.49,35.62,63.04,24.54,73.41,6.15,21.69,15.23,15.37,14.79,7.69,31.42,0
Total Counts,121.64,231.49,53.74,89.05,157.61,61.34,183.53,15.38,54.24,38.07,38.42,36.97,19.22,78.55,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:43:36
Interval Count,0,0,21.22,0.95,14.13,0,39.05,0,10.89,2.86,0.88,7.64,0,27.7,0
Average m/min.,0,0,8.49,0.38,5.65,0,15.63,0,4.36,1.14,0.35,3.06,0,11.08,0
Distance,48.66,92.59,29.98,36,68.69,24.54,89.03,6.15,26.05,16.37,15.72,17.85,7.69,42.5,0
Total Counts,121.64,231.49,74.96,90,171.74,61.34,222.58,15.38,65.13,40.92,39.3,44.62,19.22,106.25,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:44:36
Interval Count,0,39.7,0.51,39.49,0,0.58,22.72,0,1.63,1.47,0.64,2.14,0.25,6.74,0
Average m/min.,0,15.88,0.21,15.79,0,0.23,9.08,0,0.66,0.59,0.26,0.86,0.1,2.69,0
Distance,48.66,108.47,30.19,51.79,68.69,24.77,98.12,6.15,26.71,16.96,15.98,18.71,7.79,45.19,0
Total Counts,121.64,271.18,75.47,129.49,171.74,61.92,245.3,15.38,66.76,42.39,39.95,46.76,19.47,112.99,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:45:36
Interval Count,6.25,16.28,0,19.16,20.67,9.24,14.67,0,0,0.28,10.82,13.89,0.36,28.75,0
Average m/min.,2.5,6.5,0,7.67,8.27,3.69,5.87,0,0,0.11,4.33,5.55,0.14,11.5,0
Distance,51.16,114.98,30.19,59.46,76.96,28.46,103.99,6.15,26.71,17.07,20.31,24.26,7.93,56.69,0
Total Counts,127.89,287.46,75.47,148.64,192.41,71.16,259.97,15.38,66.76,42.67,50.76,60.66,19.83,141.74,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:46:36
Interval Count,31.45,7.22,0.25,0.2,39.82,33.88,13.5,0,4.03,0.21,8.95,11.59,10.83,4.36,0
Average m/min.,12.58,2.89,0.1,0.08,15.93,13.56,5.4,0,1.61,0.08,3.57,4.64,4.33,1.75,0
Distance,63.74,117.87,30.29,59.54,92.89,42.02,109.39,6.15,28.32,17.15,23.88,28.9,12.26,58.44,0
Total Counts,159.34,294.68,75.72,148.84,232.22,105.04,273.47,15.38,70.79,42.88,59.71,72.25,30.66,146.09,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:47:36
Interval Count,29.04,0,2.59,1.28,42.2,19.49,43.49,0,0.29,0.24,0.58,4.2,9.93,5.89,0
Average m/min.,11.6,0,1.04,0.51,16.86,7.78,17.38,0,0.11,0.1,0.24,1.68,3.98,2.35,0
Distance,75.35,117.87,31.33,60.05,109.77,49.81,126.78,6.15,28.43,17.25,24.12,30.58,16.24,60.79,0
Total Counts,188.38,294.68,78.32,150.12,274.42,124.53,316.96,15.38,71.08,43.12,60.29,76.45,40.59,151.99,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:48:36
Interval Count,3.68,0.42,2.29,0.05,24.55,0.17,4.87,0,3.84,4.61,3.24,5.59,2.63,40.92,0
Average m/min.,1.48,0.17,0.91,0.02,9.82,0.07,1.95,0,1.54,1.84,1.29,2.24,1.05,16.38,0
Distance,76.83,118.04,32.24,60.07,119.59,49.88,128.73,6.15,29.97,19.09,25.41,32.82,17.29,77.16,0
Total Counts,192.07,295.11,80.61,150.17,298.97,124.7,321.83,15.38,74.92,47.72,63.53,82.04,43.22,192.91,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:49:36
Interval Count,2.38,0,1.47,2.33,0,1.92,0.8,0,0.49,0.97,8.09,0.11,5.88,40.07,0
Average m/min.,0.95,0,0.59,0.93,0,0.77,0.32,0,0.19,0.39,3.24,0.04,2.35,16.02,0
Distance,77.78,118.04,32.83,61,119.59,50.65,129.05,6.15,30.16,19.48,28.65,32.86,19.64,93.19,0
Total Counts,194.45,295.11,82.08,152.5,298.97,126.62,322.63,15.38,75.41,48.7,71.62,82.14,49.11,232.97,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:50:36
Interval Count,0,2.46,5.8,27.91,0,29.14,3.22,0,1.21,0.11,1.89,0,1.33,43.59,0
Average m/min.,0,0.99,2.32,11.17,0,11.66,1.29,0,0.49,0.04,0.76,0,0.53,17.44,0
Distance,77.78,119.03,35.15,72.16,119.59,62.31,130.34,6.15,30.65,19.52,29.41,32.86,20.17,110.63,0
Total Counts,194.45,297.57,87.88,180.41,298.97,155.76,325.86,15.38,76.62,48.8,73.51,82.14,50.43,276.57,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:51:37
Interval Count,0,3.01,1.11,51.97,0,42.22,2.83,0,11.88,1.25,1.7,0.25,1.76,5.68,0
Average m/min.,0,1.2,0.44,20.77,0,16.87,1.13,0,4.75,0.5,0.67,0.1,0.71,2.27,0
Distance,77.78,120.23,35.59,92.95,119.59,79.19,131.47,6.15,35.4,20.02,30.08,32.96,20.88,112.9,0
Total Counts,194.45,300.58,88.99,232.38,298.97,197.99,328.68,15.38,88.5,50.05,75.21,82.39,52.2,282.25,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:52:36
Interval Count,0,0,7.96,0,0,43.97,18.47,0,6.21,12.83,2.87,1.55,1.46,11.57,0
Average m/min.,0,0,3.19,0,0,17.6,7.39,0,2.48,5.13,1.15,0.62,0.58,4.63,0
Distance,77.78,120.23,38.78,92.95,119.59,96.78,138.86,6.15,37.88,25.15,31.23,33.58,21.46,117.53,0
Total Counts,194.45,300.58,96.95,232.38,298.97,241.96,347.16,15.38,94.71,62.88,78.08,83.95,53.66,293.82,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:53:37
Interval Count,0,0.03,2.05,4.67,13.37,1.86,6.29,0,3.37,2.43,3.3,5.07,10.68,49.36,0
Average m/min.,0,0.01,0.82,1.87,5.34,0.75,2.52,0,1.35,0.98,1.32,2.03,4.28,19.73,0
Distance,77.78,120.24,39.6,94.82,124.94,97.53,141.38,6.15,39.23,26.13,32.55,35.61,25.74,137.27,0
Total Counts,194.45,300.61,99,237.05,312.34,243.82,353.45,15.38,98.08,65.32,81.38,89.01,64.34,343.17,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:54:37
Interval Count,0,48.24,15.39,0.49,36.36,29.2,14.03,0,2,3.57,0.47,17.76,3.79,51.03,0
Average m/min.,0,19.31,6.16,0.2,14.55,11.69,5.61,0,0.8,1.42,0.19,7.1,1.51,20.41,0
Distance,77.78,139.54,45.76,95.02,139.48,109.21,146.99,6.15,40.03,27.55,32.74,42.71,27.25,157.68,0
