Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Distance	Mean speed	Time mobile	Time immobile	A : entries	A : time	A : distance	A : mean distance from	A : mean distance to border	B : entries	B : time	B : distance	B : mean distance from	B : mean distance to border	C : entries	C : time	C : distance	C : mean distance from	C : mean distance to border	A0 : entries	A0 : time	A0 : distance	A0 : mean distance from	A0 : mean distance to border	Center : entries	Center : time	Center : distance	Center : mean distance from	Center : mean distance to border	Group	ID
18	18	A	A	First stage	1	Y Maze Wolff	183 - 184 secs.	0.023	0.023	1.0	0.0	0	0.0	0.000	0.099		0	0.0	0.000	0.462		0	0.0	0.000	0.439		0	1.0	0.023		0.014	0	0.0	0.000	0.398		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	184 - 185 secs.	0.000	0.000	1.0	0.0	0	0.0	0.000	0.104		0	0.0	0.000	0.469		0	0.0	0.000	0.444		0	1.0	0.000		0.011	0	0.0	0.000	0.405		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	185 - 186 secs.	0.024	0.024	0.3	0.7	0	0.0	0.000	0.111		0	0.0	0.000	0.475		0	0.0	0.000	0.452		0	1.0	0.024		0.013	0	0.0	0.000	0.411		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	186 - 187 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.111		0	0.0	0.000	0.476		0	0.0	0.000	0.452		0	1.0	0.000		0.012	0	0.0	0.000	0.411		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	187 - 188 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.109		0	0.0	0.000	0.473		0	0.0	0.000	0.450		0	1.0	0.000		0.013	0	0.0	0.000	0.409		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	188 - 189 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.107		0	0.0	0.000	0.471		0	0.0	0.000	0.448		0	1.0	0.000		0.014	0	0.0	0.000	0.406		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	189 - 190 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.108		0	0.0	0.000	0.471		0	0.0	0.000	0.448		0	1.0	0.000		0.013	0	0.0	0.000	0.407		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	190 - 191 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.108		0	0.0	0.000	0.472		0	0.0	0.000	0.448		0	1.0	0.000		0.013	0	0.0	0.000	0.408		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	191 - 192 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.107		0	0.0	0.000	0.471		0	0.0	0.000	0.448		0	1.0	0.000		0.013	0	0.0	0.000	0.407		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	192 - 193 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.108		0	0.0	0.000	0.472		0	0.0	0.000	0.448		0	1.0	0.000		0.013	0	0.0	0.000	0.408		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	193 - 194 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.107		0	0.0	0.000	0.471		0	0.0	0.000	0.447		0	1.0	0.000		0.013	0	0.0	0.000	0.406		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	194 - 195 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.108		0	0.0	0.000	0.472		0	0.0	0.000	0.448		0	1.0	0.000		0.012	0	0.0	0.000	0.408		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	195 - 196 secs.	0.024	0.024	0.9	0.2	0	0.0	0.000	0.100		0	0.0	0.000	0.463		0	0.0	0.000	0.441		0	1.0	0.024		0.014	0	0.0	0.000	0.399		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	196 - 197 secs.	0.042	0.042	1.0	0.0	0	0.0	0.000	0.065		0	0.0	0.000	0.428		0	0.0	0.000	0.406		0	1.0	0.042		0.014	0	0.0	0.000	0.364		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	197 - 198 secs.	0.160	0.160	1.0	0.0	1	0.7	0.083	0.037	0.015	0	0.0	0.000	0.340		0	0.0	0.000	0.319		0	0.3	0.077	0.048	0.016	0	0.0	0.000	0.276		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	198 - 199 secs.	0.163	0.163	1.0	0.0	0	1.0	0.163		0.018	0	0.0	0.000	0.169		0	0.0	0.000	0.154		0	0.0	0.000	0.194		0	0.0	0.000	0.108		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	199 - 200 secs.	0.079	0.079	1.0	0.0	0	0.4	0.051	0.020	0.014	0	0.0	0.000	0.078		0	0.0	0.000	0.048		0	0.0	0.000	0.305		1	0.6	0.027	0.020	0.015	Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	200 - 201 secs.	0.075	0.075	1.0	0.0	0	0.0	0.000	0.080		0	0.0	0.000	0.100		1	0.9	0.048	0.015	0.013	0	0.0	0.000	0.379		0	0.1	0.027	0.040	0.014	Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	201 - 202 secs.	0.096	0.096	1.0	0.0	0	0.0	0.000	0.146		0	0.0	0.000	0.161		0	1.0	0.096		0.014	0	0.0	0.000	0.443		0	0.0	0.000	0.116		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	202 - 203 secs.	0.021	0.021	1.0	0.0	0	0.0	0.000	0.184		0	0.0	0.000	0.200		0	1.0	0.021		0.013	0	0.0	0.000	0.477		0	0.0	0.000	0.156		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	203 - 204 secs.	0.038	0.038	1.0	0.0	0	0.0	0.000	0.220		0	0.0	0.000	0.236		0	1.0	0.038		0.013	0	0.0	0.000	0.507		0	0.0	0.000	0.192		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	204 - 205 secs.	0.063	0.063	1.0	0.0	0	0.0	0.000	0.286		0	0.0	0.000	0.303		0	1.0	0.063		0.015	0	0.0	0.000	0.564		0	0.0	0.000	0.259		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	205 - 206 secs.	0.045	0.045	1.0	0.0	0	0.0	0.000	0.335		0	0.0	0.000	0.352		0	1.0	0.045		0.013	0	0.0	0.000	0.604		0	0.0	0.000	0.307		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	206 - 207 secs.	0.020	0.020	1.0	0.0	0	0.0	0.000	0.363		0	0.0	0.000	0.379		0	1.0	0.020		0.012	0	0.0	0.000	0.626		0	0.0	0.000	0.335		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	207 - 208 secs.	0.000	0.000	1.0	0.0	0	0.0	0.000	0.378		0	0.0	0.000	0.395		0	1.0	0.000		0.011	0	0.0	0.000	0.637		0	0.0	0.000	0.350		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	208 - 209 secs.	0.025	0.025	1.0	0.0	0	0.0	0.000	0.365		0	0.0	0.000	0.381		0	1.0	0.025		0.011	0	0.0	0.000	0.627		0	0.0	0.000	0.337		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	209 - 210 secs.	0.175	0.175	1.0	0.0	0	0.0	0.000	0.280		0	0.0	0.000	0.297		0	1.0	0.175		0.012	0	0.0	0.000	0.557		0	0.0	0.000	0.253		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	210 - 211 secs.	0.117	0.117	1.0	0.0	0	0.0	0.000	0.092		0	0.0	0.000	0.111		0	1.0	0.117		0.013	0	0.0	0.000	0.391		0	0.0	0.000	0.053		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	211 - 212 secs.	0.091	0.091	1.0	0.0	0	0.0	0.000	0.052		0	0.0	0.000	0.038		0	0.1	0.024	0.043	0.006	0	0.0	0.000	0.349		1	0.9	0.067	0.007	0.019	Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	212 - 213 secs.	0.019	0.019	1.0	0.0	0	0.0	0.000	0.062		1	0.1	0.000	0.006	0.010	0	0.0	0.000	0.070		0	0.0	0.000	0.354		0	1.0	0.019	0.011	0.005	Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	213 - 214 secs.	0.102	0.102	1.0	0.0	0	0.0	0.000	0.134		0	1.0	0.102		0.031	0	0.0	0.000	0.135		0	0.0	0.000	0.427		0	0.0	0.000	0.083		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	214 - 215 secs.	0.047	0.047	1.0	0.0	0	0.0	0.000	0.192		0	1.0	0.047		0.033	0	0.0	0.000	0.204		0	0.0	0.000	0.482		0	0.0	0.000	0.153		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	215 - 216 secs.	0.036	0.036	1.0	0.0	0	0.0	0.000	0.207		0	1.0	0.036		0.032	0	0.0	0.000	0.217		0	0.0	0.000	0.498		0	0.0	0.000	0.167		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	216 - 217 secs.	0.073	0.073	1.0	0.0	0	0.0	0.000	0.285		0	1.0	0.073		0.032	0	0.0	0.000	0.297		0	0.0	0.000	0.555		0	0.0	0.000	0.246		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	217 - 218 secs.	0.000	0.000	1.0	0.0	0	0.0	0.000	0.312		0	1.0	0.000		0.024	0	0.0	0.000	0.323		0	0.0	0.000	0.570		0	0.0	0.000	0.273		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	218 - 219 secs.	0.024	0.024	1.0	0.0	0	0.0	0.000	0.313		0	1.0	0.024		0.028	0	0.0	0.000	0.325		0	0.0	0.000	0.573		0	0.0	0.000	0.274		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	219 - 220 secs.	0.000	0.000	1.0	0.0	0	0.0	0.000	0.345		0	1.0	0.000		0.033	0	0.0	0.000	0.356		0	0.0	0.000	0.602		0	0.0	0.000	0.306		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	220 - 221 secs.	0.019	0.019	1.0	0.0	0	0.0	0.000	0.357		0	1.0	0.019		0.035	0	0.0	0.000	0.368		0	0.0	0.000	0.615		0	0.0	0.000	0.318		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	221 - 222 secs.	0.046	0.046	1.0	0.0	0	0.0	0.000	0.325		0	1.0	0.046		0.036	0	0.0	0.000	0.336		0	0.0	0.000	0.591		0	0.0	0.000	0.286		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	222 - 223 secs.	0.218	0.218	1.0	0.0	0	0.0	0.000	0.222		0	1.0	0.218		0.034	0	0.0	0.000	0.227		0	0.0	0.000	0.506		0	0.0	0.000	0.177		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	223 - 224 secs.	0.164	0.164	1.0	0.0	1	0.3	0.040	0.064	0.012	0	0.2	0.045	0.050	0.029	0	0.0	0.000	0.069		0	0.0	0.000	0.333		1	0.5	0.079	0.026	0.016	Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	224 - 225 secs.	0.064	0.064	1.0	0.0	0	1.0	0.064		0.020	0	0.0	0.000	0.131		0	0.0	0.000	0.118		0	0.0	0.000	0.231		0	0.0	0.000	0.071		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	225 - 226 secs.	0.141	0.141	0.8	0.2	0	1.0	0.141		0.015	0	0.0	0.000	0.263		0	0.0	0.000	0.244		0	0.0	0.000	0.102		0	0.0	0.000	0.201		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	226 - 227 secs.	0.019	0.019	0.0	1.0	0	1.0	0.019		0.015	0	0.0	0.000	0.318		0	0.0	0.000	0.298		0	0.0	0.000	0.047		0	0.0	0.000	0.255		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	227 - 228 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.014	0	0.0	0.000	0.325		0	0.0	0.000	0.304		0	0.0	0.000	0.041		0	0.0	0.000	0.262		Irrad-Wheel	12
