,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: 3-31-17_SR_OF
,     Experiment Length: 6 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/31/2017 12:59:28
,     Stop Time: ~4/6/2017 12:59:28


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Total Counts,14097.04,24782.71,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23061.11,1719.64,20972.03,2728.34,17332.05,23865.87,


 00:57:08
Interval Count,42.68,63.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.29,0.00,0.00,0.00,56.72,53.97,
Average m/min.,17.07,25.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.10,0.00,0.00,0.00,22.69,21.60,
Distance,5655.89,9938.37,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9252.56,687.86,8388.81,1091.34,6955.51,9567.94,
Total Counts,14139.72,24845.92,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23131.39,1719.64,20972.03,2728.34,17388.78,23919.84,


 00:58:08
Interval Count,47.66,61.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.82,0.00,51.14,0.00,60.14,61.47,
Average m/min.,19.06,24.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.33,0.00,20.46,0.00,24.05,24.58,
Distance,5674.95,9963.04,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9274.88,687.86,8409.27,1091.34,6979.57,9592.53,
Total Counts,14187.38,24907.59,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23187.21,1719.64,21023.17,2728.34,17448.92,23981.32,


 00:59:08
Interval Count,52.41,59.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.58,0.00,70.92,0.00,58.83,64.95,
Average m/min.,20.96,23.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.22,0.00,28.37,0.00,23.52,25.96,
Distance,5695.92,9986.91,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9299.12,687.86,8437.64,1091.34,7003.10,9618.51,
Total Counts,14239.79,24967.26,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23247.79,1719.64,21094.09,2728.34,17507.75,24046.26,


 01:00:08
Interval Count,52.25,59.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,0.00,72.29,0.00,38.04,61.58,
Average m/min.,20.90,23.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.66,0.00,28.91,0.00,15.23,24.65,
Distance,5716.82,10010.57,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9325.78,687.86,8466.55,1091.34,7018.32,9643.14,
Total Counts,14292.04,25026.43,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23314.46,1719.64,21166.38,2728.34,17545.79,24107.84,


 01:01:08
Interval Count,52.99,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.03,0.00,72.78,0.00,0.00,53.62,
Average m/min.,21.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.01,0.00,29.10,0.00,0.00,21.42,
Distance,5738.01,10010.59,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9351.79,687.86,8495.66,1091.34,7018.32,9664.58,
Total Counts,14345.03,25026.47,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23379.49,1719.64,21239.16,2728.34,17545.79,24161.46,


 01:02:08
Interval Count,60.67,56.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.04,0.00,52.87,0.00,24.79,18.78,
Average m/min.,24.26,22.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.01,0.00,21.14,0.00,9.91,7.51,
Distance,5762.28,10033.29,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9359.81,687.86,8516.81,1091.34,7028.23,9672.09,
Total Counts,14405.70,25083.22,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23399.53,1719.64,21292.03,2728.34,17570.58,24180.24,


 01:03:08
Interval Count,35.55,59.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.03,1.95,14.13,0.00,59.08,0.00,
Average m/min.,14.22,23.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.41,0.78,5.65,0.00,23.63,0.00,
Distance,5776.50,10056.91,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9384.22,688.64,8522.46,1091.34,7051.86,9672.09,
Total Counts,14441.25,25142.28,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23460.55,1721.59,21306.16,2728.34,17629.66,24180.24,


 01:04:08
Interval Count,59.45,64.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.93,16.29,68.78,0.00,60.04,0.00,
Average m/min.,23.78,25.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.97,6.51,27.51,0.00,24.01,0.00,
Distance,5800.28,10082.76,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9412.19,695.15,8549.97,1091.34,7075.88,9672.09,
Total Counts,14500.70,25206.91,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23530.49,1737.88,21374.93,2728.34,17689.70,24180.24,


 01:05:09
Interval Count,44.28,65.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.09,1.04,0.01,0.00,54.49,32.00,
Average m/min.,17.70,26.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.02,0.42,0.01,0.00,21.78,12.80,
Distance,5817.99,10108.92,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9432.23,695.57,8549.98,1091.34,7097.67,9684.89,
Total Counts,14544.97,25272.30,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23580.58,1738.92,21374.95,2728.34,17744.18,24212.24,


 01:06:08
Interval Count,5.54,62.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.68,0.00,0.00,0.00,63.63,53.72,
Average m/min.,2.22,25.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.89,0.00,0.00,0.00,25.46,21.49,
Distance,5820.21,10133.99,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9448.11,695.57,8549.98,1091.34,7123.13,9706.38,
Total Counts,14550.51,25334.97,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23620.26,1738.92,21374.95,2728.34,17807.82,24265.96,


 01:07:09
Interval Count,0.00,62.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.68,0.00,0.00,0.00,63.20,63.25,
Average m/min.,0.00,25.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.06,0.00,0.00,0.00,25.27,25.28,
Distance,5820.21,10159.04,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9475.18,695.57,8549.98,1091.34,7148.41,9731.68,
Total Counts,14550.51,25397.59,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23687.95,1738.92,21374.95,2728.34,17871.01,24329.21,


 01:08:09
Interval Count,0.00,59.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.99,0.00,0.00,0.00,59.79,25.55,
Average m/min.,0.00,23.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.57,0.00,0.00,0.00,23.91,10.23,
Distance,5820.21,10182.88,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9500.77,695.57,8549.98,1091.34,7172.32,9741.91,
Total Counts,14550.51,25457.21,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23751.93,1738.92,21374.95,2728.34,17930.80,24354.76,


 01:09:09
Interval Count,0.00,63.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.86,0.00,0.00,0.00,0.14,40.70,
Average m/min.,0.00,25.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.37,0.00,0.00,0.00,0.06,16.26,
Distance,5820.21,10208.32,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9527.12,695.57,8549.98,1091.34,7172.38,9758.18,
Total Counts,14550.51,25520.79,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23817.79,1738.92,21374.95,2728.34,17930.95,24395.46,


 01:10:09
Interval Count,0.00,60.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.46,0.00,0.82,0.00,0.00,61.91,
Average m/min.,0.00,24.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.76,0.00,0.33,0.00,0.00,24.77,
Distance,5820.21,10232.52,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9548.90,695.57,8550.31,1091.34,7172.38,9782.95,
Total Counts,14550.51,25581.29,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23872.25,1738.92,21375.76,2728.34,17930.95,24457.37,


 01:11:09
Interval Count,45.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.21,0.00,0.00,0.00,18.64,53.25,
Average m/min.,18.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.00,0.00,7.46,21.30,
Distance,5838.57,10232.52,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9552.18,695.57,8550.31,1091.34,7179.84,9804.25,
Total Counts,14596.43,25581.29,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23880.46,1738.92,21375.76,2728.34,17949.59,24510.62,


 01:12:09
Interval Count,53.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.28,0.00,0.00,0.00,54.39,59.43,
Average m/min.,21.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.00,0.00,0.00,21.74,23.75,
Distance,5860.10,10232.52,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9554.29,695.57,8550.31,1091.34,7201.59,9828.02,
Total Counts,14650.25,25581.29,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23885.74,1738.92,21375.76,2728.34,18003.99,24570.05,


 01:13:09
Interval Count,49.80,22.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,58.82,61.03,
Average m/min.,19.92,8.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,23.53,24.42,
Distance,5880.02,10241.44,3604.05,8752.21,1762.26,2289.44,1202.09,5052.47,6422.12,114.57,9554.37,695.57,8550.31,1091.34,7225.12,9852.43,
Total Counts,14700.05,25603.59,9010.13,21880.53,4405.66,5723.61,3005.22,12631.17,16055.30,286.42,23885.92,1738.92,21375.76,2728.34,18062.80,24631.08,


 01:14:09
Interval Count,45.83,18.51,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,8.84,0.00,0.00,0.00,59.29,61.42,
Average m/min.,18.32,7.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,23.72,24.57,
Distance,5898.35,10248.84,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9557.91,695.57,8550.31,1091.34,7248.84,9877.00,
Total Counts,14745.88,25622.11,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,23894.76,1738.92,21375.76,2728.34,18122.09,24692.50,


 01:15:09
Interval Count,39.54,61.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.42,0.00,0.00,0.00,28.28,28.11,
Average m/min.,15.82,24.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.16,0.00,0.00,0.00,11.31,11.23,
Distance,5914.17,10273.54,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9560.07,695.57,8550.31,1091.34,7260.15,9888.24,
Total Counts,14785.42,25683.84,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,23900.18,1738.92,21375.76,2728.34,18150.37,24720.61,


 01:16:09
Interval Count,48.76,62.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.37,0.00,0.00,0.00,47.62,45.51,
Average m/min.,19.50,24.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.74,0.00,0.00,0.00,19.04,18.22,
Distance,5933.67,10298.43,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9587.82,695.57,8550.31,1091.34,7279.19,9906.45,
Total Counts,14834.18,25746.08,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,23969.55,1738.92,21375.76,2728.34,18197.99,24766.12,


 01:17:09
Interval Count,51.97,10.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.16,0.00,0.00,0.00,49.36,48.76,
Average m/min.,20.78,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.66,0.00,0.00,0.00,19.73,19.48,
Distance,5954.46,10302.73,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9613.48,695.57,8550.31,1091.34,7298.94,9925.95,
Total Counts,14886.16,25756.82,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24033.71,1738.92,21375.76,2728.34,18247.34,24814.88,


 01:18:09
Interval Count,57.70,22.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.87,0.00,0.29,0.00,0.00,70.46,
Average m/min.,23.08,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.94,0.00,0.11,0.00,0.00,28.17,
Distance,5977.54,10311.54,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9631.43,695.57,8550.42,1091.34,7298.94,9954.14,
Total Counts,14943.86,25778.84,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24078.58,1738.92,21376.05,2728.34,18247.34,24885.34,


 01:19:09
Interval Count,29.62,51.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.89,0.00,9.68,0.00,0.00,65.68,
Average m/min.,11.85,20.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.36,0.00,3.87,0.00,0.00,26.29,
Distance,5989.39,10332.15,3604.05,8752.21,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9659.79,695.57,8554.29,1091.34,7298.94,9980.41,
Total Counts,14973.47,25830.38,9010.13,21880.53,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24149.47,1738.92,21385.74,2728.34,18247.34,24951.03,


 01:20:09
Interval Count,0.00,48.54,0.00,3.75,0.00,0.00,0.00,0.00,0.00,0.00,66.61,0.00,29.41,0.00,36.76,43.11,
Average m/min.,0.00,19.41,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,26.66,0.00,11.77,0.00,14.69,17.23,
Distance,5989.39,10351.57,3604.05,8753.71,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9686.43,695.57,8566.06,1091.34,7313.64,9997.65,
Total Counts,14973.47,25878.92,9010.13,21884.28,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24216.08,1738.92,21415.14,2728.34,18284.11,24994.13,


 01:21:09
Interval Count,0.00,54.25,0.00,31.41,0.00,0.00,0.00,0.00,0.00,0.00,63.03,0.00,51.76,0.00,60.55,59.32,
Average m/min.,0.00,21.70,0.00,12.56,0.00,0.00,0.00,0.00,0.00,0.00,25.18,0.00,20.69,0.00,24.22,23.72,
Distance,5989.39,10373.27,3604.05,8766.27,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9711.64,695.57,8586.76,1091.34,7337.86,10021.38,
Total Counts,14973.47,25933.17,9010.13,21915.68,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24279.11,1738.92,21466.91,2728.34,18344.66,25053.45,


 01:22:09
Interval Count,29.62,57.55,0.00,37.93,0.00,0.00,0.00,0.00,0.00,0.00,31.37,0.00,64.58,0.00,59.91,43.79,
Average m/min.,11.85,23.02,0.00,15.19,0.00,0.00,0.00,0.00,0.00,0.00,12.56,0.00,25.83,0.00,23.97,17.51,
Distance,6001.24,10396.29,3604.05,8781.45,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9724.19,695.57,8612.59,1091.34,7361.83,10038.89,
Total Counts,15003.09,25990.72,9010.13,21953.62,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24310.47,1738.92,21531.49,2728.34,18404.57,25097.24,


 01:23:09
Interval Count,64.88,27.97,0.00,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,8.54,0.00,44.63,70.93,
Average m/min.,25.95,11.19,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.42,0.00,17.84,28.36,
Distance,6027.19,10407.48,3604.05,8783.70,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9724.19,695.57,8616.01,1091.34,7379.68,10067.27,
Total Counts,15067.97,26018.70,9010.13,21959.25,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24310.49,1738.92,21540.03,2728.34,18449.20,25168.17,


 01:24:09
Interval Count,46.58,42.24,0.00,5.74,0.00,0.00,0.00,0.00,0.00,0.00,2.92,0.00,2.26,0.00,0.05,59.95,
Average m/min.,18.62,16.89,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.91,0.00,0.02,23.98,
Distance,6045.82,10424.37,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9725.36,695.57,8616.92,1091.34,7379.70,10091.25,
Total Counts,15114.55,26060.93,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24313.41,1738.92,21542.29,2728.34,18449.25,25228.12,


 01:25:09
Interval Count,57.04,57.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,41.75,0.00,58.51,67.80,
Average m/min.,22.82,23.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,16.71,0.00,23.41,27.12,
Distance,6068.64,10447.44,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9725.51,695.57,8633.62,1091.34,7403.11,10118.37,
Total Counts,15171.59,26118.59,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24313.78,1738.92,21584.04,2728.34,18507.76,25295.92,


 01:26:09
Interval Count,29.92,57.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.03,0.00,53.12,0.00,55.87,25.50,
Average m/min.,11.97,22.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.19,0.00,21.23,0.00,22.33,10.19,
Distance,6080.61,10470.43,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9748.72,695.57,8654.86,1091.34,7425.45,10128.57,
Total Counts,15201.51,26176.07,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24371.80,1738.92,21637.16,2728.34,18563.63,25321.42,


 01:27:09
Interval Count,12.36,58.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.08,0.00,23.92,0.00,17.87,46.33,
Average m/min.,4.94,23.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.62,0.00,9.56,0.00,7.15,18.53,
Distance,6085.55,10493.93,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9758.35,695.57,8664.43,1091.34,7432.60,10147.10,
Total Counts,15213.87,26234.82,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24395.88,1738.92,21661.08,2728.34,18581.50,25367.75,


 01:28:09
Interval Count,60.12,62.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.78,0.00,0.00,0.00,62.97,70.22,
Average m/min.,24.04,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.52,0.00,0.00,0.00,25.18,28.08,
Distance,6109.59,10518.93,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9773.86,695.57,8664.43,1091.34,7457.79,10175.19,
Total Counts,15273.99,26297.33,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24434.66,1738.92,21661.08,2728.34,18644.47,25437.97,


 01:29:09
Interval Count,54.66,56.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.18,0.00,0.00,0.00,63.61,60.84,
Average m/min.,21.86,22.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.87,0.00,0.00,0.00,25.44,24.33,
Distance,6131.46,10541.52,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9778.74,695.57,8664.43,1091.34,7483.23,10199.53,
Total Counts,15328.64,26353.80,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24446.84,1738.92,21661.08,2728.34,18708.08,25498.82,


 01:30:09
Interval Count,30.22,61.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.67,0.00,0.00,0.00,64.36,69.13,
Average m/min.,12.09,24.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.88,0.00,0.00,0.00,25.74,27.66,
Distance,6143.55,10565.95,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9796.61,695.57,8664.43,1091.34,7508.97,10227.18,
Total Counts,15358.87,26414.87,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24491.51,1738.92,21661.08,2728.34,18772.43,25567.95,


 01:31:09
Interval Count,57.93,36.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.11,0.00,0.00,0.00,59.11,51.67,
Average m/min.,23.17,14.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.24,0.00,0.00,0.00,23.63,20.65,
Distance,6166.72,10580.36,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9821.85,695.57,8664.43,1091.34,7532.62,10247.85,
Total Counts,15416.80,26450.89,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24554.62,1738.92,21661.08,2728.34,18831.54,25619.62,


 01:32:09
Interval Count,70.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.59,0.00,24.82,0.00,61.84,52.47,
Average m/min.,28.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.21,0.00,9.93,0.00,24.73,21.00,
Distance,6195.04,10580.36,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9848.08,695.57,8674.36,1091.34,7557.35,10268.84,
Total Counts,15487.59,26450.89,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24620.21,1738.92,21685.89,2728.34,18893.38,25672.09,


 01:33:09
Interval Count,71.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.16,0.00,26.66,0.00,1.99,67.20,
Average m/min.,28.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.28,0.00,10.66,0.00,0.80,26.87,
Distance,6223.45,10580.36,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9869.35,695.57,8685.02,1091.34,7558.15,10295.72,
Total Counts,15558.62,26450.89,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24673.37,1738.92,21712.55,2728.34,18895.37,25739.29,


 01:34:09
Interval Count,70.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.28,0.00,5.38,0.00,0.00,55.57,
Average m/min.,28.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.30,0.00,2.15,0.00,0.00,22.21,
Distance,6251.61,10580.36,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9890.66,695.57,8687.17,1091.34,7558.15,10317.94,
Total Counts,15629.03,26450.89,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24726.64,1738.92,21717.93,2728.34,18895.37,25794.86,


 01:35:09
Interval Count,24.04,49.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.08,0.00,52.72,0.00,7.84,36.17,
Average m/min.,9.62,19.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.01,0.00,21.08,0.00,3.13,14.47,
Distance,6261.23,10600.02,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9914.69,695.57,8708.26,1091.34,7561.28,10332.41,
Total Counts,15653.07,26500.05,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24786.72,1738.92,21770.66,2728.34,18903.21,25831.03,


 01:36:09
Interval Count,67.49,62.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,13.76,0.00,0.00,69.08,
Average m/min.,26.98,24.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,5.51,0.00,0.00,27.62,
Distance,6288.22,10624.89,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9915.62,695.57,8713.77,1091.34,7561.28,10360.04,
Total Counts,15720.55,26562.24,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24789.05,1738.92,21784.42,2728.34,18903.21,25900.11,


 01:37:09
Interval Count,67.43,59.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.76,
Average m/min.,26.97,23.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.91,
Distance,6315.19,10648.88,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9915.62,695.57,8713.77,1091.34,7561.28,10383.95,
Total Counts,15787.99,26622.21,9010.13,21964.99,4405.68,5723.61,3005.22,12631.17,16055.30,286.42,24789.05,1738.92,21784.42,2728.34,18903.21,25959.87,


 01:38:09
Interval Count,68.53,62.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,3.96,0.00,0.57,69.34,
Average m/min.,27.42,24.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,1.58,0.00,0.23,27.73,
Distance,6342.61,10673.86,3604.05,8785.99,1762.27,2289.44,1202.09,5052.47,6422.12,114.57,9915.87,695.57,8715.35,1091.34,7561.51,10411.68,
