,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: 3-31-17_SR_OF
,     Experiment Length: 6 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/31/2017 12:59:28
,     Stop Time: ~4/6/2017 12:59:28


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Distance,2.00,65.68,6.66,49.39,3.40,25.41,2.39,28.77,0.68,2.96,9.04,19.85,3.15,0.12,2.48,3.09,
Total Counts,5.00,164.20,16.64,123.49,8.50,63.51,5.99,71.92,1.71,7.39,22.59,49.62,7.88,0.29,6.20,7.74,


 13:01:59
Interval Count,2.30,16.89,0.00,50.08,2.86,0.00,0.00,8.92,0.00,0.26,1.17,10.45,0.63,2.84,0.57,0.92,
Average m/min.,0.92,6.76,0.00,20.04,1.14,0.00,0.00,3.57,0.00,0.10,0.47,4.18,0.26,1.13,0.23,0.37,
Distance,2.92,72.44,6.66,69.43,4.54,25.41,2.39,32.34,0.68,3.06,9.51,24.03,3.41,1.25,2.71,3.46,
Total Counts,7.30,181.09,16.64,173.57,11.36,63.51,5.99,80.84,1.71,7.66,23.76,60.07,8.51,3.13,6.76,8.66,


 13:02:59
Interval Count,3.24,0.00,14.49,29.87,0.00,0.00,0.00,12.12,1.32,0.00,0.00,12.79,0.43,4.22,13.04,11.24,
Average m/min.,1.30,0.00,5.79,11.93,0.00,0.00,0.00,4.84,0.53,0.00,0.00,5.11,0.17,1.69,5.21,4.50,
Distance,4.22,72.44,12.45,81.37,4.54,25.41,2.39,37.18,1.21,3.06,9.51,29.14,3.58,2.94,7.92,7.96,
Total Counts,10.54,181.09,31.13,203.43,11.36,63.51,5.99,92.96,3.03,7.66,23.76,72.86,8.95,7.36,19.80,19.89,


 13:03:59
Interval Count,20.74,28.67,15.18,2.22,3.71,0.00,0.00,8.13,0.05,0.53,1.24,6.63,0.16,1.78,1.76,21.61,
Average m/min.,8.29,11.47,6.08,0.89,1.49,0.00,0.00,3.26,0.02,0.21,0.49,2.65,0.06,0.71,0.71,8.64,
Distance,12.51,83.91,18.53,82.26,6.03,25.41,2.39,40.44,1.23,3.27,10.00,31.79,3.64,3.65,8.63,16.60,
Total Counts,31.28,209.76,46.32,205.66,15.07,63.51,5.99,101.09,3.08,8.18,25.00,79.49,9.11,9.13,21.57,41.50,


 13:04:59
Interval Count,0.00,14.32,13.83,16.28,0.00,0.00,0.00,23.64,13.80,1.51,0.62,0.88,0.16,0.22,14.54,1.53,
Average m/min.,0.00,5.72,5.53,6.51,0.00,0.00,0.00,9.46,5.53,0.61,0.25,0.36,0.07,0.09,5.81,0.61,
Distance,12.51,89.63,24.06,88.77,6.03,25.41,2.39,49.89,6.75,3.88,10.25,32.15,3.71,3.74,14.44,17.21,
Total Counts,31.28,224.08,60.14,221.93,15.07,63.51,5.99,124.74,16.88,9.70,25.62,80.37,9.26,9.36,36.11,43.03,


 13:05:59
Interval Count,14.93,34.55,12.88,16.39,8.80,0.00,0.00,35.21,5.55,0.22,3.45,0.00,0.00,0.00,8.37,0.37,
Average m/min.,5.97,13.81,5.15,6.55,3.52,0.00,0.00,14.07,2.22,0.09,1.38,0.00,0.00,0.00,3.35,0.15,
Distance,18.48,103.45,29.21,95.33,9.55,25.41,2.39,63.98,8.97,3.97,11.63,32.15,3.71,3.74,17.79,17.36,
Total Counts,46.21,258.63,73.03,238.33,23.87,63.51,5.99,159.95,22.43,9.92,29.07,80.37,9.26,9.36,44.47,43.39,


 13:06:59
Interval Count,2.97,4.17,16.16,17.59,18.79,32.29,0.00,49.62,0.00,0.47,5.22,0.00,0.00,0.00,1.26,30.75,
Average m/min.,1.19,1.67,6.46,7.04,7.52,12.92,0.00,19.85,0.00,0.19,2.09,0.00,0.00,0.00,0.50,12.30,
Distance,19.67,105.12,35.67,102.37,17.06,38.32,2.39,83.83,8.97,4.16,13.72,32.15,3.71,3.74,18.29,29.66,
Total Counts,49.18,262.80,89.18,255.92,42.66,95.80,5.99,209.57,22.43,10.39,34.29,80.37,9.26,9.36,45.74,74.14,


 13:07:59
Interval Count,1.54,4.83,5.96,31.18,16.55,4.32,5.36,50.55,0.00,0.33,0.01,4.36,1.03,6.49,4.28,4.91,
Average m/min.,0.62,1.93,2.39,12.47,6.62,1.73,2.15,20.23,0.00,0.13,0.00,1.74,0.41,2.60,1.72,1.96,
Distance,20.29,107.05,38.06,114.84,23.68,40.05,4.54,104.05,8.97,4.29,13.72,33.89,4.12,6.34,20.01,31.62,
Total Counts,50.72,267.63,95.14,287.11,59.21,100.12,11.34,260.12,22.43,10.72,34.30,84.72,10.29,15.84,50.01,79.05,


 13:08:59
Interval Count,1.61,47.53,24.57,19.72,8.79,0.18,11.89,10.47,0.00,1.01,0.00,7.32,0.00,0.17,2.18,23.61,
Average m/min.,0.64,19.01,9.82,7.89,3.52,0.07,4.74,4.19,0.00,0.40,0.00,2.93,0.00,0.07,0.87,9.44,
Distance,20.93,126.06,47.88,122.73,27.20,40.12,9.29,108.24,8.97,4.69,13.72,36.82,4.12,6.41,20.88,41.06,
Total Counts,52.33,315.16,119.71,306.83,68.00,100.30,23.24,270.59,22.43,11.74,34.30,92.04,10.29,16.01,52.20,102.66,


 13:09:59
