,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Distance,10.36,5.41,2.09,10.88,5.37,0.17,0.02,0.36,0.50,0.16,0.25,0.16,0.47,0.13,0.25,0.47,
Total Counts,25.89,13.53,5.22,27.21,13.43,0.42,0.05,0.91,1.25,0.41,0.62,0.39,1.17,0.33,0.63,1.18,


 17:22:14
Interval Count,1.76,2.97,0.29,9.28,9.12,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Average m/min.,0.70,1.19,0.12,3.71,3.65,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Distance,11.06,6.60,2.21,14.59,9.02,1.97,0.02,0.36,0.50,0.16,0.25,0.16,0.47,0.14,0.25,0.47,
Total Counts,27.66,16.50,5.51,36.49,22.55,4.92,0.05,0.91,1.25,0.41,0.62,0.39,1.17,0.34,0.63,1.18,


 17:23:14
Interval Count,12.51,17.97,0.00,2.13,3.82,7.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.18,1.53,0.54,
Average m/min.,5.01,7.19,0.00,0.86,1.53,3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.61,0.22,
Distance,16.07,13.79,2.21,15.45,10.55,5.08,0.02,0.36,0.50,0.16,0.25,0.16,0.47,1.01,0.86,0.69,
Total Counts,40.17,34.47,5.51,38.62,26.37,12.70,0.05,0.91,1.25,0.41,0.62,0.39,1.17,2.53,2.16,1.72,


 17:24:14
Interval Count,37.08,12.14,7.14,1.96,13.14,7.36,0.00,0.00,0.00,0.00,0.03,0.00,0.00,5.38,7.07,6.62,
Average m/min.,14.83,4.86,2.85,0.78,5.25,2.94,0.00,0.00,0.00,0.00,0.01,0.00,0.00,2.15,2.83,2.65,
Distance,30.90,18.65,5.06,16.23,15.81,8.02,0.02,0.36,0.50,0.16,0.26,0.16,0.47,3.16,3.69,3.34,
Total Counts,77.25,46.62,12.66,40.58,39.51,20.05,0.05,0.91,1.25,0.41,0.64,0.39,1.17,7.91,9.22,8.34,


 17:25:14
Interval Count,25.17,14.95,0.00,15.47,4.88,0.30,0.00,0.00,0.00,1.21,2.08,0.00,0.00,25.34,7.70,21.88,
Average m/min.,10.07,5.98,0.00,6.19,1.95,0.12,0.00,0.00,0.00,0.49,0.83,0.00,0.00,10.14,3.08,8.75,
Distance,40.97,24.63,5.06,22.42,17.76,8.14,0.02,0.36,0.50,0.65,1.09,0.16,0.47,13.30,6.77,12.09,
Total Counts,102.42,61.57,12.66,56.05,44.39,20.36,0.05,0.91,1.25,1.62,2.72,0.39,1.17,33.25,16.92,30.22,


 17:26:14
Interval Count,1.72,0.00,0.00,36.45,0.00,0.55,0.00,0.00,2.37,3.25,8.22,0.00,0.00,15.18,4.61,21.07,
Average m/min.,0.69,0.00,0.00,14.56,0.00,0.22,0.00,0.00,0.95,1.30,3.29,0.00,0.00,6.07,1.84,8.42,
Distance,41.66,24.63,5.06,37.00,17.76,8.36,0.02,0.36,1.45,1.95,4.38,0.16,0.47,19.37,8.61,20.52,
Total Counts,104.14,61.57,12.66,92.50,44.39,20.91,0.05,0.91,3.62,4.87,10.95,0.39,1.17,48.43,21.53,51.29,


 17:27:14
Interval Count,25.84,0.46,0.00,27.50,31.41,20.78,0.00,1.04,5.86,4.16,19.49,0.20,0.03,0.78,5.88,26.11,
Average m/min.,10.33,0.18,0.00,11.01,12.57,8.32,0.00,0.42,2.34,1.66,7.79,0.08,0.01,0.31,2.35,10.44,
Distance,51.99,24.81,5.06,48.00,30.32,16.67,0.02,0.78,3.79,3.61,12.17,0.24,0.48,19.68,10.96,30.96,
Total Counts,129.99,62.03,12.66,120.00,75.80,41.68,0.05,1.95,9.47,9.03,30.43,0.59,1.20,49.21,27.41,77.39,


 17:28:14
Interval Count,6.93,31.04,7.20,1.79,27.54,6.18,0.00,41.26,1.49,2.32,2.66,6.62,0.84,7.50,0.01,11.13,
Average m/min.,2.78,12.41,2.88,0.72,11.01,2.48,0.00,16.49,0.59,0.93,1.07,2.64,0.34,3.00,0.01,4.45,
Distance,54.77,37.23,7.94,48.72,41.34,19.15,0.02,17.28,4.38,4.54,13.24,2.88,0.82,22.68,10.97,35.41,
Total Counts,136.92,93.07,19.86,121.79,103.34,47.87,0.05,43.21,10.96,11.34,33.09,7.21,2.04,56.71,27.42,88.53,


 17:29:14
Interval Count,0.00,8.91,13.12,0.26,0.42,0.46,0.00,34.08,0.37,1.16,0.16,14.42,1.63,0.37,0.68,10.12,
Average m/min.,0.00,3.56,5.25,0.10,0.17,0.18,0.00,13.64,0.15,0.46,0.06,5.77,0.65,0.15,0.27,4.05,
Distance,54.77,40.79,13.19,48.82,41.51,19.33,0.02,30.92,4.53,5.00,13.30,8.65,1.47,22.83,11.24,39.46,
Total Counts,136.92,101.97,32.97,122.05,103.76,48.33,0.05,77.29,11.33,12.50,33.25,21.63,3.67,57.08,28.11,98.64,


 17:30:14
Interval Count,0.72,0.14,22.07,0.29,2.05,0.00,0.00,17.42,0.00,2.63,9.47,7.97,0.21,2.46,0.11,2.54,
Average m/min.,0.29,0.06,8.82,0.12,0.82,0.00,0.00,6.95,0.00,1.05,3.79,3.19,0.08,0.99,0.04,1.01,
Distance,55.06,40.85,22.02,48.94,42.33,19.33,0.02,37.88,4.53,6.05,17.09,11.84,1.55,23.82,11.28,40.47,
Total Counts,137.64,102.12,55.04,122.34,105.82,48.33,0.05,94.71,11.33,15.13,42.72,29.61,3.88,59.54,28.21,101.18,


 17:31:14
Interval Count,0.79,16.00,0.09,15.25,1.51,0.00,0.00,8.21,1.54,2.01,0.08,7.46,2.95,6.49,2.74,22.89,
