,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Average m/min.,0.03,21.16,0.00,26.68,0.00,20.52,0.00,0.00,1.76,2.09,0.00,3.45,4.68,0.00,19.19,13.28,
Distance,19798.82,23907.03,29088.12,25599.62,15371.19,15859.40,592.47,26156.52,30812.38,906.87,15993.65,1888.74,18368.69,18100.85,16146.12,21462.57,
Total Counts,49497.04,59767.57,72720.30,63999.04,38427.97,39648.50,1481.17,65391.30,77030.95,2267.18,39984.12,4721.84,45921.72,45252.13,40365.29,53656.43,


 03:18:42
Interval Count,44.93,64.87,0.00,69.47,0.00,59.87,0.00,0.00,0.00,4.21,0.00,5.82,27.49,0.00,48.84,0.00,
Average m/min.,17.97,25.94,0.00,27.81,0.00,23.97,0.00,0.00,0.00,1.69,0.00,2.32,10.99,0.00,19.54,0.00,
Distance,19816.79,23932.97,29088.12,25627.41,15371.19,15883.35,592.47,26156.52,30812.38,908.56,15993.65,1891.06,18379.68,18100.85,16165.65,21462.57,
Total Counts,49541.97,59832.43,72720.30,64068.51,38427.97,39708.37,1481.17,65391.30,77030.95,2271.39,39984.12,4727.66,45949.21,45252.13,40414.13,53656.43,


 03:19:42
Interval Count,67.49,64.75,0.00,52.70,0.00,40.08,0.00,0.00,0.00,5.42,0.00,0.00,28.82,0.00,51.97,0.00,
Average m/min.,26.98,25.88,0.00,21.05,0.00,16.02,0.00,0.00,0.00,2.17,0.00,0.00,11.53,0.00,20.77,0.00,
Distance,19843.78,23958.87,29088.12,25648.48,15371.19,15899.38,592.47,26156.52,30812.38,910.73,15993.65,1891.06,18391.21,18100.85,16186.44,21462.57,
Total Counts,49609.46,59897.18,72720.30,64121.21,38427.97,39748.45,1481.17,65391.30,77030.95,2276.82,39984.12,4727.66,45978.03,45252.13,40466.11,53656.43,


 03:20:42
Interval Count,49.54,66.70,0.00,63.71,0.00,66.93,0.00,0.00,0.00,4.25,0.00,0.00,0.00,0.00,51.49,0.00,
Average m/min.,19.82,26.68,0.00,25.50,0.00,26.77,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,20.60,0.00,
Distance,19863.60,23985.55,29088.12,25673.97,15371.19,15926.15,592.47,26156.52,30812.38,912.43,15993.65,1891.06,18391.21,18100.85,16207.04,21462.57,
Total Counts,49659.00,59963.88,72720.30,64184.92,38427.97,39815.38,1481.17,65391.30,77030.95,2281.07,39984.12,4727.66,45978.03,45252.13,40517.59,53656.43,


 03:21:42
Interval Count,50.47,64.30,0.00,71.36,0.00,60.70,0.00,0.00,17.18,2.11,0.00,0.00,0.00,0.00,36.43,0.00,
Average m/min.,20.19,25.71,0.00,28.53,0.00,24.28,0.00,0.00,6.88,0.84,0.00,0.00,0.00,0.00,14.56,0.00,
Distance,19883.79,24011.27,29088.12,25702.51,15371.19,15950.43,592.47,26156.52,30819.25,913.27,15993.65,1891.06,18391.21,18100.85,16221.61,21462.57,
Total Counts,49709.47,60028.18,72720.30,64256.28,38427.97,39876.08,1481.17,65391.30,77048.13,2283.17,39984.12,4727.66,45978.03,45252.13,40554.03,53656.43,


 03:22:42
Interval Count,39.59,32.91,0.00,72.08,0.00,48.87,0.00,0.00,38.34,4.80,0.00,0.03,0.00,29.12,34.08,0.00,
Average m/min.,15.83,13.17,0.00,28.81,0.00,19.53,0.00,0.00,15.32,1.92,0.00,0.01,0.00,11.65,13.63,0.00,
Distance,19899.63,24024.44,29088.12,25731.34,15371.19,15969.98,592.47,26156.52,30834.59,915.19,15993.65,1891.07,18391.21,18112.50,16235.24,21462.57,
Total Counts,49749.07,60061.09,72720.30,64328.36,38427.97,39924.95,1481.17,65391.30,77086.47,2287.97,39984.12,4727.68,45978.03,45281.25,40588.11,53656.43,


 03:23:42
Interval Count,58.99,0.00,0.00,40.82,0.00,45.63,0.00,0.00,62.62,5.55,0.00,0.00,0.00,23.57,55.08,0.00,
Average m/min.,23.59,0.00,0.00,16.34,0.00,18.27,0.00,0.00,25.08,2.22,0.00,0.00,0.00,9.43,22.04,0.00,
Distance,19923.22,24024.44,29088.12,25747.67,15371.19,15988.23,592.47,26156.52,30859.64,917.41,15993.65,1891.07,18391.21,18121.93,16257.27,21462.57,
Total Counts,49808.05,60061.09,72720.30,64369.17,38427.97,39970.58,1481.17,65391.30,77149.09,2293.53,39984.12,4727.68,45978.03,45304.82,40643.18,53656.43,


 03:24:42
Interval Count,66.74,0.00,0.00,56.16,0.00,47.42,0.00,0.00,81.08,0.84,0.00,0.00,0.00,26.00,47.22,41.96,
Average m/min.,26.69,0.00,0.00,22.43,0.00,18.94,0.00,0.00,32.38,0.34,0.00,0.00,0.00,10.39,18.87,16.77,
Distance,19949.92,24024.44,29088.12,25770.13,15371.19,16007.20,592.47,26156.52,30892.07,917.75,15993.65,1891.07,18391.21,18132.33,16276.16,21479.36,
Total Counts,49874.79,60061.09,72720.30,64425.33,38427.97,40018.00,1481.17,65391.30,77230.17,2294.37,39984.12,4727.68,45978.03,45330.82,40690.41,53698.39,


 03:25:42
Interval Count,46.37,0.00,0.00,70.58,0.00,50.11,0.00,0.00,25.74,0.16,0.00,0.38,0.00,0.00,55.25,7.82,
Average m/min.,18.54,0.00,0.00,28.25,0.00,20.06,0.00,0.00,10.29,0.06,0.00,0.16,0.00,0.00,22.10,3.12,
Distance,19968.46,24024.44,29088.12,25798.36,15371.19,16027.24,592.47,26156.52,30902.36,917.81,15993.65,1891.23,18391.21,18132.33,16298.26,21482.48,
Total Counts,49921.16,60061.09,72720.30,64495.91,38427.97,40068.11,1481.17,65391.30,77255.91,2294.53,39984.12,4728.07,45978.03,45330.82,40745.66,53706.21,


 03:26:42
Interval Count,0.00,0.00,0.00,69.99,0.00,46.67,0.00,0.00,8.26,0.25,0.00,7.84,0.00,41.50,52.76,6.32,
Average m/min.,0.00,0.00,0.00,27.98,0.00,18.65,0.00,0.00,3.31,0.10,0.00,3.13,0.00,16.60,21.10,2.53,
Distance,19968.46,24024.44,29088.12,25826.36,15371.19,16045.91,592.47,26156.52,30905.67,917.91,15993.65,1894.36,18391.21,18148.93,16319.37,21485.01,
Total Counts,49921.16,60061.09,72720.30,64565.89,38427.97,40114.78,1481.17,65391.30,77264.17,2294.78,39984.12,4735.91,45978.03,45372.32,40798.42,53712.53,


 03:27:42
Interval Count,19.45,0.00,0.00,36.09,0.00,23.62,0.00,0.00,24.00,0.07,0.00,0.00,0.00,29.68,51.46,52.50,
Average m/min.,7.78,0.00,0.00,14.44,0.00,9.45,0.00,0.00,9.59,0.03,0.00,0.00,0.00,11.87,20.58,21.00,
Distance,19976.24,24024.44,29088.12,25840.79,15371.19,16055.36,592.47,26156.52,30915.27,917.94,15993.65,1894.36,18391.21,18160.80,16339.95,21506.01,
Total Counts,49940.61,60061.09,72720.30,64601.99,38427.97,40138.39,1481.17,65391.30,77288.17,2294.84,39984.12,4735.91,45978.03,45402.00,40849.88,53765.03,


 03:28:42
Interval Count,65.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,32.26,0.00,0.00,0.00,0.00,21.13,55.68,21.80,
Average m/min.,26.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,12.91,0.00,0.00,0.00,0.00,8.45,22.27,8.72,
Distance,20002.24,24024.56,29088.12,25840.79,15371.19,16055.36,592.47,26156.52,30928.17,917.94,15993.65,1894.36,18391.21,18169.25,16362.23,21514.73,
Total Counts,50005.61,60061.41,72720.30,64601.99,38427.97,40138.39,1481.17,65391.30,77320.43,2294.84,39984.12,4735.91,45978.03,45423.13,40905.57,53786.83,


 03:29:42
Interval Count,76.89,0.50,0.00,0.00,0.00,1.38,0.00,0.00,33.58,0.00,0.00,0.00,0.00,52.68,52.78,54.99,
Average m/min.,30.75,0.20,0.00,0.00,0.00,0.55,0.00,0.00,13.42,0.00,0.00,0.00,0.00,21.07,21.11,21.99,
Distance,20033.00,24024.76,29088.12,25840.79,15371.19,16055.91,592.47,26156.52,30941.61,917.94,15993.65,1894.36,18391.21,18190.33,16383.34,21536.73,
Total Counts,50082.50,60061.91,72720.30,64601.99,38427.97,40139.78,1481.17,65391.30,77354.01,2294.84,39984.12,4735.91,45978.03,45475.82,40958.34,53841.82,


 03:30:42
Interval Count,66.76,0.00,0.00,0.00,0.00,58.07,0.00,0.00,8.20,0.00,0.00,0.04,0.00,55.12,53.84,0.66,
Average m/min.,26.71,0.00,0.00,0.00,0.00,23.25,0.00,0.00,3.27,0.00,0.00,0.02,0.00,22.04,21.53,0.26,
Distance,20059.71,24024.76,29088.12,25840.79,15371.19,16079.14,592.47,26156.52,30944.88,917.94,15993.65,1894.38,18391.21,18212.37,16404.87,21536.99,
Total Counts,50149.26,60061.91,72720.30,64601.99,38427.97,40197.84,1481.17,65391.30,77362.21,2294.84,39984.12,4735.95,45978.03,45530.93,41012.18,53842.47,


 03:31:42
Interval Count,68.96,0.00,0.00,0.00,0.00,36.11,0.04,0.00,51.20,0.00,0.00,3.55,0.00,55.74,49.66,57.55,
Average m/min.,27.58,0.00,0.00,0.00,0.00,14.42,0.01,0.00,20.45,0.00,0.00,1.42,0.00,22.30,19.86,23.01,
Distance,20087.29,24024.76,29088.12,25840.79,15371.19,16093.58,592.48,26156.52,30965.36,917.94,15993.65,1895.80,18391.21,18234.67,16424.74,21560.01,
Total Counts,50218.22,60061.91,72720.30,64601.99,38427.97,40233.95,1481.21,65391.30,77413.41,2294.84,39984.12,4739.50,45978.03,45586.67,41061.84,53900.03,


 03:32:42
Interval Count,76.04,42.64,0.00,12.64,0.00,65.38,1.33,0.00,25.59,0.00,0.00,11.03,0.00,51.75,49.20,57.46,
Average m/min.,30.41,17.05,0.00,5.06,0.00,26.17,0.54,0.00,10.25,0.00,0.00,4.41,0.00,20.70,19.68,22.99,
Distance,20117.71,24041.82,29088.12,25845.85,15371.19,16119.73,593.02,26156.52,30975.60,917.94,15993.65,1900.21,18391.21,18255.37,16444.42,21582.99,
Total Counts,50294.26,60104.55,72720.30,64614.63,38427.97,40299.33,1482.54,65391.30,77439.00,2294.84,39984.12,4750.53,45978.03,45638.42,41111.04,53957.49,


 03:33:42
Interval Count,78.42,42.91,0.00,43.29,0.00,62.12,1.88,0.00,0.07,0.00,0.00,4.51,0.00,37.91,45.53,58.96,
Average m/min.,31.36,17.15,0.00,17.30,0.00,24.82,0.75,0.00,0.03,0.00,0.00,1.81,0.00,15.15,18.19,23.56,
Distance,20149.07,24058.98,29088.12,25863.17,15371.19,16144.58,593.77,26156.52,30975.63,917.94,15993.65,1902.02,18391.21,18270.53,16462.63,21606.58,
Total Counts,50372.68,60147.46,72720.30,64657.92,38427.97,40361.45,1484.42,65391.30,77439.07,2294.84,39984.12,4755.04,45978.03,45676.33,41156.57,54016.45,


 03:34:42
Interval Count,64.50,49.78,0.00,34.03,0.00,58.55,0.55,0.00,50.42,0.00,0.00,0.00,0.00,15.33,55.91,35.00,
Average m/min.,25.80,19.91,0.00,13.62,0.00,23.44,0.22,0.00,20.16,0.00,0.00,0.00,0.00,6.13,22.37,14.01,
Distance,20174.87,24078.89,29088.12,25876.78,15371.19,16168.00,593.99,26156.52,30995.79,917.94,15993.65,1902.02,18391.21,18276.66,16484.99,21620.58,
Total Counts,50437.18,60197.24,72720.30,64691.95,38427.97,40420.00,1484.97,65391.30,77489.49,2294.84,39984.12,4755.04,45978.03,45691.66,41212.47,54051.45,


 03:35:42
Interval Count,68.74,48.67,0.00,47.64,0.00,52.68,0.00,0.00,11.64,0.00,0.00,0.00,0.00,11.88,47.18,57.74,
Average m/min.,27.49,19.46,0.00,19.04,0.00,21.05,0.00,0.00,4.66,0.00,0.00,0.00,0.00,4.76,18.85,23.07,
Distance,20202.37,24098.36,29088.12,25895.84,15371.19,16189.07,593.99,26156.52,31000.45,917.94,15993.65,1902.02,18391.21,18281.42,16503.86,21643.67,
Total Counts,50505.92,60245.91,72720.30,64739.59,38427.97,40472.68,1484.97,65391.30,77501.13,2294.84,39984.12,4755.04,45978.03,45703.54,41259.66,54109.18,


 03:36:42
Interval Count,68.76,64.64,0.00,23.22,0.00,35.76,0.00,0.00,44.36,0.00,0.00,0.01,0.00,35.86,55.86,11.87,
Average m/min.,27.50,25.86,0.00,9.29,0.00,14.30,0.00,0.00,17.73,0.00,0.00,0.00,0.00,14.34,22.36,4.75,
Distance,20229.87,24124.22,29088.12,25905.13,15371.19,16203.38,593.99,26156.52,31018.19,917.94,15993.65,1902.02,18391.21,18295.76,16526.21,21648.42,
Total Counts,50574.68,60310.55,72720.30,64762.82,38427.97,40508.45,1484.97,65391.30,77545.49,2294.84,39984.12,4755.05,45978.03,45739.39,41315.51,54121.05,


 03:37:42
Interval Count,70.34,68.87,0.00,49.13,0.00,72.29,0.00,0.00,67.68,0.00,0.00,6.53,0.00,19.87,51.75,0.00,
Average m/min.,28.13,27.53,0.00,19.64,0.00,28.92,0.00,0.00,27.09,0.00,0.00,2.61,0.00,7.94,20.68,0.00,
Distance,20258.01,24151.77,29088.12,25924.78,15371.19,16232.29,593.99,26156.52,31045.27,917.94,15993.65,1904.63,18391.21,18303.71,16546.91,21648.42,
Total Counts,50645.03,60379.42,72720.30,64811.95,38427.97,40580.74,1484.97,65391.30,77613.17,2294.84,39984.12,4761.58,45978.03,45759.26,41367.26,54121.05,


 03:38:42
Interval Count,67.83,51.89,0.00,49.82,0.00,70.99,1.20,0.00,68.07,0.00,0.00,7.63,0.00,9.79,41.00,0.00,
Average m/min.,27.13,20.76,0.00,19.92,0.00,28.38,0.48,0.00,27.19,0.00,0.00,3.05,0.00,3.91,16.40,0.00,
Distance,20285.14,24172.53,29088.12,25944.71,15371.19,16260.69,594.47,26156.52,31072.49,917.94,15993.65,1907.68,18391.21,18307.62,16563.31,21648.42,
Total Counts,50712.86,60431.32,72720.30,64861.76,38427.97,40651.72,1486.17,65391.30,77681.24,2294.84,39984.12,4769.21,45978.03,45769.05,41408.26,54121.05,


 03:39:42
Interval Count,17.25,0.00,0.00,50.91,0.00,66.99,1.57,0.00,51.30,0.00,0.00,11.03,0.00,0.00,53.58,0.00,
Average m/min.,6.90,0.00,0.00,20.37,0.00,26.82,0.62,0.00,20.55,0.00,0.00,4.41,0.00,0.00,21.43,0.00,
Distance,20292.04,24172.53,29088.12,25965.07,15371.19,16287.48,595.09,26156.52,31093.02,917.94,15993.65,1912.09,18391.21,18307.62,16584.74,21648.42,
Total Counts,50730.11,60431.32,72720.30,64912.67,38427.97,40718.71,1487.74,65391.30,77732.54,2294.84,39984.12,4780.24,45978.03,45769.05,41461.84,54121.05,


 03:40:42
Interval Count,68.62,0.00,0.00,50.68,0.00,24.70,0.00,0.00,4.68,0.00,0.00,7.66,0.00,0.00,49.80,0.00,
Average m/min.,27.44,0.00,0.00,20.25,0.00,9.87,0.00,0.00,1.87,0.00,0.00,3.07,0.00,0.00,19.91,0.00,
Distance,20319.49,24172.53,29088.12,25985.34,15371.19,16297.36,595.09,26156.52,31094.89,917.94,15993.65,1915.16,18391.21,18307.62,16604.66,21648.42,
Total Counts,50798.72,60431.32,72720.30,64963.36,38427.97,40743.41,1487.74,65391.30,77737.22,2294.84,39984.12,4787.89,45978.03,45769.05,41511.64,54121.05,


 03:41:42
Interval Count,68.97,0.00,0.00,54.42,0.00,74.96,3.58,0.00,54.17,0.00,0.00,7.05,0.00,1.00,51.97,0.00,
Average m/min.,27.59,0.00,0.00,21.79,0.00,30.02,1.44,0.00,21.67,0.00,0.00,2.82,0.00,0.40,20.79,0.00,
Distance,20347.08,24172.53,29088.12,26007.11,15371.19,16327.35,596.53,26156.52,31116.56,917.94,15993.65,1917.98,18391.21,18308.02,16625.45,21648.42,
Total Counts,50867.70,60431.32,72720.30,65017.78,38427.97,40818.37,1491.32,65391.30,77791.39,2294.84,39984.12,4794.95,45978.03,45770.05,41563.62,54121.05,


 03:42:42
Interval Count,31.32,0.00,0.00,33.62,0.00,65.92,4.17,0.00,73.33,0.00,0.00,5.95,0.00,28.66,51.47,6.09,
Average m/min.,12.53,0.00,0.00,13.44,0.00,26.35,1.66,0.00,29.33,0.00,0.00,2.38,0.00,11.46,20.58,2.44,
Distance,20359.61,24172.53,29088.12,26020.56,15371.19,16353.72,598.19,26156.52,31145.89,917.94,15993.65,1920.36,18391.21,18319.48,16646.04,21650.86,
Total Counts,50899.01,60431.32,72720.30,65051.39,38427.97,40884.29,1495.49,65391.30,77864.72,2294.84,39984.12,4800.89,45978.03,45798.71,41615.09,54127.14,


 03:43:42
Interval Count,66.49,0.00,0.00,0.00,0.00,22.71,0.37,0.00,67.05,0.00,0.00,7.47,0.00,27.59,52.11,52.18,
Average m/min.,26.58,0.00,0.00,0.00,0.00,9.08,0.15,0.00,26.80,0.00,0.00,2.99,0.00,11.04,20.84,20.88,
Distance,20386.20,24172.53,29088.12,26020.56,15371.19,16362.80,598.34,26156.52,31172.71,917.94,15993.65,1923.35,18391.21,18330.52,16666.88,21671.73,
Total Counts,50965.50,60431.32,72720.30,65051.39,38427.97,40907.00,1495.86,65391.30,77931.78,2294.84,39984.12,4808.37,45978.03,45826.30,41667.20,54179.33,


 03:44:42
Interval Count,46.03,37.28,0.00,0.00,0.00,53.37,0.20,0.00,13.78,0.00,0.00,4.12,0.00,0.00,16.91,58.38,
Average m/min.,18.41,14.90,0.00,0.00,0.00,21.35,0.08,0.00,5.52,0.00,0.00,1.64,0.00,0.00,6.76,23.34,
Distance,20404.61,24187.44,29088.12,26020.56,15371.19,16384.15,598.42,26156.52,31178.22,917.94,15993.65,1924.99,18391.21,18330.52,16673.64,21695.08,
Total Counts,51011.53,60468.59,72720.30,65051.39,38427.97,40960.37,1496.05,65391.30,77945.55,2294.84,39984.12,4812.49,45978.03,45826.30,41684.11,54237.71,


 03:45:42
Interval Count,63.25,59.07,0.00,0.11,0.00,64.42,0.83,0.00,70.76,0.00,0.00,2.91,0.00,19.08,50.13,24.37,
Average m/min.,25.29,23.62,0.00,0.04,0.00,25.74,0.33,0.00,28.28,0.00,0.00,1.17,0.00,7.63,20.05,9.75,
Distance,20429.91,24211.06,29088.12,26020.60,15371.19,16409.92,598.75,26156.52,31206.53,917.94,15993.65,1926.16,18391.21,18338.15,16693.69,21704.83,
Total Counts,51074.78,60527.66,72720.30,65051.50,38427.97,41024.79,1496.88,65391.30,78016.32,2294.84,39984.12,4815.39,45978.03,45845.38,41734.24,54262.08,


 03:46:42
Interval Count,41.25,64.84,0.00,0.00,0.00,61.55,0.00,0.00,54.04,0.00,0.00,5.16,0.00,55.66,56.53,55.92,
Average m/min.,16.50,25.94,0.00,0.00,0.00,24.64,0.00,0.00,21.63,0.00,0.00,2.06,0.00,22.26,22.61,22.37,
Distance,20446.41,24237.00,29088.12,26020.60,15371.19,16434.54,598.75,26156.52,31228.14,917.94,15993.65,1928.22,18391.21,18360.42,16716.31,21727.20,
Total Counts,51116.03,60592.50,72720.30,65051.50,38427.97,41086.34,1496.88,65391.30,78070.36,2294.84,39984.12,4820.55,45978.03,45901.04,41790.76,54318.00,


 03:47:42
Interval Count,68.00,57.22,0.00,0.00,0.00,47.32,0.00,0.00,76.93,0.00,0.00,7.79,0.00,60.36,50.58,58.71,
Average m/min.,27.20,22.88,0.00,0.00,0.00,18.90,0.00,0.00,30.75,0.00,0.00,3.12,0.00,24.14,20.22,23.47,
Distance,20473.61,24259.89,29088.12,26020.60,15371.19,16453.46,598.75,26156.52,31258.92,917.94,15993.65,1931.34,18391.21,18384.56,16736.54,21750.68,
Total Counts,51184.03,60649.72,72720.30,65051.50,38427.97,41133.66,1496.88,65391.30,78147.29,2294.84,39984.12,4828.34,45978.03,45961.39,41841.34,54376.71,


 03:48:42
Interval Count,65.95,64.99,0.00,0.00,0.00,55.37,0.00,0.00,43.64,0.00,0.00,8.74,0.00,56.63,55.97,54.74,
Average m/min.,26.37,25.99,0.00,0.00,0.00,22.17,0.00,0.00,17.45,0.00,0.00,3.49,0.00,22.64,22.39,21.90,
Distance,20499.99,24285.88,29088.12,26020.60,15371.19,16475.61,598.75,26156.52,31276.37,917.94,15993.65,1934.83,18391.21,18407.21,16758.93,21772.58,
Total Counts,51249.97,60714.71,72720.30,65051.50,38427.97,41189.03,1496.88,65391.30,78190.93,2294.84,39984.12,4837.08,45978.03,46018.03,41897.32,54431.45,


 03:49:42
Interval Count,73.04,49.53,0.00,1.30,0.00,57.71,0.00,0.00,80.49,0.00,0.00,11.37,0.00,51.89,48.61,59.26,
Average m/min.,29.22,19.80,0.00,0.52,0.00,23.06,0.00,0.00,32.20,0.00,0.00,4.55,0.00,20.76,19.43,23.69,
Distance,20529.21,24305.69,29088.12,26021.12,15371.19,16498.69,598.75,26156.52,31308.57,917.94,15993.65,1939.38,18391.21,18427.97,16778.37,21796.28,
Total Counts,51323.01,60764.24,72720.30,65052.80,38427.97,41246.74,1496.88,65391.30,78271.42,2294.84,39984.12,4848.45,45978.03,46069.92,41945.92,54490.71,


 03:50:42
Interval Count,54.22,63.29,0.00,45.04,0.00,4.26,0.00,0.00,91.84,0.00,0.00,7.89,0.00,53.11,52.53,20.78,
Average m/min.,21.68,25.32,0.00,18.03,0.00,1.71,0.00,0.00,36.72,0.00,0.00,3.16,0.00,21.24,21.01,8.31,
Distance,20550.89,24331.01,29088.12,26039.14,15371.19,16500.40,598.75,26156.52,31345.31,917.94,15993.65,1942.54,18391.21,18449.21,16799.38,21804.59,
Total Counts,51377.24,60827.53,72720.30,65097.84,38427.97,41251.00,1496.88,65391.30,78363.26,2294.84,39984.12,4856.34,45978.03,46123.03,41998.45,54511.49,


 03:51:42
Interval Count,0.00,57.12,0.00,56.62,0.00,0.00,0.01,0.00,77.28,0.00,0.00,8.53,0.00,63.59,54.47,58.63,
Average m/min.,0.00,22.84,0.00,22.63,0.00,0.00,0.01,0.00,30.92,0.00,0.00,3.41,0.00,25.42,21.77,23.44,
Distance,20550.89,24353.86,29088.12,26061.78,15371.19,16500.40,598.76,26156.52,31376.22,917.94,15993.65,1945.95,18391.21,18474.65,16821.17,21828.05,
Total Counts,51377.24,60884.64,72720.30,65154.46,38427.97,41251.00,1496.89,65391.30,78440.54,2294.84,39984.12,4864.87,45978.03,46186.62,42052.92,54570.12,


 03:52:42
Interval Count,0.00,46.74,0.00,59.63,0.00,0.00,0.00,0.00,94.64,0.00,0.00,9.54,0.00,64.79,49.76,54.20,
Average m/min.,0.00,18.69,0.00,23.85,0.00,0.00,0.00,0.00,37.81,0.00,0.00,3.81,0.00,25.91,19.90,21.68,
Distance,20550.89,24372.55,29088.12,26085.64,15371.19,16500.40,598.76,26156.52,31414.07,917.94,15993.65,1949.76,18391.21,18500.56,16841.07,21849.73,
Total Counts,51377.24,60931.38,72720.30,65214.09,38427.97,41251.00,1496.89,65391.30,78535.18,2294.84,39984.12,4874.41,45978.03,46251.41,42102.68,54624.32,


 03:53:42
Interval Count,0.00,36.70,0.00,54.25,0.00,0.00,0.00,0.00,94.30,0.00,0.00,7.51,0.00,4.43,30.61,59.61,
Average m/min.,0.00,14.68,0.00,21.71,0.00,0.00,0.00,0.00,37.77,0.00,0.00,3.01,0.00,1.78,12.25,23.85,
Distance,20550.89,24387.23,29088.12,26107.34,15371.19,16500.40,598.76,26156.52,31451.79,917.94,15993.65,1952.77,18391.21,18502.34,16853.32,21873.57,
Total Counts,51377.24,60968.08,72720.30,65268.34,38427.97,41251.00,1496.89,65391.30,78629.49,2294.84,39984.12,4881.92,45978.03,46255.84,42133.29,54683.92,


 03:54:42
Interval Count,0.00,53.21,0.00,36.30,0.00,0.00,0.00,0.00,87.80,0.00,0.00,4.63,0.00,19.80,33.43,36.87,
Average m/min.,0.00,21.28,0.00,14.50,0.00,0.00,0.00,0.00,35.08,0.00,0.00,1.85,0.00,7.92,13.36,14.74,
Distance,20550.89,24408.52,29088.12,26121.86,15371.19,16500.40,598.76,26156.52,31486.92,917.94,15993.65,1954.62,18391.21,18510.26,16866.69,21888.32,
Total Counts,51377.24,61021.29,72720.30,65304.64,38427.97,41251.00,1496.89,65391.30,78717.29,2294.84,39984.12,4886.55,45978.03,46275.64,42166.72,54720.79,


 03:55:42
Interval Count,0.00,27.37,0.00,0.00,0.00,0.00,0.00,0.00,8.99,0.00,0.00,4.16,0.00,66.72,51.96,53.79,
Average m/min.,0.00,10.94,0.00,0.00,0.00,0.00,0.00,0.00,3.59,0.00,0.00,1.66,0.00,26.68,20.78,21.51,
Distance,20550.89,24419.46,29088.12,26121.86,15371.19,16500.40,598.76,26156.52,31490.51,917.94,15993.65,1956.28,18391.21,18536.95,16887.47,21909.83,
Total Counts,51377.24,61048.66,72720.30,65304.64,38427.97,41251.00,1496.89,65391.30,78726.28,2294.84,39984.12,4890.71,45978.03,46342.37,42218.68,54774.58,


 03:56:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.13,0.00,58.53,53.68,50.46,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,23.40,21.47,20.17,
Distance,20550.89,24419.46,29088.12,26121.86,15371.19,16500.40,598.76,26156.52,31490.51,917.94,15993.65,1957.14,18391.21,18560.36,16908.95,21930.02,
Total Counts,51377.24,61048.66,72720.30,65304.64,38427.97,41251.00,1496.89,65391.30,78726.28,2294.84,39984.12,4892.84,45978.03,46400.89,42272.37,54825.04,


 03:57:42
Interval Count,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.93,50.61,51.57,
Average m/min.,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.97,20.25,20.63,
Distance,20550.93,24419.46,29088.12,26121.86,15371.19,16500.40,598.76,26156.52,31490.51,917.94,15993.65,1957.14,18391.21,18582.33,16929.19,21950.64,
Total Counts,51377.32,61048.66,72720.30,65304.64,38427.97,41251.00,1496.89,65391.30,78726.28,2294.84,39984.12,4892.84,45978.03,46455.83,42322.97,54876.61,


 03:58:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,26.89,49.92,19.71,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,10.76,19.96,7.89,
Distance,20550.93,24419.46,29088.12,26121.86,15371.19,16500.40,598.76,26156.52,31490.51,917.94,15993.65,1957.15,18391.21,18593.09,16949.16,21958.53,
Total Counts,51377.32,61048.66,72720.30,65304.64,38427.97,41251.00,1496.89,65391.30,78726.28,2294.84,39984.12,4892.87,45978.03,46482.72,42372.89,54896.32,


 03:59:42
Interval Count,0.00,9.63,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.24,0.00,0.00,52.53,16.95,
