,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/27/2017 10:21:50
,     Stop Time: ~4/6/2017 10:21:50


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Total Counts,1.97,1.87,0.17,1.08,1.09,1.13,0.09,0.61,1.88,0.58,0.74,0.79,0.21,1.09,0.71,4.46,


 10:17:20
Interval Count,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,0.11,1.26,
Average m/min.,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.05,0.51,
Distance,1.36,0.75,0.07,0.43,0.44,0.45,0.04,0.24,0.75,0.23,0.29,0.32,0.08,1.73,0.33,2.29,
Total Counts,3.39,1.87,0.17,1.08,1.09,1.13,0.09,0.61,1.88,0.58,0.74,0.79,0.21,4.33,0.82,5.72,


 10:18:20
Interval Count,4.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,3.36,0.00,0.00,3.25,0.00,
Average m/min.,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.34,0.00,0.00,1.30,0.00,
Distance,3.14,0.75,0.07,0.43,0.44,0.45,0.04,0.24,0.75,0.24,0.29,1.66,0.08,1.73,1.63,2.29,
Total Counts,7.84,1.87,0.17,1.08,1.09,1.13,0.09,0.61,1.88,0.61,0.74,4.14,0.21,4.33,4.07,5.72,


 10:19:20
Interval Count,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,1.51,0.00,1.74,0.00,0.00,
Average m/min.,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.60,0.00,0.70,0.00,0.00,
Distance,3.64,0.75,0.07,0.43,0.44,0.45,0.04,0.24,0.75,0.97,0.29,2.26,0.08,2.43,1.63,2.29,
Total Counts,9.09,1.87,0.17,1.08,1.09,1.13,0.09,0.61,1.88,2.43,0.74,5.66,0.21,6.07,4.07,5.72,


 10:20:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.93,1.39,3.12,0.00,3.47,0.00,0.20,0.00,32.93,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.77,0.56,1.25,0.00,1.39,0.00,0.08,0.00,13.15,
Distance,3.64,0.75,0.07,0.43,0.44,0.45,0.04,5.02,1.31,2.22,0.29,3.65,0.08,2.51,1.63,15.46,
Total Counts,9.09,1.87,0.17,1.08,1.09,1.13,0.09,12.54,3.28,5.55,0.74,9.13,0.21,6.26,4.07,38.66,


 10:21:20
Interval Count,0.00,0.00,0.00,0.00,0.16,0.25,0.18,0.18,3.13,1.00,0.54,0.07,0.00,3.20,0.00,14.42,
Average m/min.,0.00,0.00,0.00,0.00,0.06,0.10,0.07,0.07,1.25,0.40,0.22,0.03,0.00,1.27,0.00,5.77,
Distance,3.64,0.75,0.07,0.43,0.50,0.55,0.11,5.09,2.56,2.62,0.51,3.68,0.08,3.78,1.63,21.23,
Total Counts,9.09,1.87,0.17,1.08,1.25,1.38,0.28,12.72,6.41,6.55,1.28,9.20,0.21,9.46,4.07,53.08,


 10:22:21
Interval Count,0.00,0.00,0.00,3.57,0.55,0.01,0.00,9.07,0.00,0.00,1.04,2.38,0.97,2.87,0.00,0.00,
Average m/min.,0.00,0.00,0.00,1.43,0.22,0.01,0.00,3.63,0.00,0.00,0.42,0.95,0.39,1.15,0.00,0.00,
Distance,3.64,0.75,0.07,1.86,0.72,0.56,0.11,8.72,2.56,2.62,0.93,4.63,0.47,4.93,1.63,21.23,
Total Counts,9.09,1.87,0.17,4.64,1.80,1.39,0.28,21.79,6.41,6.55,2.32,11.58,1.18,12.33,4.07,53.08,


 10:23:20
Interval Count,0.00,11.83,0.00,1.17,2.57,0.00,0.08,11.58,0.00,0.00,3.20,0.00,0.12,0.01,0.00,0.00,
Average m/min.,0.00,4.73,0.00,0.47,1.03,0.00,0.03,4.63,0.00,0.00,1.28,0.00,0.05,0.01,0.00,0.00,
Distance,3.64,5.48,0.07,2.33,1.75,0.56,0.14,13.35,2.56,2.62,2.21,4.63,0.52,4.94,1.63,21.23,
Total Counts,9.09,13.70,0.17,5.82,4.37,1.39,0.36,33.37,6.41,6.55,5.51,11.58,1.30,12.34,4.07,53.08,


 10:24:21
Interval Count,0.00,0.00,0.53,2.59,5.91,0.00,0.17,0.00,0.00,0.00,9.18,12.89,1.16,6.72,0.00,0.00,
Average m/min.,0.00,0.00,0.21,1.03,2.36,0.00,0.07,0.00,0.00,0.00,3.67,5.16,0.46,2.69,0.00,0.00,
Distance,3.64,5.48,0.28,3.36,4.11,0.56,0.21,13.35,2.56,2.62,5.88,9.79,0.98,7.63,1.63,21.23,
Total Counts,9.09,13.70,0.70,8.41,10.28,1.39,0.53,33.37,6.41,6.55,14.70,24.47,2.46,19.07,4.07,53.08,


 10:25:20
Interval Count,0.00,13.71,0.05,7.33,9.49,0.00,1.12,0.00,0.00,0.00,0.75,14.79,0.00,1.92,0.00,0.00,
Average m/min.,0.00,5.48,0.02,2.93,3.80,0.00,0.45,0.00,0.00,0.00,0.30,5.92,0.00,0.76,0.00,0.00,
Distance,3.64,10.96,0.30,6.29,7.91,0.56,0.66,13.35,2.56,2.62,6.18,15.71,0.98,8.39,1.63,21.23,
Total Counts,9.09,27.41,0.75,15.74,19.76,1.39,1.64,33.37,6.41,6.55,15.45,39.26,2.46,20.99,4.07,53.08,


 10:26:21
Interval Count,0.00,10.01,0.00,6.26,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,
Average m/min.,0.00,4.01,0.00,2.51,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,
Distance,3.64,14.97,0.30,8.80,7.91,0.56,0.72,13.35,2.56,2.62,6.18,16.02,0.98,8.39,1.63,21.23,
Total Counts,9.09,37.42,0.75,22.00,19.76,1.39,1.80,33.37,6.41,6.55,15.45,40.04,2.46,20.99,4.07,53.08,


 10:27:21
Interval Count,0.00,37.41,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,14.95,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,29.93,0.30,8.80,7.91,0.56,0.90,13.35,2.56,2.62,6.18,16.02,0.98,8.39,1.63,21.23,
Total Counts,9.09,74.83,0.75,22.00,19.76,1.39,2.25,33.37,6.41,6.55,15.45,40.04,2.46,20.99,4.07,53.08,


 10:28:21
Interval Count,0.00,49.11,0.00,3.79,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,19.64,0.00,1.52,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,49.57,0.30,10.32,7.91,0.56,1.23,13.35,2.56,2.62,6.18,16.02,0.98,8.39,1.63,21.23,
Total Counts,9.09,123.93,0.75,25.79,19.76,1.39,3.08,33.37,6.41,6.55,15.45,40.04,2.46,20.99,4.07,53.08,


 10:29:21
Interval Count,0.00,6.00,0.00,19.16,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,
Average m/min.,0.00,2.40,0.00,7.66,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,
Distance,3.64,51.97,0.30,17.98,7.91,0.56,1.87,13.35,2.56,2.62,6.18,16.02,0.98,8.81,1.63,21.23,
Total Counts,9.09,129.93,0.75,44.95,19.76,1.39,4.68,33.37,6.41,6.55,15.45,40.04,2.46,22.01,4.07,53.08,


 10:30:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,7.66,0.09,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.03,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,
Distance,3.64,51.97,0.30,17.98,7.91,0.56,4.94,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.75,44.95,19.76,1.39,12.34,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:31:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.30,17.98,7.91,0.56,5.17,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.75,44.95,19.76,1.39,12.92,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:32:21
Interval Count,0.00,0.00,0.01,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,17.98,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,44.95,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:33:21
Interval Count,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:34:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:35:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:36:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:37:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:38:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:39:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.97,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.93,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:40:21
Interval Count,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:41:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.38,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.46,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:42:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:43:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:44:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:45:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:46:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:47:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:48:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:49:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:50:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:51:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:52:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:53:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:54:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:55:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:56:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:57:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:58:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,3.64,51.98,0.31,18.01,7.91,0.56,5.22,13.39,2.56,2.62,6.18,16.02,0.98,9.06,1.63,21.23,
Total Counts,9.09,129.95,0.76,45.03,19.76,1.39,13.05,33.47,6.41,6.55,15.45,40.04,2.46,22.64,4.07,53.08,


 10:59:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
