,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/27/2017 10:21:50
,     Stop Time: ~4/6/2017 10:21:50


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 03/27/2017 10:14:21
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 10:15:20
Interval Count,0.79,1.87,0.17,1.08,0.93,1.13,0.09,0.61,1.88,0.58,0.74,0.78,0.21,1.09,0.71,0.68,
Average m/min.,0.32,0.75,0.07,0.43,0.38,0.45,0.04,0.24,0.75,0.23,0.29,0.31,0.08,0.44,0.28,0.27,
Distance,0.32,0.75,0.07,0.43,0.44,0.45,0.04,0.24,0.75,0.23,0.29,0.31,0.08,0.44,0.28,0.27,
Total Counts,0.79,1.87,0.17,1.08,1.09,1.13,0.09,0.61,1.88,0.58,0.74,0.78,0.21,1.09,0.71,0.68,


 10:16:20
Interval Count,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,3.78,
Average m/min.,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.51,
Distance,0.79,0.75,0.07,0.43,0.44,0.45,0.04,0.24,0.75,0.23,0.29,0.32,0.08,0.44,0.28,1.78,
