,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_Y_maze_8-15-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 9/2/2017 15:39:45
,     Stop Time: ~9/12/2017 15:39:45


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, 16, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Average m/min.,2.58,8.81,0.00,2.89,3.75,0.00,0.00,0.06,0.00,0.00,4.70,1.41,1.42,0.00,2.44,0.00,
Distance,2.85,35.96,11.04,11.21,7.86,2.23,0.01,0.06,2.88,0.46,15.39,7.78,4.77,0.84,4.17,0.02,
Total Counts,7.13,89.91,27.59,28.01,19.64,5.57,0.01,0.14,7.20,1.16,38.49,19.46,11.93,2.11,10.43,0.05,


 15:42:16
Interval Count,0.49,41.14,0.03,3.75,0.00,1.09,0.00,0.34,14.66,2.42,26.62,0.03,15.42,0.00,0.62,0.00,
Average m/min.,0.20,16.45,0.01,1.50,0.00,0.43,0.00,0.13,5.86,0.97,10.65,0.01,6.17,0.00,0.25,0.00,
Distance,3.05,52.42,11.05,12.71,7.86,2.66,0.01,0.19,8.74,1.43,26.04,7.79,10.94,0.84,4.42,0.02,
Total Counts,7.62,131.05,27.62,31.76,19.64,6.66,0.01,0.49,21.86,3.58,65.11,19.49,27.36,2.11,11.05,0.05,


 15:43:16
Interval Count,18.93,50.83,8.03,10.68,0.00,0.00,0.00,0.00,0.00,0.30,0.21,9.42,6.86,0.00,0.00,0.00,
Average m/min.,7.57,20.33,3.21,4.27,0.00,0.00,0.00,0.00,0.00,0.12,0.09,3.77,2.74,0.00,0.00,0.00,
Distance,10.62,72.75,14.26,16.98,7.86,2.66,0.01,0.19,8.74,1.55,26.13,11.56,13.68,0.84,4.42,0.02,
Total Counts,26.55,181.88,35.64,42.45,19.64,6.66,0.01,0.49,21.86,3.88,65.32,28.91,34.21,2.11,11.05,0.05,


 15:44:16
Interval Count,3.50,47.30,13.68,0.92,0.00,0.43,0.00,1.18,15.84,0.04,5.18,1.79,0.75,0.00,2.63,0.00,
Average m/min.,1.40,18.92,5.47,0.37,0.00,0.18,0.00,0.48,6.35,0.02,2.07,0.72,0.30,0.00,1.05,0.00,
Distance,12.02,91.67,19.73,17.35,7.86,2.84,0.01,0.67,15.08,1.57,28.20,12.28,13.98,0.84,5.47,0.02,
Total Counts,30.05,229.18,49.33,43.37,19.64,7.09,0.01,1.67,37.70,3.92,70.50,30.70,34.96,2.11,13.68,0.05,


 15:45:16
Interval Count,20.11,7.82,2.89,0.00,0.00,0.01,0.00,0.00,19.26,0.17,0.70,4.29,0.00,0.55,2.63,0.00,
Average m/min.,8.04,3.13,1.16,0.00,0.00,0.00,0.00,0.00,7.69,0.07,0.28,1.71,0.00,0.22,1.06,0.00,
Distance,20.06,94.80,20.89,17.35,7.86,2.84,0.01,0.67,22.78,1.64,28.48,13.99,13.98,1.06,6.53,0.02,
Total Counts,50.16,237.00,52.22,43.37,19.64,7.11,0.01,1.67,56.96,4.09,71.20,34.99,34.96,2.66,16.32,0.05,


 15:46:16
Interval Count,28.59,0.00,1.64,0.00,0.00,0.00,0.00,0.09,9.93,0.59,15.93,0.00,2.96,9.01,5.71,0.00,
Average m/min.,11.44,0.00,0.66,0.00,0.00,0.00,0.00,0.04,3.98,0.23,6.37,0.00,1.19,3.61,2.28,0.00,
Distance,31.50,94.80,21.55,17.35,7.86,2.84,0.01,0.71,26.76,1.87,34.85,13.99,15.17,4.67,8.81,0.02,
Total Counts,78.75,237.00,53.87,43.37,19.64,7.11,0.01,1.76,66.89,4.68,87.13,34.99,37.92,11.67,22.03,0.05,


 15:47:16
Interval Count,7.54,0.00,0.17,0.08,0.05,0.00,0.00,0.16,0.00,0.00,21.88,0.58,10.49,8.96,12.30,0.00,
Average m/min.,3.02,0.00,0.07,0.03,0.02,0.00,0.00,0.06,0.00,0.00,8.75,0.24,4.19,3.58,4.92,0.00,
Distance,34.52,94.80,21.62,17.38,7.88,2.84,0.01,0.77,26.76,1.87,43.61,14.23,19.36,8.25,13.73,0.02,
Total Counts,86.29,237.00,54.04,43.45,19.70,7.11,0.01,1.92,66.89,4.68,109.01,35.57,48.41,20.63,34.33,0.05,


 15:48:16
Interval Count,9.55,0.00,0.00,8.26,0.00,1.47,0.00,1.53,0.54,3.42,9.89,2.95,20.58,15.57,0.12,0.00,
Average m/min.,3.82,0.00,0.00,3.30,0.00,0.59,0.00,0.61,0.21,1.37,3.95,1.18,8.23,6.23,0.05,0.00,
Distance,38.34,94.80,21.62,20.68,7.88,3.43,0.01,1.38,26.97,3.24,47.56,15.41,27.59,14.48,13.78,0.02,
Total Counts,95.84,237.00,54.04,51.71,19.70,8.58,0.01,3.45,67.43,8.11,118.91,38.51,68.99,36.20,34.45,0.05,


 15:49:16
Interval Count,0.00,0.01,0.39,32.59,0.00,0.32,0.00,0.58,0.00,1.21,0.00,2.71,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.01,0.15,13.03,0.00,0.13,0.00,0.23,0.00,0.49,0.00,1.08,0.00,0.00,0.00,0.00,
Distance,38.34,94.81,21.77,33.72,7.88,3.56,0.01,1.61,26.97,3.73,47.56,16.49,27.59,14.48,13.78,0.02,
Total Counts,95.84,237.01,54.43,84.30,19.70,8.89,0.01,4.03,67.43,9.32,118.91,41.22,68.99,36.20,34.45,0.05,


 15:50:16
Interval Count,1.75,3.12,1.76,26.25,0.00,0.00,0.00,0.51,0.16,5.50,3.21,7.38,0.01,0.00,0.63,0.00,
Average m/min.,0.70,1.24,0.71,10.50,0.00,0.00,0.00,0.21,0.07,2.20,1.29,2.95,0.01,0.00,0.25,0.00,
Distance,39.04,96.05,22.48,44.22,7.88,3.56,0.01,1.82,27.04,5.93,48.85,19.44,27.60,14.48,14.03,0.02,
Total Counts,97.59,240.13,56.20,110.55,19.70,8.89,0.01,4.54,67.59,14.82,122.12,48.61,69.00,36.20,35.08,0.05,


 15:51:17
Interval Count,24.79,0.00,9.41,0.00,0.00,0.00,0.00,0.00,1.92,2.76,0.32,0.00,15.17,0.59,1.14,0.00,
Average m/min.,9.91,0.00,3.76,0.00,0.00,0.00,0.00,0.00,0.77,1.10,0.12,0.00,6.07,0.24,0.46,0.00,
Distance,48.95,96.05,26.24,44.22,7.88,3.56,0.01,1.82,27.81,7.03,48.97,19.44,33.67,14.72,14.49,0.02,
Total Counts,122.38,240.13,65.61,110.55,19.70,8.89,0.01,4.54,69.51,17.58,122.43,48.61,84.17,36.79,36.22,0.05,


 15:52:16
