Day,Date,Time,OpenFieldMice1-20:Irrad,OpenFieldMice1-21:Irrad,OpenFieldMice1-24:Irrad,OpenFieldMice1-29:Irrad,OpenFieldMice1-31:Irrad,OpenFieldMice1-33:Irrad,OpenFieldMice1-22:Sham,OpenFieldMice1-23:Sham,OpenFieldMice1-25:Sham,OpenFieldMice1-26:Sham,OpenFieldMice1-28:Sham,OpenFieldMice1-32:Sham,OpenFieldMice2-01:Irrad,OpenFieldMice2-02:Irrad,OpenFieldMice2-03:Irrad,OpenFieldMice2-06:Irrad,OpenFieldMice2-08:Irrad,OpenFieldMice2-10:Irrad,OpenFieldMice2-13:Irrad,OpenFieldMice2-14:Irrad,OpenFieldMice2-04:Sham,OpenFieldMice2-05:Sham,OpenFieldMice2-07:Sham,OpenFieldMice2-09:Sham,OpenFieldMice2-11:Sham,OpenFieldMice2-12:Sham,OpenFieldMice2-15:Sham,OpenFieldMice2-16:Sham,OpenFieldMice3-02:Irrad,OpenFieldMice3-04:Irrad,OpenFieldMice3-05:Irrad,OpenFieldMice3-07:Irrad,OpenFieldMice3-08:Irrad,OpenFieldMice3-09:Irrad,OpenFieldMice3-11:Irrad,OpenFieldMice3-13:Irrad,OpenFieldMice3-01:Sham,OpenFieldMice3-03:Sham,OpenFieldMice3-10:Sham,OpenFieldMice3-12:Sham,OpenFieldMice3-14:Sham,OpenFieldMice3-15:Sham,OpenFieldMice3-16:Sham,YMaze1-01:Irrad,YMaze1-03:Irrad,YMaze1-05:Irrad,YMaze1-06:Irrad,YMaze1-08:Irrad,YMaze1-09:Irrad,YMaze1-13:Irrad,YMaze1-02:Sham,YMaze1-04:Sham,YMaze1-07:Sham,YMaze1-10:Sham,YMaze1-11:Sham,YMaze1-12:Sham,YMaze1-14:Sham,YMaze2-01:Irrad,YMaze2-04:Irrad,YMaze2-07:Irrad,YMaze2-09:Irrad,YMaze2-12:Irrad,YMaze2-16:Irrad,YMaze2-02:Sham,YMaze2-03:Sham,YMaze2-05:Sham,YMaze2-08:Sham,YMaze2-10:Sham,YMaze2-11:Sham,YMaze2-13:Sham,YMaze2-14:Sham
-8,5/24/50,13:22:00,3.112,2.264,0.452,0.688,1.12,2.148,2.996,0.768,0.336,3.804,0.52,1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:23:00,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:24:00,0.104,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:25:00,0.52,0.232,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
-8,5/24/50,13:26:00,1.204,1.748,0.072,0,0,0,0.036,0.228,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:27:00,0.232,2.3,0.832,0,0,0.004,0,1.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:28:00,0.256,3.52,1.252,0,0,0,0.004,1.564,0.3,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:29:00,0.736,7.072,0,0,0,0,0.036,1.784,1.228,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:30:00,3.072,8.316,0,0,0,0,1.98,1.856,0.368,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
-8,5/24/50,13:31:00,3.816,7.612,0.388,0.112,0,0,2.188,2.048,0.012,2.004,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:32:00,7.052,4.044,1.256,0.536,0.304,0.004,5.288,1.128,0,1.052,0.032,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:33:00,5.096,10.432,3.72,1.484,1.556,0.084,9.284,0.068,0.62,0.348,0.396,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.004,0,0,0,0,0,0.004,0,0,0,0
-8,5/24/50,13:34:00,8.864,10.212,2.156,1.284,1.612,0.512,5.984,0.316,0,0.972,0.348,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:35:00,5.48,5.836,3.82,2.284,1.596,1.156,7.812,1.512,0.22,2.168,2.672,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0.012,0,0,0,0,0,0
-8,5/24/50,13:36:00,0.304,10.348,6.712,1.304,3.136,2.068,6.604,0.316,1.256,2.232,2.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.356,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:37:00,2.288,8.596,7.472,0.62,3.748,2.632,6.152,0.004,0.58,5.232,1.884,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:38:00,0.352,8.084,8.856,1.368,5.264,1.212,5.38,0,1.288,7.996,0.844,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:39:00,1.232,13.92,4.268,1.268,1.704,2.704,1.32,0.264,0.568,10.42,1.496,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:40:00,1.82,5.248,4.704,3.968,5.732,5.264,3.712,0.028,0.164,13.328,0.028,1.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:41:00,7.028,0.696,0,2.136,3.872,7.016,8.22,1.928,1.168,13.764,1.768,1.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,1.372,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:42:00,10.588,2.048,0.596,5.612,7.468,8.168,9.732,2.344,2.08,10.98,1.932,2.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0.168,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0
-8,5/24/50,13:43:00,10.104,5.748,7.212,10.128,5.88,6.772,3.68,0.348,3.712,10.348,3.968,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0
